Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Bologna,2024-08-18,1,523,37,2,16,9,0,1,718,,Udinese,it Serie A,D 1-1,1,1,0,73,0,1,1,0,1,21,0.0,0.0,5,23.8,16.8,1,523,617,84.8,14,42,12,5,51,10053,2932,169,189,89.4,274,307,89.3,60,80,75.0,37,21,6,1,6,2,1,2,0,0,0,1,1,0,718,65,209,309,210,39,717,16,9,7,5,4,10,17,58.8,7,8,2,6,3,19,17,0,568,48,16,3,3,31,17,9,1,7,0,1,11,0,0,0,17,16,1,1,1,0,44,Match Report
2,Bologna,2024-08-25,0,483,15,0,19,5,2,1,680,@,Napoli,it Serie A,L 0-3,0,3,-3,61,0,0,0,0,0,8,0.0,0.0,2,25.0,21.0,0,483,580,83.3,6,57,3,2,47,9438,2914,161,188,85.6,264,299,88.3,56,81,69.1,15,12,0,1,1,0,1,0,0,0,0,0,0,0,680,48,149,383,152,12,680,19,16,8,8,3,10,20,50.0,10,17,7,10,10,29,7,0,533,46,12,3,4,17,21,5,3,2,0,1,9,2,0,0,17,10,1,0,0,0,43,Match Report
3,Bologna,2024-08-31,1,557,23,1,15,6,0,2,755,,Empoli,it Serie A,D 1-1,1,1,0,69,1,0,0,0,1,14,0.07,0.33,3,21.4,15.0,0,557,673,82.8,12,46,9,4,43,10686,3278,211,232,90.9,257,300,85.7,79,111,71.2,23,18,4,0,1,0,0,1,0,0,0,1,0,0,755,50,198,349,213,23,755,15,7,7,3,5,4,17,23.5,13,7,0,7,5,20,10,0,600,71,19,1,6,27,40,6,1,4,0,2,9,0,0,0,15,15,2,0,0,0,37,Match Report
4,Bologna,2024-09-14,2,429,21,3,21,3,1,4,623,@,Como,it Serie A,D 2-2,2,2,0,56,2,0,0,0,2,14,0.14,0.5,4,28.6,17.1,2,429,521,82.3,9,39,5,2,47,8267,2858,157,173,90.8,220,244,90.2,46,77,59.7,21,10,2,3,2,4,0,3,1,0,1,1,0,0,623,60,212,267,150,22,623,21,13,7,10,4,10,19,52.6,9,10,4,6,5,26,9,1,466,51,16,1,10,17,21,3,0,3,0,4,11,1,0,0,12,15,4,0,0,1,53,Match Report
5,Bologna,2024-09-18,0,419,28,0,18,8,2,1,593,,Shakhtar,Champions League,D 0-0,0,0,0,48,0,0,0,0,0,17,0.0,0.0,4,23.5,19.3,1,419,500,83.8,11,37,12,5,55,8264,2491,149,173,86.1,220,235,93.6,47,74,63.5,28,19,3,0,4,1,1,0,0,0,0,0,0,0,593,45,157,284,157,30,593,18,16,6,9,3,8,15,53.3,7,9,0,9,4,22,11,0,458,41,12,2,5,24,16,8,0,5,0,1,11,2,0,0,13,12,1,0,1,0,50,Match Report
6,Bologna,2024-09-22,2,483,27,4,17,2,2,1,670,@,Monza,it Serie A,W 2-1,2,1,1,57,2,0,0,0,2,15,0.13,0.25,8,53.3,17.4,1,483,570,84.7,14,47,7,2,50,8212,2739,215,234,91.9,212,235,90.2,36,64,56.3,27,25,0,0,0,1,1,4,4,0,0,0,0,0,670,45,151,385,138,20,670,17,8,4,10,3,5,11,45.5,6,8,0,8,4,21,12,0,526,43,20,2,3,14,12,2,0,2,0,1,10,2,0,0,16,20,1,0,0,0,38,Match Report
7,Bologna,2024-09-28,1,239,7,2,17,2,3,3,439,,Atalanta,it Serie A,D 1-1,1,1,0,36,1,0,0,0,1,5,0.2,1.0,1,20.0,19.7,0,239,321,74.5,4,15,3,1,17,5195,2089,73,89,82.0,124,144,86.1,40,74,54.1,7,5,0,1,1,0,0,2,1,0,1,0,0,0,439,99,210,184,50,9,439,17,11,10,7,0,10,18,55.6,8,15,8,7,7,24,36,0,278,40,13,2,6,7,13,2,1,1,0,3,6,3,1,0,16,12,3,0,0,0,46,Match Report
8,Bologna,2024-10-02,0,364,21,0,19,3,2,4,570,@,Liverpool,Champions League,L 0-2,0,2,-2,49,0,0,0,0,0,12,0.0,0.0,2,16.7,19.7,1,364,462,78.8,6,19,5,1,30,6714,2364,139,161,86.3,181,219,82.6,40,60,66.7,21,13,1,1,2,2,2,0,0,0,0,0,0,0,570,93,242,242,90,17,570,19,8,10,6,3,14,26,53.8,12,6,0,6,6,25,18,0,414,44,12,0,4,14,17,3,0,3,0,4,11,2,0,0,8,10,4,0,0,0,41,Match Report
9,Bologna,2024-10-06,0,521,36,0,18,13,1,3,730,,Parma,it Serie A,D 0-0,0,0,0,71,0,0,0,0,0,19,0.0,0.0,3,15.8,17.4,0,521,626,83.2,17,45,12,4,68,10005,3004,194,224,86.6,277,301,92.0,50,84,59.5,36,27,5,3,0,0,1,0,0,0,0,0,0,0,730,54,184,313,237,29,730,18,8,13,3,2,9,15,60.0,6,14,6,8,4,22,9,1,571,52,16,0,4,32,17,13,0,7,0,3,18,1,0,0,15,16,3,0,0,0,46,Match Report
10,Bologna,2024-10-19,2,386,20,3,11,7,0,3,582,@,Genoa,it Serie A,D 2-2,2,2,0,61,2,0,0,0,2,12,0.17,0.29,7,58.3,21.6,0,386,489,78.9,10,26,14,3,37,7317,2362,141,161,87.6,198,233,85.0,40,76,52.6,20,16,2,0,2,0,0,3,2,1,0,0,0,0,582,79,213,254,123,23,582,11,7,6,5,0,6,9,66.7,3,10,4,6,5,16,13,1,430,56,23,1,2,17,16,7,0,4,0,3,6,0,0,0,12,20,3,0,0,0,41,Match Report
11,Bologna,2024-10-22,0,338,20,0,24,4,4,3,521,@,Aston Villa,Champions League,L 0-2,0,2,-2,47,0,0,0,0,0,12,0.0,0.0,4,33.3,20.9,0,338,417,81.1,11,25,3,1,29,6523,1937,137,158,86.7,146,165,88.5,49,76,64.5,20,19,1,0,0,0,0,0,0,0,0,0,0,0,521,68,227,196,104,11,521,24,11,15,5,4,9,21,42.9,12,11,6,5,8,32,17,0,377,37,15,2,6,13,9,4,0,2,0,3,10,4,0,0,9,13,3,0,0,0,40,Match Report
12,Bologna,2024-10-29,2,455,21,4,12,2,2,1,662,@,Cagliari,it Serie A,W 2-0,2,0,2,58,2,0,0,0,2,11,0.18,0.5,4,36.4,17.1,0,455,547,83.2,6,35,6,2,45,8223,3018,213,235,90.6,190,215,88.4,49,86,57.0,21,18,0,0,1,1,1,4,3,0,0,0,0,1,662,73,197,348,120,18,662,12,7,5,6,1,5,11,45.5,6,19,5,14,5,17,24,0,503,43,17,2,1,13,17,2,0,1,0,1,4,2,0,0,18,15,1,0,0,0,47,Match Report
13,Bologna,2024-11-02,1,537,37,2,17,9,2,1,739,,Lecce,it Serie A,W 1-0,1,0,1,72,1,0,0,0,1,20,0.05,0.25,4,20.0,17.0,1,537,621,86.5,16,74,17,9,78,9550,3224,233,250,93.2,260,287,90.6,39,63,61.9,37,27,4,0,4,2,0,2,2,0,0,0,0,0,739,33,118,357,268,31,739,17,12,4,9,4,7,12,58.3,5,12,2,10,4,21,13,0,565,55,13,0,6,34,29,9,0,5,0,1,10,2,0,0,9,13,1,0,0,0,39,Match Report
14,Bologna,2024-11-05,0,279,13,0,28,3,3,2,528,,Monaco,Champions League,L 0-1,0,1,-1,47,0,0,0,0,0,7,0.0,0.0,2,28.6,16.7,0,279,405,68.9,5,16,5,1,27,5135,2072,127,157,80.9,105,140,75.0,40,76,52.6,13,10,1,1,1,0,0,0,0,0,0,0,0,0,528,52,190,251,96,15,528,28,22,14,12,2,11,22,50.0,11,13,2,11,13,41,19,1,346,57,19,1,2,15,30,3,1,2,0,2,14,3,0,0,16,14,2,0,0,0,51,Match Report
15,Bologna,2024-11-10,3,299,25,5,5,3,3,0,502,@,Roma,it Serie A,W 3-2,3,2,1,46,3,0,0,0,3,15,0.2,0.75,4,26.7,14.8,1,299,386,77.5,11,19,5,2,26,5883,2192,80,99,80.8,166,187,88.8,40,77,51.9,25,18,2,2,2,1,0,5,4,0,0,1,0,0,502,68,189,229,88,17,502,5,3,1,4,0,2,6,33.3,4,17,5,12,10,15,19,0,345,41,16,1,2,8,14,3,2,1,0,0,6,3,0,0,21,16,0,0,0,0,36,Match Report
16,Bologna,2024-11-24,0,210,6,0,7,0,3,0,390,@,Lazio,it Serie A,L 0-3,0,3,-3,30,0,0,0,0,0,3,0.0,0.0,1,33.3,35.3,0,210,284,73.9,3,13,3,1,15,3938,1546,91,104,87.5,101,126,80.2,16,49,32.7,6,4,0,2,0,0,0,0,0,0,0,0,0,0,390,85,219,124,53,4,390,7,4,3,1,3,2,9,22.2,7,9,4,5,10,17,36,1,250,34,16,0,3,4,8,0,0,0,0,0,3,3,1,1,14,12,0,0,0,0,31,Match Report
17,Bologna,2024-11-27,1,472,22,2,16,2,3,6,677,,Lille,Champions League,L 1-2,1,2,-1,57,1,0,0,0,1,12,0.08,0.17,6,50.0,15.5,1,472,558,84.6,6,35,9,2,50,9260,3033,166,189,87.8,239,264,90.5,64,85,75.3,22,14,3,0,1,3,1,2,0,1,0,0,1,0,677,66,252,294,134,23,677,16,7,6,8,2,4,19,21.1,15,19,4,15,7,23,15,1,512,40,10,0,2,13,20,2,0,1,0,6,10,3,0,0,12,8,6,0,0,0,43,Match Report
