Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Cagliari,2024-08-18,0,281,20,0,13,5,2,3,498,,Roma,it Serie A,D 0-0,0,0,0,43,0,0,0,0,0,13,0.0,0.0,2,15.4,18.1,0,281,380,73.9,8,20,2,0,27,5668,2200,91,102,89.2,142,176,80.7,42,80,52.5,20,15,1,0,2,1,1,0,0,0,0,0,0,0,498,64,210,201,97,13,498,13,6,6,7,0,8,13,61.5,5,8,5,3,15,28,27,0,333,44,9,2,1,16,24,5,0,5,0,3,5,2,0,0,15,7,3,0,0,0,41,Match Report
2,Cagliari,2024-08-26,1,304,20,2,14,5,2,1,525,,Como,it Serie A,D 1-1,1,1,0,47,1,0,0,0,1,11,0.09,0.2,5,45.5,15.3,0,304,415,73.3,7,24,6,2,19,5961,2248,102,127,80.3,163,188,86.7,37,79,46.8,20,13,4,1,1,1,0,2,2,0,0,0,0,0,525,70,234,187,108,16,525,14,5,4,9,1,5,12,41.7,7,10,6,4,3,17,32,1,372,42,13,0,4,22,18,5,0,5,0,1,13,2,0,0,12,10,1,0,0,0,42,Match Report
3,Cagliari,2024-08-31,0,405,40,0,15,10,3,0,629,@,Lecce,it Serie A,L 0-1,0,1,-1,65,0,0,0,0,0,21,0.0,0.0,2,9.5,15.2,0,405,524,77.3,15,46,14,3,58,7294,2526,162,190,85.3,217,257,84.4,26,62,41.9,40,27,4,4,3,1,1,0,0,0,0,0,0,0,629,54,148,281,207,39,629,15,11,4,5,6,10,17,58.8,7,13,6,7,8,23,19,1,466,58,12,0,0,34,23,10,3,6,0,0,8,3,0,0,13,9,0,0,0,0,33,Match Report
4,Cagliari,2024-09-15,0,363,32,0,19,7,1,2,581,,Napoli,it Serie A,L 0-4,0,4,-4,51,0,0,0,0,0,19,0.0,0.0,5,26.3,15.0,1,363,470,77.2,12,27,6,2,37,6339,2413,173,199,86.9,149,183,81.4,35,69,50.7,32,20,5,1,4,2,0,0,0,0,0,0,0,0,581,61,189,280,116,22,581,19,10,9,8,2,11,17,64.7,6,13,5,8,5,24,20,2,425,43,14,1,1,32,10,7,0,7,0,2,8,1,0,0,22,9,2,0,0,0,55,Match Report
5,Cagliari,2024-09-20,0,383,32,0,16,10,1,0,631,,Empoli,it Serie A,L 0-2,0,2,-2,61,0,0,0,0,0,21,0.0,0.0,2,9.5,14.3,0,383,518,73.9,12,36,8,3,31,7765,3032,140,170,82.4,174,207,84.1,61,108,56.5,32,20,4,1,6,1,0,0,0,0,0,0,0,0,631,63,216,267,151,30,631,16,10,7,8,1,5,10,50.0,5,10,2,8,8,24,21,0,442,76,23,0,1,32,32,10,1,9,0,0,14,1,0,0,15,20,0,0,0,0,37,Match Report
6,Cagliari,2024-09-30,3,291,21,6,13,3,2,4,483,@,Parma,it Serie A,W 3-2,3,2,1,40,3,0,0,0,3,12,0.25,0.75,4,33.3,16.8,0,291,392,74.2,8,14,8,2,33,5400,2272,117,136,86.0,147,181,81.2,27,62,43.5,21,17,1,2,1,0,0,6,6,0,0,0,0,0,483,68,174,245,74,15,483,13,5,10,3,0,4,7,57.1,3,9,3,6,11,24,19,0,344,44,11,3,0,14,18,3,1,2,0,4,7,2,0,0,16,10,4,0,1,0,42,Match Report
7,Cagliari,2024-10-06,1,207,12,2,8,3,2,1,378,@,Juventus,it Serie A,D 1-1,1,1,0,27,0,1,1,0,1,8,0.0,0.0,1,12.5,24.5,0,207,279,74.2,5,18,6,2,22,3606,1695,107,118,90.7,73,99,73.7,22,43,51.2,12,9,0,1,1,1,0,2,1,0,0,0,1,0,378,80,169,114,98,14,377,8,6,3,5,0,4,15,26.7,11,7,4,3,8,16,30,1,237,41,13,0,0,22,12,3,1,2,0,1,6,2,0,0,10,11,1,1,1,0,33,Match Report
8,Cagliari,2024-10-20,2,304,29,3,13,9,1,0,496,,Torino,it Serie A,W 3-2,3,2,1,41,2,0,0,0,2,17,0.12,0.5,4,23.5,14.2,2,304,368,82.6,11,24,11,4,25,5988,2576,122,134,91.0,145,166,87.3,35,62,56.5,29,17,4,2,4,2,0,3,1,0,0,1,1,0,496,84,222,174,105,23,496,13,7,5,7,1,4,9,44.4,5,6,4,2,8,21,36,0,333,35,8,0,0,22,9,9,2,4,0,0,5,1,0,0,9,8,0,0,0,0,41,Match Report
9,Cagliari,2024-10-25,0,251,3,0,15,4,3,1,413,@,Udinese,it Serie A,L 0-2,0,2,-2,36,0,0,0,0,0,3,0.0,,0,0.0,23.6,0,251,322,78.0,2,15,1,1,19,4799,1783,82,95,86.3,144,165,87.3,24,57,42.1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,413,67,197,180,43,3,413,15,12,9,4,2,8,14,57.1,6,5,2,3,3,18,22,0,275,46,16,1,0,11,14,4,2,1,0,1,4,3,1,1,9,13,1,0,0,0,37,Match Report
10,Cagliari,2024-10-29,0,299,27,0,16,7,2,1,502,,Bologna,it Serie A,L 0-2,0,2,-2,42,0,0,0,0,0,14,0.0,0.0,2,14.3,15.7,0,299,404,74.0,10,19,3,0,28,6081,2471,102,123,82.9,156,180,86.7,38,79,48.1,27,19,5,0,1,2,0,0,0,0,0,0,0,0,502,62,220,200,89,16,502,16,9,2,14,0,7,13,53.8,6,6,3,3,8,24,19,0,349,54,19,1,0,16,19,7,0,7,0,1,13,2,0,0,17,18,1,0,0,0,44,Match Report
