Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Como,2024-08-19,0,358,4,0,7,0,4,1,477,@,Juventus,it Serie A,L 0-3,0,3,-3,43,0,0,0,0,0,3,0.0,,0,0.0,19.4,0,358,415,86.3,2,22,2,1,34,6476,1763,142,152,93.4,185,197,93.9,27,52,51.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,477,49,159,229,90,5,477,7,4,1,3,3,3,10,30.0,7,4,1,3,4,11,10,2,372,42,14,0,4,12,17,0,0,0,0,1,8,4,0,0,12,11,1,0,0,0,24,Match Report
2,Como,2024-08-26,1,355,23,1,12,6,2,3,576,@,Cagliari,it Serie A,D 1-1,1,1,0,53,1,0,0,0,1,14,0.07,0.25,4,28.6,17.5,0,355,469,75.7,11,25,9,2,26,6282,2552,169,197,85.8,125,149,83.9,45,89,50.6,23,15,3,1,4,0,0,1,0,0,0,1,0,0,576,59,191,255,134,26,576,12,6,8,1,3,5,10,50.0,5,13,2,11,9,21,34,0,422,44,13,1,2,22,17,6,1,4,0,3,4,2,0,0,10,10,3,0,0,0,40,Match Report
3,Como,2024-09-01,0,447,36,0,26,6,0,1,649,@,Udinese,it Serie A,L 0-1,0,1,-1,56,0,0,1,1,0,20,0.0,0.0,4,20.0,17.5,0,447,540,82.8,13,30,8,4,49,7445,2550,217,238,91.2,187,215,87.0,34,55,61.8,36,23,4,1,5,1,2,0,0,0,0,0,0,0,649,51,156,305,198,28,648,26,19,9,13,4,12,26,46.2,14,10,3,7,11,37,21,0,490,49,17,1,1,25,21,6,1,3,0,1,21,0,0,0,9,13,1,0,0,0,48,Match Report
4,Como,2024-09-14,1,326,27,2,23,4,2,2,516,,Bologna,it Serie A,D 2-2,2,2,0,44,1,0,0,0,1,14,0.07,0.25,4,28.6,18.2,0,326,410,79.5,11,15,5,0,26,5682,2093,136,158,86.1,147,168,87.5,28,59,47.5,27,15,4,5,1,1,1,2,2,0,0,0,0,0,516,70,211,226,87,21,516,23,15,18,3,2,10,20,50.0,10,16,5,11,8,31,21,0,363,45,16,3,1,14,17,4,1,3,0,2,7,2,0,0,17,12,2,0,0,0,57,Match Report
5,Como,2024-09-24,2,325,21,4,29,2,3,0,532,@,Atalanta,it Serie A,W 3-2,3,2,1,41,2,0,0,0,2,14,0.14,0.29,7,50.0,20.6,0,325,408,79.7,11,20,4,1,24,5268,1972,170,190,89.5,139,160,86.9,14,44,31.8,21,18,0,0,2,0,1,4,4,0,0,0,0,0,532,95,233,216,87,12,532,29,18,12,16,1,11,21,52.4,10,6,0,6,13,42,32,0,375,33,11,2,1,7,12,2,0,1,0,0,9,3,0,0,17,12,0,0,1,0,46,Match Report
6,Como,2024-09-29,3,538,45,6,15,9,2,2,722,,Hellas Verona,it Serie A,W 3-2,3,2,1,71,3,0,0,0,3,24,0.13,0.27,11,45.8,19.2,0,538,623,86.4,23,33,12,1,43,8570,2898,273,290,94.1,204,228,89.5,35,66,53.0,45,37,3,2,2,1,0,6,5,0,1,0,0,0,722,48,200,343,182,36,722,15,12,5,4,6,8,15,53.3,7,5,1,4,7,22,7,1,568,53,20,4,3,22,19,9,1,5,0,2,10,2,0,0,10,16,2,0,1,0,36,Match Report
7,Como,2024-10-04,1,589,22,2,17,1,1,0,751,@,Napoli,it Serie A,L 1-3,1,3,-2,59,1,0,0,0,1,11,0.09,0.5,2,18.2,24.3,0,589,656,89.8,10,47,4,0,42,9592,2693,296,317,93.4,232,252,92.1,46,58,79.3,22,21,0,1,0,0,0,2,2,0,0,0,0,0,751,47,188,388,181,13,751,17,10,11,5,1,8,18,44.4,10,11,3,8,10,27,16,0,628,28,9,1,4,7,14,1,0,0,0,0,6,1,0,0,10,7,0,0,1,0,44,Match Report
8,Como,2024-10-19,1,535,19,2,18,7,1,7,727,,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,1,12,0.08,0.33,3,25.0,16.0,0,535,633,84.5,10,47,12,3,54,8628,3160,265,284,93.3,221,248,89.1,36,58,62.1,19,16,2,0,1,0,0,2,2,0,0,0,0,0,727,78,248,325,165,26,727,18,11,14,3,1,9,18,50.0,9,6,0,6,10,28,17,0,579,47,12,1,1,20,15,7,1,1,0,7,15,1,0,0,14,9,7,0,0,0,51,Match Report
9,Como,2024-10-25,0,575,34,0,18,3,3,1,780,@,Torino,it Serie A,L 0-1,0,1,-1,68,0,0,0,0,0,20,0.0,0.0,6,30.0,18.3,0,575,671,85.7,12,45,10,1,48,9559,3140,270,286,94.4,235,268,87.7,46,73,63.0,34,26,2,1,5,0,0,0,0,0,0,0,0,0,780,45,201,424,160,27,780,18,10,5,11,2,8,14,57.1,6,7,3,4,6,24,19,1,622,48,16,2,2,19,22,3,2,0,0,1,11,3,0,0,12,13,1,0,0,0,41,Match Report
10,Como,2024-10-31,1,378,25,1,17,3,2,1,555,,Lazio,it Serie A,L 1-5,1,5,-4,51,1,0,0,0,1,14,0.07,0.5,2,14.3,18.9,1,378,459,82.4,11,29,3,3,28,6646,2151,174,197,88.3,172,193,89.1,30,58,51.7,25,21,2,1,0,1,0,1,1,0,0,0,0,0,555,51,165,264,133,18,555,17,11,8,5,4,10,20,50.0,10,7,3,4,6,23,19,2,408,50,19,1,4,17,19,3,0,2,0,1,5,2,1,1,14,18,1,0,1,0,41,Match Report
