Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Empoli,2024-08-17,0,198,17,0,17,7,0,4,403,,Monza,it Serie A,D 0-0,0,0,0,39,0,0,0,0,0,11,0.0,0.0,2,18.2,17.8,1,198,307,64.5,7,23,3,0,35,3341,1417,97,132,73.5,74,100,74.0,17,49,34.7,17,6,5,2,1,3,0,0,0,0,0,0,0,0,403,38,88,205,117,14,403,17,9,3,10,4,6,10,60.0,4,9,3,6,4,21,21,0,252,51,19,0,2,21,20,7,2,4,0,4,4,0,0,0,16,18,4,0,0,0,41,Match Report
2,Empoli,2024-08-25,2,187,22,2,21,5,3,0,379,@,Roma,it Serie A,W 2-1,2,1,1,27,1,1,1,0,2,13,0.08,0.33,3,23.1,13.6,0,187,251,74.5,12,11,5,3,17,3472,1397,87,105,82.9,67,80,83.8,31,58,53.4,22,16,1,1,3,1,0,2,0,0,0,1,1,0,379,87,189,129,69,19,378,21,12,12,9,0,11,16,68.8,5,20,10,10,6,27,37,0,215,36,9,1,3,9,8,5,1,2,0,0,4,3,0,0,11,10,0,1,0,0,32,Match Report
3,Empoli,2024-08-31,1,214,5,2,18,3,3,1,431,@,Bologna,it Serie A,D 1-1,1,1,0,31,1,0,0,0,1,3,0.33,0.5,2,66.7,7.3,0,214,309,69.3,2,18,1,0,18,3805,1786,92,112,82.1,88,111,79.3,25,63,39.7,5,4,1,0,0,0,0,2,2,0,0,0,0,0,431,90,217,152,66,7,431,18,15,14,4,0,8,12,66.7,4,8,2,6,12,30,48,0,264,44,17,2,2,11,11,3,0,3,0,1,8,3,0,0,18,14,1,0,0,0,31,Match Report
4,Empoli,2024-09-14,0,285,15,0,24,4,1,0,481,,Juventus,it Serie A,D 0-0,0,0,0,35,0,0,0,0,0,8,0.0,0.0,3,37.5,21.5,0,285,370,77.0,8,19,4,0,20,5252,1692,111,131,84.7,139,164,84.8,29,55,52.7,15,10,3,1,1,0,0,0,0,0,0,0,0,0,481,59,180,231,76,15,481,24,14,14,10,0,16,25,64.0,9,11,6,5,5,29,23,0,327,43,10,0,2,9,19,4,0,4,0,0,11,1,0,0,11,10,0,0,0,0,42,Match Report
5,Empoli,2024-09-20,2,221,17,4,12,4,2,2,469,@,Cagliari,it Serie A,W 2-0,2,0,2,39,2,0,0,0,2,9,0.22,0.5,4,44.4,14.3,0,221,332,66.6,7,18,4,2,25,3771,1864,101,129,78.3,97,123,78.9,17,58,29.3,17,12,2,2,1,0,0,4,2,0,1,1,0,0,469,90,205,178,89,12,469,12,6,8,4,0,5,11,45.5,6,19,7,12,8,20,51,0,277,53,15,1,0,14,21,4,1,3,0,2,9,2,0,0,21,14,2,0,0,0,36,Match Report
6,Empoli,2024-09-29,0,257,14,0,24,2,0,1,452,,Fiorentina,it Serie A,D 0-0,0,0,0,38,0,0,0,0,0,8,0.0,0.0,1,12.5,21.6,0,257,350,73.4,8,17,2,0,19,4801,2019,104,123,84.6,129,161,80.1,23,51,45.1,14,10,0,3,0,0,1,0,0,0,0,0,0,0,452,57,189,200,70,8,452,24,13,12,10,2,11,20,55.0,9,9,7,2,10,34,20,0,301,48,13,0,1,11,21,2,0,1,0,1,10,0,0,0,15,12,1,0,0,0,39,Match Report
7,Empoli,2024-10-06,1,251,14,2,15,3,4,1,445,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,1,7,0.14,0.5,2,28.6,14.5,0,251,339,74.0,6,15,5,3,22,4464,1810,107,121,88.4,102,125,81.6,29,64,45.3,14,11,1,2,0,0,0,2,2,0,0,0,0,0,445,84,190,187,76,9,445,15,7,5,8,2,6,10,60.0,4,3,2,1,5,20,30,0,284,54,11,2,1,15,22,3,0,1,0,1,5,4,0,0,17,10,1,0,1,0,29,Match Report
8,Empoli,2024-10-20,0,353,21,0,20,7,2,1,537,,Napoli,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,0,11,0.0,0.0,4,36.4,21.0,1,353,437,80.8,9,28,7,0,39,6532,2152,139,159,87.4,176,198,88.9,36,64,56.3,21,15,2,0,1,2,1,0,0,0,0,0,0,0,537,52,188,233,126,20,537,20,13,10,9,1,10,18,55.6,8,10,3,7,10,30,10,0,389,47,12,1,3,19,22,7,1,3,0,1,13,2,0,0,14,13,1,0,1,0,44,Match Report
9,Empoli,2024-10-27,0,295,9,0,15,3,4,2,486,@,Parma,it Serie A,D 1-1,1,1,0,40,0,0,0,0,0,5,0.0,0.0,1,20.0,18.3,0,295,381,77.4,4,14,2,0,23,5408,2137,115,136,84.6,150,170,88.2,26,63,41.3,9,5,1,2,0,1,0,0,0,0,0,0,0,0,486,69,211,207,77,12,486,15,10,9,5,1,7,13,53.8,6,9,5,4,8,23,30,0,335,44,13,1,2,12,14,3,1,1,0,2,8,4,0,0,17,12,2,0,1,0,39,Match Report
10,Empoli,2024-10-30,0,182,10,0,10,1,1,3,351,,Inter,it Serie A,L 0-3,0,3,-3,23,0,0,0,0,0,6,0.0,0.0,1,16.7,18.2,1,182,242,75.2,3,9,1,1,13,3596,1240,64,74,86.5,94,107,87.9,22,50,44.0,10,7,0,0,2,1,0,0,0,0,0,0,0,0,351,77,171,119,63,9,351,10,6,5,4,1,5,8,62.5,3,11,4,7,9,19,33,1,196,43,13,0,1,7,16,1,0,0,0,3,5,1,1,0,12,12,3,0,0,0,26,Match Report
