Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Fiorentina,2024-08-17,1,373,25,1,7,9,2,5,560,@,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,1,15,0.07,0.14,7,46.7,21.8,1,373,462,80.7,8,29,3,1,39,6747,1831,159,175,90.9,175,201,87.1,32,67,47.8,25,20,0,3,2,0,0,1,1,0,0,0,0,0,560,65,168,263,132,16,560,7,5,5,1,1,2,8,25.0,6,8,4,4,5,12,25,0,409,48,15,0,9,20,15,9,3,4,0,5,5,2,1,1,9,11,5,0,0,0,43,Match Report
2,Fiorentina,2024-08-25,0,378,23,0,19,7,1,1,561,,Venezia,it Serie A,D 0-0,0,0,0,54,0,0,0,0,0,14,0.0,0.0,8,57.1,19.6,1,378,469,80.6,12,18,4,0,32,6601,2332,162,176,92.0,179,205,87.3,29,67,43.3,23,17,1,2,2,1,0,0,0,0,0,0,0,0,561,60,221,234,109,23,561,19,11,6,9,4,4,13,30.8,9,8,2,6,6,25,10,0,424,44,22,0,2,17,10,7,2,3,0,1,7,1,0,0,13,19,1,0,0,0,35,Match Report
3,Fiorentina,2024-09-01,2,552,35,4,20,7,2,1,739,,Monza,it Serie A,D 2-2,2,2,0,68,2,0,0,0,2,18,0.11,0.33,6,33.3,12.2,0,552,658,83.9,14,35,7,4,46,10011,2870,224,252,88.9,261,287,90.9,58,96,60.4,35,22,6,3,2,2,0,4,1,2,1,0,0,0,739,35,154,400,189,32,739,20,11,9,7,4,9,11,81.8,2,3,1,2,5,25,7,0,595,62,22,0,2,29,30,7,1,5,0,1,8,2,0,0,11,21,1,0,0,0,29,Match Report
4,Fiorentina,2024-09-15,2,333,23,2,17,2,3,4,532,@,Atalanta,it Serie A,L 2-3,2,3,-1,49,2,0,0,0,2,13,0.15,0.4,5,38.5,15.4,0,333,437,76.2,9,23,4,1,25,6561,2492,117,139,84.2,183,214,85.5,33,66,50.0,23,15,2,1,3,2,0,2,0,0,0,2,0,0,532,75,223,224,91,14,532,17,10,10,4,3,8,14,57.1,6,7,1,6,7,24,19,1,379,54,18,1,2,13,20,2,1,0,1,4,15,3,0,0,15,14,4,0,0,0,32,Match Report
5,Fiorentina,2024-09-22,2,334,28,4,11,3,3,0,494,,Lazio,it Serie A,W 2-1,2,1,1,46,0,2,2,0,2,12,0.0,0.0,3,25.0,18.5,0,334,391,85.4,12,23,10,8,25,6720,2514,112,129,86.8,175,193,90.7,39,53,73.6,28,19,3,2,1,2,1,4,2,0,0,0,2,0,494,75,212,182,103,23,492,11,7,6,3,2,5,11,45.5,6,9,7,2,6,17,31,0,349,42,14,1,3,14,16,3,0,1,0,0,4,3,0,0,11,15,0,2,0,0,30,Match Report
6,Fiorentina,2024-09-29,0,487,23,0,16,4,1,1,682,@,Empoli,it Serie A,D 0-0,0,0,0,62,0,0,0,0,0,13,0.0,,0,0.0,18.4,1,487,580,84.0,8,43,10,3,51,10223,3397,147,166,88.6,237,264,89.8,91,130,70.0,23,16,1,3,1,1,1,0,0,0,0,0,0,0,682,58,211,336,138,24,682,16,11,8,6,2,4,16,25.0,12,12,3,9,10,26,12,0,530,49,15,0,10,17,23,4,2,1,0,1,3,1,0,0,12,15,1,0,0,0,47,Match Report
7,Fiorentina,2024-10-03,2,760,50,2,16,12,1,4,939,,The New Saints,Conference League,W 2-0,2,0,2,79,2,0,0,0,2,28,0.07,0.2,10,35.7,16.7,0,760,850,89.4,20,81,13,1,82,12768,3161,328,352,93.2,340,368,92.4,57,77,74.0,50,40,2,2,6,0,0,2,0,0,0,2,0,0,939,30,106,508,332,48,939,16,7,4,9,3,8,18,44.4,10,1,1,0,5,21,2,0,800,46,11,3,4,28,18,12,1,6,1,4,9,1,0,0,11,10,4,0,0,0,43,Match Report
8,Fiorentina,2024-10-06,2,258,24,4,16,0,2,4,438,,Milan,it Serie A,W 2-1,2,1,1,41,2,0,1,1,2,11,0.18,1.0,2,18.2,20.6,1,258,339,76.1,7,19,4,1,20,4787,1810,111,125,88.8,120,145,82.8,24,54,44.4,24,15,3,3,0,3,0,4,1,2,0,0,1,0,438,80,177,176,92,15,437,16,7,8,6,2,8,18,44.4,10,9,3,6,8,24,29,0,284,51,19,1,2,14,21,0,0,0,0,4,9,2,0,0,11,21,4,1,2,0,35,Match Report
9,Fiorentina,2024-10-20,6,526,33,9,14,3,5,2,699,@,Lecce,it Serie A,W 6-0,6,0,6,61,6,0,0,0,6,19,0.32,0.55,11,57.9,19.0,1,526,598,88.0,16,43,11,1,52,8523,2786,261,276,94.6,195,219,89.0,46,67,68.7,33,28,0,2,1,1,1,9,6,0,1,1,1,0,699,39,147,379,179,22,699,14,7,4,5,5,9,14,64.3,5,10,1,9,5,19,18,0,566,30,7,3,1,13,15,3,0,1,0,2,5,5,0,0,14,8,2,0,0,0,47,Match Report
10,Fiorentina,2024-10-24,4,457,42,7,11,7,3,1,668,@,St. Gallen,Conference League,W 4-2,4,2,2,56,4,0,0,0,4,25,0.16,0.27,15,60.0,17.0,0,457,552,82.8,19,31,11,3,50,8939,2894,169,197,85.8,210,236,89.0,67,98,68.4,42,34,3,3,2,0,0,7,4,2,0,1,0,0,668,60,208,298,168,30,668,11,6,7,3,1,5,8,62.5,3,6,1,5,16,27,20,1,496,55,11,2,9,20,31,7,2,3,0,1,9,3,0,0,8,10,1,0,0,0,50,Match Report
11,Fiorentina,2024-10-27,4,319,34,7,18,6,2,2,465,,Roma,it Serie A,W 5-1,5,1,4,39,3,1,1,0,4,20,0.15,0.33,9,45.0,16.2,0,319,370,86.2,16,23,5,2,26,5860,2185,142,153,92.8,135,154,87.7,39,56,69.6,34,24,2,4,2,2,0,7,5,0,1,0,1,0,465,57,167,191,120,28,464,18,9,9,6,3,5,10,50.0,5,11,7,4,4,22,22,1,340,28,12,1,2,14,5,6,2,3,0,2,3,2,0,0,13,11,2,1,0,0,39,Match Report
12,Fiorentina,2024-10-31,1,483,24,2,3,4,2,2,678,@,Genoa,it Serie A,W 1-0,1,0,1,67,1,0,0,0,1,12,0.08,0.25,4,33.3,22.4,0,483,564,85.6,10,35,7,2,38,9051,2683,179,198,90.4,252,280,90.0,49,71,69.0,24,18,2,1,1,1,1,2,2,0,0,0,0,0,678,73,220,294,166,19,678,3,3,2,1,0,1,4,25.0,3,11,4,7,6,9,31,2,515,47,14,3,3,18,19,4,2,1,0,2,8,2,0,0,10,12,2,0,0,0,35,Match Report
13,Fiorentina,2024-11-03,1,391,13,2,17,3,1,2,562,@,Torino,it Serie A,W 1-0,1,0,1,46,1,0,0,0,1,8,0.13,0.33,3,37.5,22.7,2,391,469,83.4,6,31,5,0,29,7259,2423,175,189,92.6,156,176,88.6,52,80,65.0,13,10,1,0,0,2,0,2,2,0,0,0,0,0,562,57,168,287,110,7,562,17,13,11,6,0,9,11,81.8,2,7,1,6,7,24,18,0,430,37,16,2,2,13,8,3,0,1,0,2,4,1,0,0,12,15,2,0,0,0,29,Match Report
14,Fiorentina,2024-11-07,1,458,27,2,16,4,2,2,648,@,APOEL,Conference League,L 1-2,1,2,-1,62,1,0,0,0,1,14,0.07,0.17,6,42.9,16.7,0,458,544,84.2,11,42,17,7,49,8709,2582,158,186,84.9,227,254,89.4,55,75,73.3,27,22,3,0,0,2,0,2,2,0,0,0,0,0,648,37,142,328,187,37,648,16,9,7,8,1,8,12,66.7,4,6,1,5,7,23,11,0,501,41,14,3,2,24,15,4,3,1,0,2,10,2,0,0,14,12,2,0,0,0,40,Match Report
15,Fiorentina,2024-11-10,3,371,20,6,18,8,1,6,576,,Hellas Verona,it Serie A,W 3-1,3,1,2,61,3,0,0,0,3,11,0.27,0.5,6,54.5,14.0,0,371,478,77.6,9,33,10,1,46,7309,2640,145,161,90.1,176,208,84.6,46,78,59.0,20,16,1,2,1,0,0,6,4,1,1,0,0,0,576,34,125,305,151,23,576,18,7,7,9,2,6,12,50.0,6,9,3,6,3,21,11,0,405,67,21,2,3,21,31,8,2,4,0,6,15,1,0,0,1,16,6,0,0,0,31,Match Report
16,Fiorentina,2024-11-24,2,330,14,4,12,4,1,3,509,@,Como,it Serie A,W 2-0,2,0,2,43,2,0,0,0,2,8,0.25,0.5,4,50.0,12.8,0,330,419,78.8,7,29,8,1,36,6652,2514,118,138,85.5,162,194,83.5,50,76,65.8,14,11,0,1,1,0,1,4,4,0,0,0,0,0,509,63,186,245,84,20,509,12,12,3,7,2,8,14,57.1,6,6,1,5,9,21,27,0,372,44,11,0,2,13,17,4,3,0,0,3,7,1,0,0,15,8,3,0,0,0,40,Match Report
17,Fiorentina,2024-11-28,2,394,24,4,15,4,2,0,536,,Pafos FC,Conference League,W 3-2,3,2,1,49,2,0,0,0,2,13,0.15,0.5,4,30.8,14.3,0,394,443,88.9,11,25,8,3,40,8078,2626,103,113,91.2,235,250,94.0,48,67,71.6,24,19,2,1,1,1,0,4,4,0,0,0,0,0,536,86,222,207,116,27,536,15,13,10,5,0,8,15,53.3,7,9,2,7,5,20,15,2,391,52,18,0,4,12,13,4,0,3,0,0,7,2,0,0,11,17,0,0,0,0,31,Match Report
18,Fiorentina,2024-12-08,1,363,15,2,16,6,3,1,569,,Cagliari,it Serie A,W 1-0,1,0,1,49,1,0,0,0,1,8,0.13,0.33,3,37.5,19.8,1,363,468,77.6,5,22,6,1,37,6643,2202,152,174,87.4,181,213,85.0,29,74,39.2,15,13,0,0,1,1,0,2,1,0,0,1,0,0,569,46,180,270,121,22,569,16,7,5,7,4,5,17,29.4,12,8,3,5,13,29,24,0,410,57,22,0,2,16,22,6,3,3,0,1,7,3,0,0,9,20,1,0,0,0,40,Match Report
19,Fiorentina,2024-12-12,6,557,38,10,9,5,1,3,727,,LASK,Conference League,W 7-0,7,0,7,54,5,1,1,0,6,22,0.23,0.63,8,36.4,13.6,0,557,622,89.5,18,37,17,4,50,9864,2998,210,226,92.9,232,249,93.2,72,92,78.3,38,24,2,5,5,2,0,10,5,1,1,1,2,0,727,45,131,373,235,54,726,9,6,1,5,3,3,7,42.9,4,11,2,9,9,18,12,1,589,30,12,1,2,16,7,5,3,1,0,3,4,1,0,0,14,13,3,1,0,0,55,Match Report
20,Fiorentina,2024-12-15,0,264,19,0,24,3,2,2,490,@,Bologna,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,0,10,0.0,0.0,4,40.0,17.4,2,264,386,68.4,7,22,3,1,21,5373,2353,95,120,79.2,113,147,76.9,45,90,50.0,19,11,2,1,2,3,0,0,0,0,0,0,0,0,490,46,169,235,93,21,490,24,14,14,9,1,14,24,58.3,10,8,3,5,7,31,11,1,327,57,16,0,1,14,28,3,3,0,0,2,10,2,0,0,10,14,2,0,0,0,32,Match Report
21,Fiorentina,2024-12-19,1,410,20,2,18,7,1,2,623,@,Vitória,Conference League,D 1-1,1,1,0,54,1,0,0,0,1,12,0.08,0.5,2,16.7,14.3,0,410,507,80.9,8,35,6,2,47,7890,2786,140,165,84.8,205,228,89.9,51,84,60.7,20,14,1,1,3,0,1,2,2,0,0,0,0,0,623,79,215,262,155,27,623,18,15,9,4,5,8,13,61.5,5,9,2,7,15,33,14,2,438,67,19,3,2,14,28,7,4,2,0,2,13,1,0,0,7,18,2,0,0,0,47,Match Report
22,Fiorentina,2024-12-23,1,330,23,2,9,10,2,5,542,,Udinese,it Serie A,L 1-2,1,2,-1,51,0,1,1,0,1,14,0.0,0.0,2,14.3,17.1,0,330,435,75.9,9,24,8,0,44,6163,2218,138,157,87.9,157,186,84.4,34,76,44.7,23,14,2,1,4,2,0,2,1,0,0,0,1,0,542,56,180,228,142,17,541,9,6,6,3,0,3,7,42.9,4,6,1,5,8,17,25,1,376,54,14,0,2,29,19,10,9,1,0,5,10,2,0,0,10,14,5,1,0,0,43,Match Report
23,Fiorentina,2024-12-29,2,265,20,3,18,2,1,1,462,@,Juventus,it Serie A,D 2-2,2,2,0,38,2,0,0,0,2,11,0.18,0.5,4,36.4,18.2,1,265,343,77.3,8,29,4,2,34,5024,1947,101,121,83.5,129,145,89.0,28,54,51.9,20,14,1,2,2,1,0,3,2,0,0,1,0,0,462,70,171,197,100,12,462,18,10,10,6,2,13,25,52.0,12,4,3,1,10,28,33,0,298,44,13,0,2,7,17,2,2,0,0,1,7,1,0,0,9,13,1,0,0,0,37,Match Report
24,Fiorentina,2025-01-04,0,353,25,0,24,4,0,3,559,,Napoli,it Serie A,L 0-3,0,3,-3,48,0,0,0,0,0,14,0.0,0.0,2,14.3,17.2,0,353,443,79.7,9,29,10,4,31,6090,1921,155,177,87.6,165,192,85.9,27,53,50.9,25,19,0,1,4,0,1,0,0,0,0,0,0,0,559,45,138,277,153,22,559,24,17,11,11,2,16,26,61.5,10,8,0,8,6,30,15,1,393,47,17,0,2,21,12,4,0,3,0,3,5,0,0,0,17,14,3,0,1,0,47,Match Report
25,Fiorentina,2025-01-13,1,540,22,2,16,4,1,1,718,@,Monza,it Serie A,L 1-2,1,2,-1,65,0,1,1,0,1,10,0.0,,0,0.0,18.0,0,540,629,85.9,9,32,12,3,64,9927,2704,198,223,88.8,269,295,91.2,60,82,73.2,22,15,2,3,0,2,0,2,0,0,1,0,1,0,718,39,177,366,185,31,717,16,12,8,4,4,7,16,43.8,9,5,2,3,6,22,14,3,578,50,24,0,5,23,15,4,3,0,0,1,11,1,0,0,9,24,1,1,0,0,44,Match Report
26,Fiorentina,2025-01-19,1,420,37,1,18,9,3,0,602,,Torino,it Serie A,D 1-1,1,1,0,53,1,0,0,0,1,20,0.05,0.17,6,30.0,16.2,0,420,493,85.2,16,40,15,5,56,7776,2729,163,180,90.6,218,240,90.8,38,64,59.4,37,29,2,1,3,1,1,1,0,0,0,1,0,0,602,51,180,250,178,33,602,18,9,6,7,5,9,14,64.3,5,11,1,10,6,24,21,1,449,44,14,2,1,27,15,9,5,1,0,0,8,3,0,0,16,11,0,0,0,0,34,Match Report
