Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Genoa,2024-08-17,2,188,20,2,10,1,1,0,363,,Inter,it Serie A,D 2-2,2,2,0,32,2,0,1,1,2,12,0.17,0.33,6,50.0,19.2,1,188,260,72.3,5,15,3,2,16,3784,1560,76,86,88.4,77,100,77.0,33,66,50.0,20,10,2,2,2,4,0,2,0,0,0,2,0,0,363,68,145,153,71,14,362,10,4,6,3,1,6,10,60.0,4,9,3,6,12,22,22,1,216,44,20,1,1,12,12,1,0,1,0,0,3,1,0,0,16,14,0,0,0,0,27,Match Report
2,Genoa,2024-08-24,1,226,16,1,12,3,3,1,409,@,Monza,it Serie A,W 1-0,1,0,1,31,1,0,0,0,1,11,0.09,1.0,1,9.1,22.3,0,226,301,75.1,10,15,3,1,19,4318,1926,105,118,89.0,86,111,77.5,30,56,53.6,16,11,3,0,2,0,0,1,1,0,0,0,0,0,409,53,154,172,89,12,409,12,7,3,5,4,3,9,33.3,6,9,2,7,3,15,29,0,264,36,7,0,2,16,17,3,1,2,0,1,4,3,0,0,17,5,1,0,0,0,34,Match Report
3,Genoa,2024-09-01,0,399,21,0,14,3,2,1,602,,Hellas Verona,it Serie A,L 0-2,0,2,-2,58,0,0,0,0,0,11,0.0,0.0,1,9.1,19.3,1,399,509,78.4,6,35,9,3,44,7500,2966,145,174,83.3,206,233,88.4,39,79,49.4,21,16,1,1,1,2,0,0,0,0,0,0,0,0,602,49,193,304,112,16,602,14,8,6,7,1,4,10,40.0,6,9,2,7,4,18,17,0,458,50,16,0,3,22,20,3,0,3,0,1,6,2,0,0,8,16,1,0,1,0,31,Match Report
4,Genoa,2024-09-15,1,346,33,2,25,4,1,1,556,,Roma,it Serie A,D 1-1,1,1,0,48,1,0,0,0,1,20,0.05,0.14,7,35.0,16.9,2,346,435,79.5,14,34,12,7,38,5966,2069,151,167,90.4,147,171,86.0,32,66,48.5,33,24,4,0,2,3,0,2,2,0,0,0,0,0,556,53,161,239,159,26,556,25,15,9,11,5,11,20,55.0,9,10,3,7,10,35,13,0,391,43,11,0,2,32,16,4,1,2,0,1,10,1,0,0,9,12,1,0,0,0,43,Match Report
5,Genoa,2024-09-21,0,342,18,0,16,4,3,7,536,@,Venezia,it Serie A,L 0-2,0,2,-2,51,0,0,0,0,0,9,0.0,,0,0.0,14.8,0,342,433,79.0,9,19,4,2,24,5936,2116,151,170,88.8,144,162,88.9,38,71,53.5,18,11,4,0,1,0,2,0,0,0,0,0,0,0,536,51,184,250,108,14,536,16,10,7,7,2,3,11,27.3,8,8,3,5,15,31,19,1,387,39,9,1,2,13,13,4,2,2,0,7,10,3,0,0,12,7,7,0,1,0,41,Match Report
6,Genoa,2024-09-28,0,282,12,0,12,5,2,0,445,,Juventus,it Serie A,L 0-3,0,3,-3,35,0,0,0,0,0,7,0.0,0.0,2,28.6,21.1,2,282,356,79.2,5,12,4,1,17,5388,1938,115,133,86.5,124,138,89.9,37,61,60.7,12,8,1,0,1,2,0,0,0,0,0,0,0,0,445,77,187,172,89,10,445,12,5,6,4,2,6,17,35.3,11,6,2,4,13,25,20,0,311,45,12,0,2,13,15,5,2,3,0,0,11,2,0,0,8,14,0,0,1,0,23,Match Report
7,Genoa,2024-10-05,1,296,13,2,17,2,0,1,471,@,Atalanta,it Serie A,L 1-5,1,5,-4,37,1,0,0,0,1,7,0.14,0.5,2,28.6,19.0,0,296,366,80.9,7,10,5,3,15,5848,2369,97,115,84.3,162,183,88.5,32,50,64.0,13,8,2,2,0,1,0,2,2,0,0,0,0,0,471,96,231,181,63,12,471,17,14,9,5,3,11,19,57.9,8,11,5,6,8,25,32,0,325,40,10,3,2,10,9,2,1,0,0,1,4,0,0,0,15,9,1,0,1,0,32,Match Report
8,Genoa,2024-10-19,2,204,19,4,17,1,2,3,405,,Bologna,it Serie A,D 2-2,2,2,0,39,2,0,0,0,2,10,0.2,0.5,4,40.0,20.5,0,204,307,66.4,9,10,5,1,23,3448,1668,98,114,86.0,80,111,72.1,16,53,30.2,19,16,1,1,0,1,0,4,2,1,0,0,1,0,405,71,143,164,101,18,405,17,10,7,5,5,5,10,50.0,5,10,4,6,5,22,19,0,265,39,14,0,0,13,16,1,1,0,0,3,6,2,0,0,20,9,3,0,0,0,38,Match Report
9,Genoa,2024-10-27,0,299,8,0,19,4,1,0,497,@,Lazio,it Serie A,L 0-3,0,3,-3,39,0,0,0,0,0,6,0.0,0.0,2,33.3,21.8,0,299,390,76.7,2,18,1,1,23,5839,2468,113,142,79.6,143,172,83.1,36,61,59.0,8,5,2,0,1,0,0,0,0,0,0,0,0,0,497,78,213,202,86,15,497,19,11,9,9,1,6,16,37.5,10,11,3,8,4,23,28,1,338,52,13,0,1,14,19,4,3,0,0,0,8,1,0,0,6,11,0,0,0,0,33,Match Report
10,Genoa,2024-10-31,0,182,25,0,20,4,4,1,371,,Fiorentina,it Serie A,L 0-1,0,1,-1,33,0,0,0,0,0,14,0.0,0.0,4,28.6,18.3,1,182,274,66.4,8,22,6,1,22,3391,1691,84,102,82.4,67,88,76.1,24,61,39.3,25,20,2,0,0,3,0,0,0,0,0,0,0,0,371,52,127,141,108,18,371,20,11,11,7,2,12,20,60.0,8,12,6,6,2,22,20,0,235,38,10,0,1,22,18,4,4,0,0,1,9,4,0,0,13,10,1,0,0,0,28,Match Report
