Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Hellas Verona,2024-08-18,3,195,16,5,18,1,4,2,390,,Napoli,it Serie A,W 3-0,3,0,3,33,3,0,0,0,3,9,0.33,0.75,4,44.4,16.1,0,195,296,65.9,8,13,6,2,18,3478,1407,93,109,85.3,73,101,72.3,20,69,29.0,16,10,1,1,2,0,2,5,3,0,0,1,0,1,390,57,160,168,68,10,390,18,10,6,11,1,7,15,46.7,8,13,2,11,10,28,23,2,260,34,13,1,3,9,9,1,0,1,0,2,4,4,0,0,15,13,2,0,0,0,44,Match Report
2,Hellas Verona,2024-08-26,0,356,11,0,14,4,2,1,519,,Juventus,it Serie A,L 0-3,0,3,-3,40,0,0,0,0,0,7,0.0,0.0,1,14.3,17.3,2,356,434,82.0,3,36,4,0,36,5910,1560,173,190,91.1,141,172,82.0,28,46,60.9,11,8,0,1,0,2,0,0,0,0,0,0,0,0,519,26,102,267,158,14,519,14,8,5,6,3,7,13,53.8,6,11,2,9,8,22,10,1,395,38,7,1,7,20,23,4,2,2,0,1,6,2,0,0,8,8,1,0,1,0,38,Match Report
3,Hellas Verona,2024-09-01,2,258,18,3,19,1,6,1,472,@,Genoa,it Serie A,W 2-0,2,0,2,42,1,1,1,0,2,9,0.11,0.5,2,22.2,20.3,0,258,362,71.3,7,19,6,2,24,4450,1881,134,157,85.4,89,118,75.4,26,69,37.7,18,15,2,0,0,1,0,3,2,1,0,0,0,0,472,58,171,209,93,17,471,19,9,8,11,0,7,11,63.6,4,8,3,5,6,25,26,0,325,36,8,0,2,14,14,1,0,0,0,1,7,6,0,0,16,5,1,0,0,0,33,Match Report
4,Hellas Verona,2024-09-16,1,360,13,2,11,6,2,3,542,@,Lazio,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,1,7,0.14,0.5,2,28.6,19.6,0,360,447,80.5,6,22,1,1,32,6153,2062,155,170,91.2,166,191,86.9,28,58,48.3,13,10,2,1,0,0,0,2,2,0,0,0,0,0,542,65,200,281,70,8,542,11,7,6,5,0,7,15,46.7,8,8,3,5,10,21,21,1,406,38,13,2,5,17,9,6,5,1,0,3,6,2,0,0,10,12,3,0,0,0,46,Match Report
5,Hellas Verona,2024-09-20,2,240,14,4,13,5,3,0,419,,Torino,it Serie A,L 2-3,2,3,-1,30,2,0,0,0,2,8,0.25,1.0,2,25.0,19.7,0,240,338,71.0,7,14,1,0,23,4205,1474,109,135,80.7,102,116,87.9,21,69,30.4,14,10,2,1,0,0,1,4,2,1,0,0,0,1,419,56,176,188,58,10,419,13,8,8,4,1,6,9,66.7,3,14,7,7,12,25,17,1,301,37,10,0,1,15,9,5,1,3,0,0,3,3,1,0,10,6,0,0,1,0,35,Match Report
6,Hellas Verona,2024-09-29,2,185,10,4,17,1,5,1,366,@,Como,it Serie A,L 2-3,2,3,-1,29,1,1,1,0,2,5,0.2,0.5,2,40.0,20.5,1,185,257,72.0,2,13,3,0,17,2922,1097,90,102,88.2,72,88,81.8,12,50,24.0,10,5,1,1,0,3,0,4,2,0,1,0,1,0,366,56,164,151,57,5,365,17,8,6,7,4,10,16,62.5,6,15,6,9,10,27,19,1,216,40,10,0,0,4,17,1,1,0,0,1,4,5,1,1,19,10,1,1,0,0,28,Match Report
7,Hellas Verona,2024-10-04,1,315,34,2,16,13,3,1,540,,Venezia,it Serie A,W 2-1,2,1,1,51,1,0,0,0,1,20,0.05,0.33,3,15.0,12.3,0,315,422,74.6,17,31,11,3,38,6108,2401,136,159,85.5,127,154,82.5,45,83,54.2,34,22,6,1,4,0,1,2,2,0,0,0,0,0,540,53,148,223,182,26,540,16,11,5,9,2,6,10,60.0,4,8,4,4,7,23,27,0,367,54,5,1,6,33,25,13,8,3,0,1,9,3,0,0,10,5,1,0,0,0,43,Match Report
8,Hellas Verona,2024-10-21,0,425,31,0,18,9,3,1,638,,Monza,it Serie A,L 0-3,0,3,-3,59,0,0,0,0,0,16,0.0,0.0,4,25.0,17.1,0,425,531,80.0,14,33,8,3,48,7402,2104,189,213,88.7,184,207,88.9,40,81,49.4,31,22,4,1,0,4,0,0,0,0,0,0,0,0,638,38,135,316,193,20,638,18,14,6,6,6,7,11,63.6,4,9,2,7,6,24,12,1,480,50,14,1,3,30,17,9,2,6,0,1,16,3,0,0,8,13,1,0,0,0,36,Match Report
9,Hellas Verona,2024-10-26,1,286,6,2,26,2,1,2,472,@,Atalanta,it Serie A,L 1-6,1,6,-5,31,1,0,0,0,1,4,0.25,0.5,2,50.0,21.1,0,286,373,76.7,3,17,2,1,21,4962,1966,139,157,88.5,117,136,86.0,26,60,43.3,6,6,0,0,0,0,0,2,2,0,0,0,0,0,472,48,174,219,86,5,472,26,15,15,10,1,11,19,57.9,8,8,3,5,10,36,16,0,335,36,4,1,0,7,12,2,2,0,0,2,5,1,0,0,15,3,2,0,0,0,44,Match Report
10,Hellas Verona,2024-10-29,0,273,10,0,19,4,3,0,452,@,Lecce,it Serie A,L 0-1,0,1,-1,42,0,0,0,0,0,7,0.0,0.0,1,14.3,24.5,1,273,363,75.2,3,20,0,0,28,5030,1835,109,132,82.6,136,158,86.1,25,60,41.7,10,4,1,1,1,2,1,0,0,0,0,0,0,0,452,48,149,236,71,3,452,19,13,8,7,4,9,18,50.0,9,5,2,3,5,24,22,0,316,47,15,0,3,7,19,4,3,0,0,0,5,3,2,1,21,13,0,0,0,0,34,Match Report
