Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Inter,2024-08-17,2,457,25,4,11,4,2,6,634,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,2,17,0.12,0.29,7,41.2,13.7,1,457,541,84.5,11,35,8,3,51,8053,2510,190,210,90.5,237,265,89.4,27,52,51.9,25,18,3,0,4,0,0,4,4,0,0,0,0,0,634,49,142,331,167,25,634,11,6,4,3,4,4,13,30.8,9,5,1,4,3,14,17,1,486,49,15,3,4,20,22,4,0,4,0,6,5,2,0,0,16,12,6,0,1,0,31,Match Report
2,Inter,2024-08-24,2,550,16,3,14,10,0,4,721,,Lecce,it Serie A,W 2-0,2,0,2,61,1,1,1,0,2,10,0.1,0.5,2,20.0,15.2,1,550,634,86.8,6,38,13,2,51,9404,3118,252,265,95.1,239,263,90.9,39,59,66.1,16,9,1,0,2,3,1,3,1,0,0,1,1,0,721,54,195,347,184,25,720,14,12,5,5,4,6,8,75.0,2,4,2,2,6,20,16,0,587,43,10,5,4,22,17,10,7,0,0,4,11,0,0,0,9,12,4,1,0,0,41,Match Report
3,Inter,2024-08-30,3,487,23,3,17,3,0,5,633,,Atalanta,it Serie A,W 4-0,4,0,4,55,3,0,0,0,3,13,0.23,0.75,4,30.8,17.9,0,487,549,88.7,9,23,9,4,26,8652,2773,207,222,93.2,229,244,93.9,46,70,65.7,23,18,4,0,0,1,0,3,2,1,0,0,0,0,633,123,318,226,94,25,633,17,9,11,4,2,7,12,58.3,5,10,4,6,3,20,21,0,499,45,16,2,0,11,17,3,0,1,0,5,4,0,0,0,6,14,5,0,0,0,22,Match Report
4,Inter,2024-09-15,1,556,29,2,15,8,2,2,723,@,Monza,it Serie A,D 1-1,1,1,0,60,1,0,0,0,1,16,0.06,0.5,2,12.5,14.8,0,556,644,86.3,10,53,13,5,59,9329,2704,247,276,89.5,271,294,92.2,29,50,58.0,29,22,3,1,1,2,0,2,2,0,0,0,0,0,723,23,88,423,216,26,723,15,6,5,9,1,5,16,31.3,11,6,1,5,4,19,9,0,600,42,12,3,1,28,18,8,0,4,0,2,8,2,0,0,19,10,2,0,0,0,43,Match Report
5,Inter,2024-09-18,0,387,21,0,11,3,0,3,557,@,Manchester City,Champions League,D 0-0,0,0,0,40,0,0,0,0,0,13,0.0,0.0,3,23.1,19.5,0,387,460,84.1,9,12,5,0,21,6238,2066,181,196,92.3,160,178,89.9,26,56,46.4,21,14,2,1,3,0,1,0,0,0,0,0,0,0,557,144,362,146,54,12,557,11,9,11,0,0,2,4,50.0,2,18,7,11,9,20,17,2,425,32,13,2,2,9,6,3,1,1,1,3,6,0,0,0,9,12,3,0,0,0,38,Match Report
6,Inter,2024-09-22,1,482,23,2,11,6,4,2,654,,Milan,it Serie A,L 1-2,1,2,-1,57,1,0,0,0,1,13,0.08,0.25,4,30.8,17.7,0,482,558,86.4,11,34,14,8,47,8889,2459,189,208,90.9,248,268,92.5,42,68,61.8,23,18,0,3,1,0,1,2,1,0,1,0,0,0,654,61,167,335,153,26,654,11,7,5,5,1,6,15,40.0,9,9,3,6,7,18,18,0,513,43,4,1,5,24,25,6,4,1,0,2,7,4,0,0,13,4,2,0,0,0,30,Match Report
7,Inter,2024-09-28,3,561,29,6,15,3,0,3,742,@,Udinese,it Serie A,W 3-2,3,2,1,60,3,0,0,0,3,16,0.19,0.43,7,43.8,14.7,0,561,637,88.1,16,24,14,6,37,10886,2922,210,227,92.5,255,277,92.1,82,101,81.2,29,28,1,0,0,0,0,6,6,0,0,0,0,0,742,83,280,321,148,22,742,15,10,7,5,3,9,19,47.4,10,9,5,4,6,21,25,0,599,35,13,1,3,20,11,3,0,2,0,3,6,0,0,0,6,11,3,0,0,0,38,Match Report
8,Inter,2024-10-01,4,509,29,7,10,2,2,5,670,,Red Star,Champions League,W 4-0,4,0,4,53,3,1,1,0,4,14,0.21,0.5,6,42.9,20.2,1,509,586,86.9,10,48,13,4,52,8481,2459,249,276,90.2,197,217,90.8,50,63,79.4,29,23,0,3,0,2,1,7,3,0,1,0,2,1,670,46,142,333,198,18,669,10,7,3,5,2,3,11,27.3,8,7,2,5,6,16,17,3,552,29,5,2,1,19,13,2,1,1,0,5,11,2,0,0,11,8,5,1,0,0,42,Match Report
9,Inter,2024-10-05,3,717,54,5,15,14,1,2,907,,Torino,it Serie A,W 3-2,3,2,1,80,3,0,0,0,3,29,0.1,0.38,8,27.6,18.7,0,717,804,89.2,21,72,15,6,72,12497,3294,315,338,93.2,338,366,92.3,54,77,70.1,54,45,4,1,3,0,1,5,4,0,0,1,0,0,907,32,138,386,388,46,907,15,5,2,4,9,8,11,72.7,3,3,1,2,8,23,9,2,757,45,10,1,7,44,17,14,1,10,0,2,10,1,0,0,6,9,2,0,1,0,40,Match Report
10,Inter,2024-10-20,1,350,17,0,14,3,3,1,523,@,Roma,it Serie A,W 1-0,1,0,1,45,1,0,0,0,1,11,0.09,0.17,6,54.5,19.2,0,350,426,82.2,9,21,7,1,31,6797,2704,122,138,88.4,172,197,87.3,46,71,64.8,17,15,1,0,1,0,0,0,0,0,0,0,0,0,523,81,226,209,93,15,523,14,10,6,6,2,4,6,66.7,2,7,5,2,8,22,15,0,389,36,12,3,3,10,12,3,0,2,0,1,4,3,0,0,13,12,1,0,0,0,42,Match Report
