Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Juventus,2024-08-19,3,503,17,5,15,3,2,4,633,,Como,it Serie A,W 3-0,3,0,3,57,3,0,0,0,3,13,0.23,0.5,6,46.2,20.0,1,503,557,90.3,7,21,6,3,29,9387,2742,204,212,96.2,235,256,91.8,59,73,80.8,17,12,2,0,1,1,1,5,4,1,0,0,0,0,633,56,219,311,106,18,633,15,9,6,7,2,6,8,75.0,2,10,2,8,4,19,10,0,520,33,12,2,2,14,10,3,1,1,0,4,4,2,0,0,11,12,4,0,0,0,34,Match Report
2,Juventus,2024-08-26,3,570,16,6,22,1,0,1,753,@,Hellas Verona,it Serie A,W 3-0,3,0,3,60,2,1,1,0,3,7,0.29,0.5,4,57.1,18.4,0,570,646,88.2,7,22,6,1,24,10021,2914,239,260,91.9,274,299,91.6,48,66,72.7,16,12,0,2,0,1,1,6,4,0,0,0,1,1,753,56,297,380,80,15,752,22,15,13,6,3,10,19,52.6,9,8,4,4,6,28,17,1,609,36,8,2,2,4,20,1,0,1,0,1,10,0,0,0,8,8,1,1,0,0,38,Match Report
3,Juventus,2024-09-01,0,444,13,0,12,6,2,3,604,,Roma,it Serie A,D 0-0,0,0,0,49,0,0,0,0,0,8,0.0,0.0,1,12.5,16.5,1,444,511,86.9,5,31,7,3,33,7729,2229,186,194,95.9,220,248,88.7,30,49,61.2,13,9,1,0,2,1,0,0,0,0,0,0,0,0,604,51,179,301,128,18,604,12,7,8,3,1,9,12,75.0,3,11,4,7,6,18,21,0,474,34,11,0,1,18,11,6,1,5,0,3,5,2,0,0,11,11,3,0,0,0,39,Match Report
4,Juventus,2024-09-14,0,624,27,0,16,8,2,0,801,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,0,15,0.0,0.0,3,20.0,18.7,0,624,700,89.1,14,38,8,2,42,11407,3315,237,253,93.7,329,351,93.7,48,77,62.3,27,20,3,1,2,0,1,0,0,0,0,0,0,0,801,69,241,411,156,16,801,16,9,8,6,2,8,11,72.7,3,11,2,9,4,20,7,0,655,45,11,2,4,20,21,8,4,3,0,0,7,2,0,0,10,11,0,0,0,0,43,Match Report
5,Juventus,2024-09-21,0,639,16,0,14,4,1,0,789,,Napoli,it Serie A,D 0-0,0,0,0,64,0,0,0,0,0,9,0.0,0.0,1,11.1,20.4,0,639,702,91.0,8,40,7,2,47,11149,2798,259,277,93.5,336,352,95.5,34,57,59.6,16,15,0,1,0,0,0,0,0,0,0,0,0,0,789,54,207,433,156,12,789,14,9,6,6,2,5,11,45.5,6,14,5,9,8,22,6,1,663,39,15,0,4,19,14,4,2,2,0,0,7,1,0,0,10,13,0,0,0,0,37,Match Report
6,Juventus,2024-09-28,3,597,22,5,16,3,1,0,759,@,Genoa,it Serie A,W 3-0,3,0,3,65,2,1,1,0,3,11,0.18,1.0,2,18.2,16.9,1,597,670,89.1,10,53,11,2,42,10315,2670,266,286,93.0,294,315,93.3,35,56,62.5,22,19,1,0,1,1,0,5,5,0,0,0,0,0,759,45,180,407,175,19,758,16,6,6,7,3,4,4,100.0,0,13,4,9,3,19,13,0,644,26,6,0,1,18,15,3,0,3,0,0,5,1,0,0,14,7,0,0,0,0,35,Match Report
7,Juventus,2024-10-06,1,677,34,1,18,8,5,1,834,,Cagliari,it Serie A,D 1-1,1,1,0,73,0,1,1,0,1,20,0.0,0.0,8,40.0,16.6,0,677,750,90.3,16,47,15,0,52,11181,3282,325,343,94.8,294,322,91.3,44,61,72.1,34,26,3,2,3,0,0,1,0,0,0,1,0,0,834,63,250,379,211,36,833,18,13,11,3,4,6,10,60.0,4,7,3,4,4,22,10,0,708,41,10,1,1,25,14,8,2,5,0,1,6,5,1,1,13,9,1,0,1,0,34,Match Report
8,Juventus,2024-10-19,0,578,31,0,16,7,4,2,727,,Lazio,it Serie A,W 1-0,1,0,1,69,0,0,0,0,0,16,0.0,0.0,3,18.8,18.1,1,578,658,87.8,13,55,15,8,62,10696,2865,240,257,93.4,273,301,90.7,59,83,71.1,31,25,2,1,2,1,0,0,0,0,0,0,0,0,727,55,202,301,226,29,727,16,10,7,5,4,7,12,58.3,5,3,1,2,4,20,9,0,622,34,8,0,6,31,15,7,0,7,0,2,8,4,0,0,16,8,2,0,0,0,32,Match Report
9,Juventus,2024-10-27,4,405,19,8,6,5,1,0,549,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,4,10,0.4,0.8,5,50.0,13.6,0,405,470,86.2,8,28,9,2,35,7895,2416,166,184,90.2,166,186,89.2,70,89,78.7,19,17,1,1,0,0,0,8,7,0,1,0,0,0,549,63,179,269,107,20,549,6,4,3,2,1,2,5,40.0,3,8,5,3,5,11,17,0,431,39,11,1,11,12,12,5,2,2,0,0,7,1,0,0,16,11,0,0,2,0,28,Match Report
10,Juventus,2024-10-30,2,566,46,4,17,10,2,3,742,,Parma,it Serie A,D 2-2,2,2,0,61,2,0,0,0,2,24,0.08,0.5,4,16.7,16.0,0,566,645,87.8,17,65,14,5,71,10018,3004,220,248,88.7,307,328,93.6,36,57,63.2,46,35,3,4,2,0,2,4,3,1,0,0,0,0,742,57,160,385,204,37,742,17,11,6,11,0,10,16,62.5,6,7,4,3,7,24,11,1,599,43,7,4,2,24,16,10,4,4,0,3,5,2,0,0,7,5,3,0,0,0,46,Match Report
11,Juventus,2024-11-02,1,485,17,1,21,3,2,3,653,@,Udinese,it Serie A,W 2-0,2,0,2,61,1,0,0,0,1,11,0.09,0.2,5,45.5,15.3,1,485,564,86.0,8,21,6,1,32,8916,2206,190,207,91.8,256,269,95.2,39,74,52.7,17,12,0,2,2,1,0,1,0,0,0,1,0,0,653,66,252,317,95,15,653,21,14,12,9,0,12,17,70.6,5,10,6,4,9,30,19,0,532,29,12,1,3,13,8,3,2,1,0,3,7,2,0,0,14,12,3,0,0,0,41,Match Report
12,Juventus,2024-11-09,2,440,24,3,16,5,1,0,614,,Torino,it Serie A,W 2-0,2,0,2,54,2,0,0,0,2,13,0.15,0.5,4,30.8,18.1,0,440,512,85.9,9,22,4,0,28,7958,2361,197,214,92.1,198,220,90.0,40,66,60.6,24,18,1,1,3,1,0,3,2,0,0,1,0,0,614,79,283,231,105,17,614,16,10,10,3,3,6,10,60.0,4,11,3,8,9,25,18,0,462,50,15,0,3,12,21,5,2,2,0,0,5,1,0,0,7,14,0,0,0,0,33,Match Report
13,Juventus,2024-11-23,0,481,14,0,22,4,2,0,659,@,Milan,it Serie A,D 0-0,0,0,0,56,0,0,0,0,0,7,0.0,0.0,2,28.6,18.9,0,481,547,87.9,6,29,2,0,30,8008,2289,219,232,94.4,220,242,90.9,30,53,56.6,14,13,1,0,0,0,0,0,0,0,0,0,0,0,659,47,216,340,111,9,659,22,12,6,14,2,15,22,68.2,7,3,1,2,1,23,14,0,502,45,9,1,4,6,24,4,3,0,0,0,6,2,0,0,12,9,0,0,0,0,38,Match Report
14,Juventus,2024-12-01,1,557,24,2,15,7,4,1,727,@,Lecce,it Serie A,D 1-1,1,1,0,61,1,0,0,0,1,14,0.07,0.33,3,21.4,22.2,0,557,632,88.1,12,42,6,1,49,9733,2558,269,287,93.7,254,270,94.1,33,56,58.9,24,20,1,2,1,0,0,2,2,0,0,0,0,0,727,56,205,368,160,17,727,15,9,6,8,1,4,10,40.0,6,10,2,8,4,19,13,1,590,41,9,1,3,15,19,7,5,1,0,1,17,4,0,0,9,6,1,0,0,0,39,Match Report
15,Juventus,2024-12-07,2,378,18,4,21,1,3,0,574,,Bologna,it Serie A,D 2-2,2,2,0,54,2,0,0,0,2,10,0.2,0.67,3,30.0,16.8,0,378,474,79.7,9,21,9,0,39,6695,2299,143,166,86.1,200,228,87.7,25,53,47.2,18,11,1,4,1,1,0,4,4,0,0,0,0,0,574,66,235,250,98,21,574,21,9,9,11,1,7,15,46.7,8,10,2,8,6,27,14,1,433,41,14,1,0,10,17,1,0,0,0,0,8,3,0,0,18,14,0,0,0,0,40,Match Report
16,Juventus,2024-12-14,2,650,19,2,6,7,1,2,805,,Venezia,it Serie A,D 2-2,2,2,0,69,1,1,1,0,2,11,0.09,0.33,3,27.3,17.7,1,650,728,89.3,7,49,5,1,40,10802,2805,342,366,93.4,248,261,95.0,53,71,74.6,19,12,2,1,2,1,1,2,0,0,0,2,0,0,805,42,168,437,204,25,804,6,3,2,3,1,2,8,25.0,6,6,4,2,5,11,12,1,683,43,6,0,2,18,25,7,3,4,0,2,12,1,0,0,9,7,2,0,0,0,35,Match Report
17,Juventus,2024-12-22,2,490,27,2,7,7,1,0,659,@,Monza,it Serie A,W 2-1,2,1,1,55,2,0,0,0,2,16,0.13,0.22,9,56.3,14.6,0,490,569,86.1,13,42,11,3,45,8296,2616,251,277,90.6,180,201,89.6,46,69,66.7,27,20,2,1,3,1,0,2,0,1,0,1,0,0,659,63,169,305,189,26,659,7,2,4,2,1,3,15,20.0,12,14,5,9,6,13,20,2,532,37,7,0,2,20,12,7,6,0,0,0,4,1,0,0,13,7,0,0,0,0,48,Match Report
18,Juventus,2024-12-29,2,460,25,4,16,7,3,0,648,,Fiorentina,it Serie A,D 2-2,2,2,0,62,2,0,0,0,2,15,0.13,0.4,5,33.3,14.1,0,460,548,83.9,10,30,7,2,37,7441,2410,240,270,88.9,168,190,88.4,38,66,57.6,25,19,2,0,3,1,0,4,4,0,0,0,0,0,648,46,188,323,144,33,648,16,10,9,5,2,8,16,50.0,8,10,4,6,3,19,10,1,501,47,10,1,1,18,19,7,4,3,0,0,2,3,0,0,14,9,0,0,0,0,38,Match Report
19,Juventus,2025-01-11,1,513,28,2,11,1,1,2,688,@,Torino,it Serie A,D 1-1,1,1,0,59,1,0,0,0,1,15,0.07,0.11,9,60.0,19.2,0,513,578,88.8,13,41,6,3,24,8640,2509,260,277,93.9,203,215,94.4,44,70,62.9,28,21,1,1,3,2,0,2,1,0,1,0,0,0,688,80,234,313,144,17,688,11,7,5,5,1,7,11,63.6,4,12,3,9,3,14,33,1,529,47,19,1,1,20,19,1,1,0,0,2,7,1,0,0,9,17,2,0,0,0,27,Match Report
20,Juventus,2025-01-14,1,386,30,2,27,3,1,2,589,@,Atalanta,it Serie A,D 1-1,1,1,0,40,1,0,0,0,1,17,0.06,0.13,8,47.1,14.5,0,386,458,84.3,10,14,4,1,26,5788,2138,207,227,91.2,141,155,91.0,16,42,38.1,30,22,1,1,5,0,1,2,2,0,0,0,0,0,589,87,222,263,112,21,589,27,15,15,9,3,9,23,39.1,14,9,5,4,9,36,29,2,415,41,12,3,1,11,16,3,3,0,0,2,8,1,0,0,7,10,2,0,0,0,45,Match Report
