Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Lazio,2024-08-18,2,571,22,3,13,6,1,0,737,,Venezia,it Serie A,W 3-1,3,1,2,67,1,1,1,0,2,12,0.08,0.2,5,41.7,16.7,0,571,646,88.4,9,39,10,4,43,10138,3107,246,269,91.4,242,261,92.7,64,86,74.4,22,15,1,3,1,1,1,3,1,0,0,0,1,1,737,60,174,387,184,26,736,13,12,3,6,4,3,7,42.9,4,13,3,10,7,20,15,1,601,45,11,4,2,26,21,6,0,5,0,0,7,1,0,0,14,10,0,1,0,0,36,Match Report
2,Lazio,2024-08-24,1,441,31,1,11,13,1,2,625,@,Udinese,it Serie A,L 1-2,1,2,-1,66,1,0,0,0,1,17,0.06,0.25,4,23.5,15.6,0,441,547,80.6,11,46,10,5,44,8154,2510,168,185,90.8,212,245,86.5,49,80,61.3,31,21,7,0,1,2,0,1,0,0,0,1,0,0,625,46,164,290,178,29,625,11,6,5,6,0,7,14,50.0,7,5,1,4,6,17,9,0,476,69,17,1,1,45,29,13,8,4,0,2,10,1,0,0,10,15,2,0,0,0,36,Match Report
3,Lazio,2024-08-31,2,341,14,4,15,5,4,5,497,,Milan,it Serie A,D 2-2,2,2,0,43,2,0,0,0,2,7,0.29,0.5,4,57.1,9.3,0,341,412,82.8,7,26,5,2,33,6282,2043,145,156,92.9,160,181,88.4,33,60,55.0,14,14,0,0,0,0,0,4,4,0,0,0,0,0,497,41,154,244,102,15,497,15,8,6,5,4,8,14,57.1,6,7,2,5,9,24,12,1,363,44,9,3,4,24,22,5,3,2,0,5,5,4,0,0,12,9,5,0,0,0,34,Match Report
4,Lazio,2024-09-16,2,461,24,4,15,9,2,0,630,,Hellas Verona,it Serie A,W 2-1,2,1,1,55,2,0,0,0,2,14,0.14,0.29,7,50.0,21.9,0,461,547,84.3,12,36,6,2,40,8046,2719,212,229,92.6,196,219,89.5,43,69,62.3,24,17,1,3,1,0,2,4,2,1,1,0,0,0,630,54,164,326,143,23,630,15,9,6,5,4,8,15,53.3,7,6,1,5,5,20,9,1,503,44,13,1,2,23,14,9,7,1,0,0,7,2,0,0,13,9,0,0,0,0,28,Match Report
5,Lazio,2024-09-22,1,384,37,2,12,10,4,1,538,@,Fiorentina,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,1,20,0.05,0.17,6,30.0,19.5,1,384,451,85.1,17,37,5,2,46,7239,2547,157,169,92.9,166,181,91.7,51,81,63.0,37,24,6,0,4,3,0,2,0,1,0,0,1,0,538,57,160,218,164,25,538,12,8,8,3,1,4,15,26.7,11,3,0,3,5,17,13,1,404,46,10,1,11,29,13,10,6,2,0,1,6,4,0,0,15,11,1,0,2,0,26,Match Report
6,Lazio,2024-09-25,3,358,25,5,21,3,1,1,538,@,Dynamo Kyiv,Europa League,W 3-0,3,0,3,44,3,0,0,0,3,14,0.21,0.5,6,42.9,13.8,0,358,425,84.2,12,19,5,2,24,6439,2234,155,170,91.2,156,181,86.2,38,59,64.4,25,20,2,0,2,1,0,5,5,0,0,0,0,0,538,78,185,236,123,27,538,21,12,11,5,5,13,19,68.4,6,9,2,7,6,27,21,0,383,41,12,2,4,15,19,3,2,1,0,1,5,1,1,0,15,11,1,0,0,0,42,Match Report
7,Lazio,2024-09-29,3,308,23,6,15,1,3,1,514,@,Torino,it Serie A,W 3-2,3,2,1,43,3,0,0,0,3,13,0.23,0.43,7,53.8,15.6,0,308,403,76.4,11,19,5,3,30,5345,1694,138,158,87.3,127,149,85.2,31,68,45.6,23,15,2,2,3,1,0,6,4,0,2,0,0,0,514,59,163,246,112,22,514,15,11,3,12,0,6,11,54.5,5,4,1,3,10,25,26,0,357,45,10,5,4,14,27,1,1,0,0,1,11,3,0,0,13,9,1,0,0,0,40,Match Report
8,Lazio,2024-10-03,4,272,23,7,25,6,2,1,482,,Nice,Europa League,W 4-1,4,1,3,40,3,1,1,0,4,12,0.25,0.75,4,33.3,19.7,0,272,360,75.6,9,23,5,0,27,5105,2017,117,145,80.7,108,125,86.4,38,71,53.5,23,15,3,2,1,2,0,7,4,0,1,1,1,0,482,72,167,220,101,24,481,25,12,14,11,0,14,26,53.8,12,8,3,5,7,32,24,0,318,41,9,1,3,11,13,6,3,3,0,1,8,2,0,0,17,9,1,1,0,0,43,Match Report
9,Lazio,2024-10-06,2,383,31,4,30,5,2,1,583,,Empoli,it Serie A,W 2-1,2,1,1,58,2,0,1,1,2,15,0.13,0.4,5,33.3,18.6,0,383,471,81.3,13,36,12,4,52,7101,2239,165,185,89.2,174,200,87.0,41,76,53.9,31,27,0,1,1,1,1,4,4,0,0,0,0,0,583,48,145,280,170,26,582,30,22,13,15,2,14,27,51.9,13,6,2,4,5,35,19,1,425,45,17,2,2,32,16,5,3,1,0,1,4,2,0,0,10,16,1,1,0,0,49,Match Report
10,Lazio,2024-10-19,0,226,3,0,7,1,2,0,377,@,Juventus,it Serie A,L 0-1,0,1,-1,31,0,0,0,0,0,2,0.0,0.0,1,50.0,26.5,0,226,293,77.1,1,13,2,1,20,4399,1628,92,106,86.8,102,117,87.2,28,61,45.9,3,2,0,1,0,0,0,0,0,0,0,0,0,0,377,85,172,149,64,5,377,7,4,4,1,2,3,12,25.0,9,9,2,7,6,13,25,0,245,48,18,1,1,9,11,1,1,0,0,0,2,2,1,0,9,16,0,0,0,1,27,Match Report
