Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Lecce,2024-08-19,0,362,35,0,19,5,0,1,556,,Atalanta,it Serie A,L 0-4,0,4,-4,48,0,0,0,0,0,21,0.0,0.0,4,19.0,17.3,1,362,451,80.3,16,31,11,6,28,6520,2503,162,189,85.7,160,185,86.5,40,75,53.3,35,25,4,1,2,2,1,0,0,0,0,0,0,0,556,43,186,269,108,24,556,19,8,10,5,4,8,14,57.1,6,5,1,4,9,28,9,1,393,57,24,2,0,16,19,5,2,2,0,1,3,0,0,0,10,24,1,0,1,0,41,Match Report
2,Lecce,2024-08-24,0,334,17,0,11,6,2,0,497,@,Inter,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,0,10,0.0,0.0,4,40.0,19.1,0,334,401,83.3,8,24,5,3,30,5642,2068,162,172,94.2,133,149,89.3,32,65,49.2,17,16,0,1,0,0,0,0,0,0,0,0,0,0,497,67,155,236,110,13,497,11,8,6,4,1,5,5,100.0,0,13,3,10,3,14,22,0,360,41,13,1,1,18,12,6,3,2,0,0,3,2,0,0,12,8,0,0,1,0,38,Match Report
3,Lecce,2024-08-31,1,189,27,2,24,7,1,2,423,,Cagliari,it Serie A,W 1-0,1,0,1,35,1,0,0,0,1,17,0.06,0.33,3,17.6,18.0,1,189,281,67.3,12,21,4,2,16,3399,1666,95,109,87.2,60,82,73.2,28,68,41.2,27,17,3,2,4,1,0,2,2,0,0,0,0,0,423,80,173,172,82,18,423,24,16,15,7,2,11,23,47.8,12,19,11,8,15,39,36,0,234,45,12,0,2,16,10,7,5,1,0,2,6,1,1,0,10,11,2,0,0,0,41,Match Report
4,Lecce,2024-09-15,0,342,32,0,7,7,3,0,532,@,Torino,it Serie A,D 0-0,0,0,0,47,0,0,0,0,0,20,0.0,0.0,6,30.0,18.9,0,342,441,77.6,14,23,9,4,28,6146,2566,149,164,90.9,132,160,82.5,45,92,48.9,32,23,2,3,1,1,2,0,0,0,0,0,0,0,532,63,182,233,127,20,532,7,3,2,5,0,1,3,33.3,2,7,1,6,8,15,21,0,392,49,14,0,0,22,18,7,5,2,0,0,7,3,0,0,13,13,0,0,0,0,39,Match Report
5,Lecce,2024-09-21,2,275,26,4,23,2,4,4,483,,Parma,it Serie A,D 2-2,2,2,0,39,2,0,0,0,2,14,0.14,0.67,3,21.4,20.8,1,275,360,76.4,12,30,3,0,35,5239,2102,107,125,85.6,134,155,86.5,34,63,54.0,26,22,0,0,1,1,2,4,3,0,0,0,1,0,483,74,201,178,116,14,483,23,12,17,5,1,11,22,50.0,11,25,12,13,11,34,22,0,320,36,11,1,1,12,17,2,0,2,0,4,9,4,1,0,12,10,4,0,0,0,46,Match Report
6,Lecce,2024-09-27,0,354,31,0,14,7,1,4,486,@,Milan,it Serie A,L 0-3,0,3,-3,43,0,0,0,0,0,16,0.0,0.0,7,43.8,19.2,0,354,410,86.3,16,27,6,1,37,6430,2290,158,167,94.6,154,169,91.1,40,62,64.5,31,19,7,2,2,1,0,0,0,0,0,0,0,0,486,67,199,190,104,16,486,14,8,11,3,0,6,19,31.6,13,5,2,3,2,16,12,1,367,39,5,3,3,18,9,7,5,2,0,4,7,1,0,0,8,4,4,0,0,0,31,Match Report
7,Lecce,2024-10-05,0,292,13,0,22,0,2,3,519,@,Udinese,it Serie A,L 0-1,0,1,-1,45,0,0,0,0,0,9,0.0,0.0,3,33.3,22.0,0,292,395,73.9,8,18,2,0,23,5661,2116,110,129,85.3,116,148,78.4,51,80,63.8,13,10,1,0,0,0,2,0,0,0,0,0,0,0,519,59,213,222,92,16,519,22,11,10,10,2,9,16,56.3,7,14,3,11,14,36,21,0,347,45,12,2,5,12,25,0,0,0,0,3,14,2,0,0,16,12,3,0,0,0,49,Match Report
8,Lecce,2024-10-20,0,301,10,0,16,1,0,0,477,,Fiorentina,it Serie A,L 0-6,0,6,-6,39,0,0,0,0,0,5,0.0,0.0,2,40.0,21.7,1,301,385,78.2,4,12,4,2,20,5998,2257,117,141,83.0,138,157,87.9,45,77,58.4,10,7,1,0,0,2,0,0,0,0,0,0,0,0,477,69,214,199,71,9,477,16,7,8,6,2,10,18,55.6,8,8,4,4,5,21,16,2,336,49,15,1,5,11,16,1,0,0,0,0,10,0,1,0,8,13,0,0,0,0,32,Match Report
9,Lecce,2024-10-26,0,217,18,0,19,5,2,0,429,@,Napoli,it Serie A,L 0-1,0,1,-1,36,0,0,0,0,0,11,0.0,0.0,1,9.1,22.2,1,217,302,71.9,9,19,3,1,14,4007,1413,91,109,83.5,85,103,82.5,30,68,44.1,18,9,2,2,3,1,1,0,0,0,0,0,0,0,429,83,180,178,76,11,429,19,12,13,6,0,13,21,61.9,8,13,9,4,10,29,32,0,255,47,13,1,2,10,17,5,2,2,0,0,5,2,0,0,7,13,0,0,0,0,25,Match Report
10,Lecce,2024-10-29,1,419,26,2,15,3,1,2,601,,Hellas Verona,it Serie A,W 1-0,1,0,1,58,1,0,0,0,1,14,0.07,0.17,6,42.9,21.2,2,419,502,83.5,7,24,3,2,32,8514,2810,132,146,90.4,224,253,88.5,61,95,64.2,26,15,3,1,2,5,0,2,2,0,0,0,0,0,601,58,217,276,111,20,601,15,8,9,4,2,5,12,41.7,7,6,2,4,7,22,19,0,437,63,19,3,2,21,33,3,1,1,0,2,3,1,0,0,14,21,2,0,0,0,33,Match Report
