Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Milan,2024-08-17,2,485,46,3,8,9,2,2,636,,Torino,it Serie A,D 2-2,2,2,0,56,2,0,0,0,2,26,0.08,0.4,5,19.2,18.5,0,485,554,87.5,19,41,14,6,72,8414,2684,225,239,94.1,202,232,87.1,49,68,72.1,46,30,6,3,6,1,0,3,2,0,0,1,0,0,636,33,127,258,253,38,636,8,6,4,3,1,1,5,20.0,4,3,1,2,4,12,9,0,518,34,8,1,5,39,12,9,4,1,0,2,3,2,0,0,10,7,2,0,0,1,37,Match Report
2,Milan,2024-08-24,1,512,32,2,19,9,3,0,686,@,Parma,it Serie A,L 1-2,1,2,-1,61,1,0,0,0,1,17,0.06,0.2,5,29.4,18.6,0,512,598,85.6,15,47,12,4,62,8794,2818,219,243,90.1,264,297,88.9,26,48,54.2,32,25,3,3,1,0,0,2,1,0,1,0,0,0,686,36,156,331,211,37,686,19,14,12,6,1,11,21,52.4,10,3,1,2,11,30,7,0,557,41,11,0,2,27,14,9,5,1,0,0,8,3,0,0,13,9,0,0,0,0,44,Match Report
3,Milan,2024-08-31,2,475,18,4,13,7,2,0,637,@,Lazio,it Serie A,D 2-2,2,2,0,57,2,0,0,0,2,10,0.2,0.5,4,40.0,17.5,1,475,548,86.7,7,18,5,0,22,8024,2363,218,238,91.6,238,254,93.7,16,44,36.4,18,13,2,0,2,1,0,4,3,1,0,0,0,0,637,64,281,275,86,17,637,13,9,4,5,4,5,12,41.7,7,5,3,2,8,21,22,0,503,45,16,2,1,13,14,7,7,0,0,0,7,2,0,0,9,12,0,0,0,0,31,Match Report
4,Milan,2024-09-14,4,543,21,8,16,6,1,0,694,,Venezia,it Serie A,W 4-0,4,0,4,62,2,2,2,0,4,10,0.2,0.33,6,60.0,20.0,0,543,603,90.0,9,37,5,0,40,9003,2885,259,279,92.8,227,242,93.8,44,61,72.1,21,14,1,1,1,3,1,8,3,1,0,1,2,1,694,65,226,335,138,28,692,16,7,6,5,5,4,12,33.3,8,5,1,4,6,22,18,1,565,38,12,4,3,15,13,6,5,1,0,0,6,1,0,0,12,11,0,2,0,0,38,Match Report
5,Milan,2024-09-22,2,356,30,4,10,2,1,0,526,@,Inter,it Serie A,W 2-1,2,1,1,43,2,0,0,0,2,16,0.13,0.25,8,50.0,16.4,0,356,428,83.2,12,15,8,2,33,5934,2050,170,189,89.9,151,170,88.8,26,50,52.0,30,22,2,3,1,1,1,4,1,1,0,0,1,1,526,59,201,252,82,26,526,10,7,4,4,2,3,6,50.0,3,11,5,6,10,20,18,0,388,40,15,3,5,14,12,2,2,0,0,0,8,1,0,0,4,13,0,0,0,0,31,Match Report
6,Milan,2024-09-27,3,482,26,5,16,4,1,0,622,,Lecce,it Serie A,W 3-0,3,0,3,57,3,0,0,0,3,15,0.2,0.5,6,40.0,16.4,0,482,537,89.8,13,42,9,1,59,8434,3055,236,246,95.9,202,221,91.4,41,58,70.7,26,16,1,3,4,1,1,5,2,1,0,1,1,0,622,53,140,293,196,19,622,16,8,5,6,5,4,9,44.4,5,9,3,6,3,19,11,0,497,40,12,4,4,17,13,4,2,0,0,0,5,1,1,0,5,8,0,0,0,0,28,Match Report
7,Milan,2024-10-06,1,409,30,2,10,7,3,0,578,@,Fiorentina,it Serie A,L 1-2,1,2,-1,59,1,0,2,2,1,14,0.07,0.17,6,42.9,17.0,0,409,488,83.8,13,40,9,4,50,7338,2414,174,200,87.0,182,207,87.9,41,59,69.5,30,19,3,3,0,4,1,2,2,0,0,0,0,0,578,44,127,308,150,30,576,10,9,5,5,0,5,9,55.6,4,7,0,7,10,20,15,2,443,45,13,3,1,26,16,7,5,0,0,0,7,3,1,0,21,11,0,2,1,0,33,Match Report
8,Milan,2024-10-19,1,295,15,2,8,8,2,3,451,,Udinese,it Serie A,W 1-0,1,0,1,44,1,0,0,0,1,10,0.1,0.2,5,50.0,12.2,0,295,368,80.2,9,12,6,2,27,5585,1939,122,136,89.7,137,156,87.8,34,66,51.5,15,13,0,1,1,0,0,2,2,0,0,0,0,0,451,73,213,164,82,19,451,8,4,4,2,2,3,11,27.3,8,1,0,1,3,11,31,1,315,50,16,1,4,13,14,8,4,2,0,3,9,2,1,0,3,14,3,0,0,0,21,Match Report
9,Milan,2024-10-29,0,527,25,0,25,5,0,3,697,,Napoli,it Serie A,L 0-2,0,2,-2,61,0,0,0,0,0,13,0.0,0.0,5,38.5,19.6,0,527,603,87.4,11,52,6,4,47,9703,2280,204,224,91.1,269,299,90.0,46,61,75.4,25,23,0,1,0,1,0,0,0,0,0,0,0,0,697,38,145,365,195,27,697,25,17,10,11,4,10,15,66.7,5,1,0,1,6,31,8,0,562,38,8,3,7,19,17,5,3,0,0,3,5,0,0,0,14,6,3,0,0,0,38,Match Report
10,Milan,2024-11-02,1,448,33,1,7,5,1,1,595,@,Monza,it Serie A,W 1-0,1,0,1,56,1,0,0,0,1,18,0.06,0.14,7,38.9,17.5,0,448,511,87.7,14,24,7,3,40,7894,2736,191,205,93.2,227,244,93.0,29,54,53.7,33,19,3,6,2,2,1,1,0,0,0,1,0,0,595,45,213,271,121,31,595,7,4,1,5,1,4,9,44.4,5,4,3,1,9,16,12,1,459,51,20,2,2,19,15,5,5,0,0,1,4,1,0,0,15,18,1,0,0,0,37,Match Report
