Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Monza,2024-08-17,0,369,10,0,14,3,2,1,575,@,Empoli,it Serie A,D 0-0,0,0,0,61,0,0,0,0,0,6,0.0,0.0,1,16.7,16.0,0,369,485,76.1,5,11,2,0,15,6545,2026,146,170,85.9,175,208,84.1,33,77,42.9,10,6,2,0,1,1,0,0,0,0,0,0,0,0,575,83,270,248,61,12,575,14,10,7,6,1,8,14,57.1,6,8,6,2,8,22,18,0,423,61,20,0,2,13,27,3,2,1,0,1,6,2,0,0,19,16,1,0,0,0,30,Match Report
2,Monza,2024-08-24,0,591,18,0,11,8,2,1,764,,Genoa,it Serie A,L 0-1,0,1,-1,69,0,0,0,0,0,9,0.0,0.0,2,22.2,16.7,0,591,683,86.5,8,49,10,2,52,11230,3262,228,246,92.7,296,326,90.8,66,88,75.0,18,13,3,1,1,0,0,0,0,0,0,0,0,0,764,51,202,399,165,20,764,11,5,6,4,1,7,10,70.0,3,7,3,4,6,17,16,0,626,56,18,0,2,31,20,8,3,4,0,1,14,2,0,0,6,17,1,0,0,0,30,Match Report
3,Monza,2024-09-01,2,229,8,4,16,0,4,0,433,@,Fiorentina,it Serie A,D 2-2,2,2,0,32,2,0,0,0,2,4,0.5,0.67,3,75.0,22.1,0,229,304,75.3,4,8,2,1,11,4118,1576,94,113,83.2,105,121,86.8,26,58,44.8,8,7,0,1,0,0,0,4,4,0,0,0,0,0,433,86,218,170,46,5,433,16,9,4,11,1,6,14,42.9,8,12,7,5,8,24,40,0,263,41,12,0,2,3,15,0,0,0,0,0,2,4,0,0,22,11,0,0,0,0,26,Match Report
4,Monza,2024-09-15,1,350,10,2,13,1,1,1,531,,Inter,it Serie A,D 1-1,1,1,0,40,1,0,0,0,1,5,0.2,0.5,2,40.0,19.6,1,350,426,82.2,2,16,3,2,16,6504,2453,159,174,91.4,156,175,89.1,32,59,54.2,10,6,1,1,0,2,0,2,2,0,0,0,0,0,531,92,221,235,80,4,531,13,7,7,6,0,5,6,83.3,1,9,4,5,12,25,31,1,378,47,20,0,2,13,10,1,0,1,0,1,6,1,0,0,11,18,1,0,0,0,36,Match Report
5,Monza,2024-09-22,1,336,11,1,20,2,3,1,518,,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,1,6,0.17,0.33,3,50.0,17.5,0,336,428,78.5,5,17,2,1,23,6132,2142,136,158,86.1,151,171,88.3,37,74,50.0,11,9,1,0,1,0,0,1,0,0,0,1,0,0,518,64,210,228,84,7,518,20,10,10,10,0,6,12,50.0,6,14,4,10,13,33,10,0,378,49,16,2,2,13,20,2,1,1,0,1,8,3,0,0,20,14,1,0,0,0,30,Match Report
6,Monza,2024-09-29,0,508,10,0,15,3,2,0,643,@,Napoli,it Serie A,L 0-2,0,2,-2,51,0,0,0,0,0,5,0.0,0.0,1,20.0,24.3,2,508,570,89.1,3,36,0,0,28,8991,2322,212,228,93.0,249,266,93.6,40,61,65.6,10,6,1,1,0,2,0,0,0,0,0,0,0,0,643,74,217,317,112,2,643,15,11,9,5,1,8,12,66.7,4,10,3,7,11,26,11,3,532,38,14,0,2,12,7,3,1,2,0,0,8,2,0,0,8,16,0,0,0,0,33,Match Report
7,Monza,2024-10-06,1,254,4,2,17,1,3,1,446,,Roma,it Serie A,D 1-1,1,1,0,35,1,0,0,0,1,3,0.33,0.33,3,100.0,16.1,0,254,343,74.1,0,17,5,2,22,5319,2279,89,110,80.9,120,150,80.0,41,66,62.1,4,4,0,0,0,0,0,2,2,0,0,0,0,0,446,72,205,175,72,9,446,17,5,9,6,2,6,13,46.2,7,13,4,9,11,28,24,0,297,45,13,0,0,14,17,1,0,1,0,1,8,3,0,0,16,13,1,0,0,0,31,Match Report
8,Monza,2024-10-21,3,293,15,4,16,6,2,1,499,@,Hellas Verona,it Serie A,W 3-0,3,0,3,41,3,0,0,0,3,10,0.3,0.75,4,40.0,18.9,0,293,375,78.1,9,17,6,0,24,5735,2469,124,146,84.9,115,138,83.3,45,66,68.2,15,10,4,1,0,0,0,4,3,1,0,0,0,0,499,88,249,182,73,10,499,16,4,7,5,4,10,17,58.8,7,16,4,12,7,23,36,1,335,39,9,0,7,14,11,6,0,5,0,1,8,2,0,0,13,8,1,0,0,0,35,Match Report
9,Monza,2024-10-27,2,296,26,4,20,4,4,0,493,,Venezia,it Serie A,D 2-2,2,2,0,46,2,0,0,0,2,13,0.15,1.0,2,15.4,16.0,0,296,386,76.7,13,19,5,4,23,5650,2218,131,148,88.5,117,140,83.6,41,74,55.4,26,15,4,2,1,4,0,4,3,0,1,0,0,0,493,46,170,201,126,20,493,20,13,11,9,0,10,17,58.8,7,12,2,10,11,31,20,1,343,43,17,1,2,23,16,4,1,3,0,0,12,4,1,1,17,16,0,0,0,0,39,Match Report
10,Monza,2024-10-30,0,403,7,0,20,1,3,1,624,@,Atalanta,it Serie A,L 0-2,0,2,-2,47,0,0,0,0,0,4,0.0,0.0,3,75.0,28.9,1,403,497,81.1,2,12,1,0,15,7204,2560,180,205,87.8,178,199,89.4,40,77,51.9,7,5,1,0,0,1,0,0,0,0,0,0,0,0,624,94,284,275,68,4,624,20,11,13,5,2,9,19,47.4,10,14,8,6,11,31,26,1,441,55,13,1,1,5,26,1,0,1,0,1,8,3,0,0,11,14,1,0,0,0,45,Match Report
