Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Napoli,2024-08-18,0,492,21,0,8,5,1,0,668,@,Hellas Verona,it Serie A,L 0-3,0,3,-3,67,0,0,0,0,0,14,0.0,0.0,4,28.6,17.8,0,492,592,83.1,10,36,8,3,54,8222,2885,230,255,90.2,233,270,86.3,25,49,51.0,21,16,3,0,2,0,0,0,0,0,0,0,0,0,668,41,145,374,155,18,668,8,6,2,6,0,3,9,33.3,6,3,0,3,5,13,8,0,537,55,17,0,1,17,21,5,3,1,0,0,11,1,0,0,13,15,0,0,0,0,39,Match Report
2,Napoli,2024-08-25,3,286,32,6,22,7,2,1,489,,Bologna,it Serie A,W 3-0,3,0,3,39,3,0,0,0,3,16,0.19,0.6,5,31.3,17.5,0,286,375,76.3,16,21,6,2,29,4536,1935,145,174,83.3,107,122,87.7,22,51,43.1,32,25,3,3,0,1,0,6,3,1,1,0,1,0,489,64,203,199,94,22,489,22,13,11,9,2,16,19,84.2,3,9,2,7,6,28,21,0,320,54,18,5,3,12,18,7,3,2,0,1,11,2,0,0,11,15,1,0,0,0,40,Match Report
3,Napoli,2024-08-31,2,427,55,4,14,6,2,4,632,,Parma,it Serie A,W 2-1,2,1,1,55,2,0,0,0,2,29,0.07,0.29,7,24.1,17.5,1,427,520,82.1,22,60,18,5,78,7148,2483,203,226,89.8,170,198,85.9,40,56,71.4,55,51,2,0,0,2,0,4,4,0,0,0,0,0,632,36,100,218,323,54,632,14,8,6,6,2,4,7,57.1,3,13,5,8,5,19,11,1,473,43,5,5,5,32,23,6,5,0,0,4,16,2,0,0,12,6,4,0,1,0,43,Match Report
4,Napoli,2024-09-15,4,352,22,7,24,4,2,4,595,@,Cagliari,it Serie A,W 4-0,4,0,4,49,4,0,0,0,4,13,0.31,0.8,5,38.5,16.0,0,352,454,77.5,11,22,7,1,42,5229,2398,216,239,90.4,111,141,78.7,16,50,32.0,22,17,2,1,1,1,0,7,6,1,0,0,0,0,595,70,199,259,144,24,595,24,15,13,7,4,11,18,61.1,7,9,4,5,10,34,37,0,395,55,23,4,1,13,20,4,1,3,0,4,10,2,0,0,11,21,4,0,0,0,51,Match Report
5,Napoli,2024-09-21,0,333,12,0,17,3,0,2,472,@,Juventus,it Serie A,D 0-0,0,0,0,36,0,0,0,0,0,8,0.0,0.0,1,12.5,23.4,0,333,392,84.9,6,33,3,2,23,6051,2042,146,161,90.7,151,170,88.8,33,44,75.0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,472,55,179,197,101,7,472,17,7,4,10,3,10,18,55.6,8,9,4,5,7,24,18,1,355,35,9,0,1,12,13,3,1,0,2,2,11,0,0,0,13,10,2,0,0,0,31,Match Report
6,Napoli,2024-09-29,2,495,19,3,8,1,1,0,632,,Monza,it Serie A,W 2-0,2,0,2,49,2,0,0,0,2,11,0.18,1.0,2,18.2,13.8,0,495,552,89.7,10,45,9,0,61,8658,2406,221,244,90.6,235,246,95.5,36,50,72.0,19,12,3,1,2,1,0,3,2,0,0,1,0,0,632,30,88,398,149,20,632,8,4,0,5,3,3,9,33.3,6,8,2,6,5,13,15,0,525,27,8,0,2,7,14,1,1,0,0,0,7,1,0,0,16,7,0,0,0,0,41,Match Report
7,Napoli,2024-10-04,3,385,14,6,12,4,1,2,538,,Como,it Serie A,W 3-1,3,1,2,41,2,1,1,0,3,8,0.25,0.4,5,62.5,18.1,0,385,456,84.4,7,21,4,1,27,7018,2366,154,172,89.5,183,197,92.9,39,58,67.2,14,9,1,0,0,1,3,6,4,0,0,0,1,1,538,47,182,283,85,19,537,12,11,4,6,2,3,8,37.5,5,6,1,5,8,20,12,0,411,43,9,3,3,8,18,4,4,0,0,2,9,1,0,0,7,9,2,1,0,0,38,Match Report
8,Napoli,2024-10-20,1,364,15,2,18,7,2,0,534,@,Empoli,it Serie A,W 1-0,1,0,1,50,0,1,1,0,1,8,0.0,,0,0.0,16.7,0,364,436,83.5,8,19,4,0,27,6659,2159,154,168,91.7,173,196,88.3,32,59,54.2,15,7,2,3,2,1,0,2,0,0,0,1,1,0,534,62,207,236,97,14,533,18,12,11,4,3,9,17,52.9,8,14,4,10,6,24,23,0,386,50,14,0,2,11,24,7,6,1,0,0,7,2,0,0,13,14,0,1,0,0,35,Match Report
9,Napoli,2024-10-26,1,452,39,1,11,16,3,1,656,,Lecce,it Serie A,W 1-0,1,0,1,64,1,0,0,0,1,24,0.04,0.13,8,33.3,14.8,0,452,543,83.2,16,49,12,2,59,7319,2392,218,237,92.0,183,214,85.5,35,55,63.6,39,25,5,2,7,0,0,1,0,0,0,1,0,0,656,41,121,329,211,31,656,11,7,3,7,1,6,12,50.0,6,10,6,4,8,19,16,0,495,47,7,1,1,27,18,16,6,9,0,1,7,3,0,0,13,5,1,0,0,0,41,Match Report
10,Napoli,2024-10-29,2,327,17,4,19,1,1,2,495,@,Milan,it Serie A,W 2-0,2,0,2,39,2,0,0,0,2,9,0.22,0.5,4,44.4,17.9,0,327,387,84.5,9,20,4,0,24,5923,2180,154,167,92.2,135,153,88.2,37,60,61.7,17,16,1,0,0,0,0,4,4,0,0,0,0,0,495,77,219,201,79,15,495,19,13,13,6,0,15,24,62.5,9,6,2,4,10,29,31,1,337,48,17,1,4,6,17,1,1,0,0,2,1,1,0,0,6,14,2,0,0,0,27,Match Report
