Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Parma,2024-08-17,1,217,23,2,16,4,3,1,411,,Fiorentina,it Serie A,D 1-1,1,1,0,39,1,0,0,0,1,14,0.07,0.17,6,42.9,16.6,0,217,298,72.8,11,20,4,1,24,3975,1925,98,125,78.4,87,101,86.1,27,59,45.8,23,16,1,1,2,1,2,2,2,0,0,0,0,0,411,68,167,140,109,20,411,16,7,7,5,4,7,16,43.8,9,9,5,4,8,24,29,0,257,40,14,4,3,11,14,4,0,1,0,1,4,3,0,0,15,9,1,0,0,0,35,Match Report
2,Parma,2024-08-24,2,320,15,4,17,3,0,2,503,,Milan,it Serie A,W 2-1,2,1,1,39,2,0,0,0,2,9,0.22,0.4,5,55.6,15.6,0,320,390,82.1,7,16,6,0,23,5701,2444,151,164,92.1,122,138,88.4,33,62,53.2,15,13,0,2,0,0,0,4,4,0,0,0,0,0,503,96,222,197,91,15,503,17,11,12,4,1,10,20,50.0,10,9,3,6,8,25,31,0,347,41,13,1,4,2,12,3,0,0,0,2,3,0,0,0,9,12,2,0,0,0,47,Match Report
3,Parma,2024-08-31,1,353,26,2,19,4,4,0,569,@,Napoli,it Serie A,L 1-2,1,2,-1,45,0,1,1,0,1,12,0.0,0.0,1,8.3,22.7,1,353,430,82.1,10,15,7,1,22,6531,2108,143,158,90.5,169,190,88.9,36,70,51.4,26,24,0,0,0,2,0,2,1,0,0,0,1,0,569,124,262,216,94,20,568,19,9,18,1,0,7,13,53.8,6,24,12,12,8,27,40,0,385,45,13,1,4,8,15,4,0,1,1,0,8,4,1,1,6,12,0,1,0,0,25,Match Report
4,Parma,2024-09-16,2,363,17,4,8,5,2,2,544,,Udinese,it Serie A,L 2-3,2,3,-1,47,2,0,0,0,2,9,0.22,0.67,3,33.3,17.2,0,363,449,80.8,7,13,6,1,21,6672,2019,139,159,87.4,159,182,87.4,48,76,63.2,17,13,3,1,0,0,0,4,2,1,1,0,0,0,544,79,200,255,91,17,544,8,4,4,4,0,4,10,40.0,6,7,3,4,4,12,24,1,392,55,22,0,3,4,15,5,1,0,0,2,2,2,1,1,8,17,2,0,0,0,25,Match Report
5,Parma,2024-09-21,2,478,44,3,18,12,0,1,679,@,Lecce,it Serie A,D 2-2,2,2,0,61,2,0,0,0,2,25,0.08,0.2,10,40.0,18.1,3,478,567,84.3,20,46,16,2,67,7871,2997,233,267,87.3,202,221,91.4,31,50,62.0,44,28,6,3,3,4,0,3,2,0,0,1,0,0,679,52,138,273,275,37,679,18,10,8,5,5,11,14,78.6,3,14,5,9,10,28,7,2,514,52,14,1,1,14,13,12,3,0,0,1,14,0,1,0,11,12,1,0,0,0,38,Match Report
6,Parma,2024-09-30,2,505,36,4,10,5,3,1,681,,Cagliari,it Serie A,L 2-3,2,3,-1,60,1,1,1,0,2,17,0.06,0.33,3,17.6,20.0,1,505,600,84.2,14,34,12,4,46,8711,2751,222,247,89.9,243,268,90.7,35,65,53.8,36,31,1,2,0,2,0,4,2,0,1,0,1,0,681,52,185,336,166,31,680,10,5,4,6,0,7,15,46.7,8,9,1,8,4,14,16,2,550,49,18,2,1,15,14,5,1,1,0,1,7,3,0,0,10,13,1,1,0,0,43,Match Report
7,Parma,2024-10-06,0,177,21,0,13,6,0,0,391,@,Bologna,it Serie A,D 0-0,0,0,0,29,0,0,0,0,0,13,0.0,0.0,2,15.4,19.6,0,177,260,68.1,12,11,7,4,17,3373,1595,77,92,83.7,76,92,82.6,20,59,33.9,21,15,5,0,0,1,0,0,0,0,0,0,0,0,391,80,180,130,86,19,391,13,8,5,6,2,6,12,50.0,6,17,7,10,10,23,34,0,212,48,18,1,2,10,11,6,1,0,0,0,9,0,1,0,16,15,0,0,0,0,37,Match Report
8,Parma,2024-10-19,1,323,18,2,9,4,2,2,517,@,Como,it Serie A,D 1-1,1,1,0,39,1,0,0,0,1,9,0.11,0.33,3,33.3,24.0,2,323,411,78.6,7,30,6,0,37,5794,2426,144,161,89.4,135,159,84.9,33,66,50.0,18,14,0,0,0,2,2,2,2,0,0,0,0,0,517,66,166,218,140,15,517,9,5,3,5,1,5,9,55.6,4,19,5,14,10,19,16,0,354,55,19,0,6,11,20,4,1,0,0,2,6,2,0,0,10,14,2,0,0,0,43,Match Report
9,Parma,2024-10-27,1,487,31,2,15,9,4,1,667,,Empoli,it Serie A,D 1-1,1,1,0,60,1,0,1,1,1,16,0.06,0.25,4,25.0,22.8,1,487,580,84.0,13,42,8,3,42,8930,3066,200,220,90.9,238,269,88.5,43,72,59.7,31,25,2,0,2,2,0,2,2,0,0,0,0,0,667,63,214,285,172,22,666,15,9,8,5,2,4,10,40.0,6,7,0,7,8,23,13,0,523,56,16,1,2,19,23,9,3,1,0,1,7,4,0,0,12,16,1,1,0,1,34,Match Report
10,Parma,2024-10-30,2,335,24,4,11,6,0,2,520,@,Juventus,it Serie A,D 2-2,2,2,0,39,2,0,0,0,2,13,0.15,0.4,5,38.5,18.4,0,335,407,82.3,10,19,7,2,23,6439,2356,130,146,89.0,165,185,89.2,40,68,58.8,24,20,1,1,1,0,1,4,4,0,0,0,0,0,520,112,247,177,107,23,520,11,9,4,6,1,3,18,16.7,15,13,9,4,10,21,25,2,358,47,10,4,1,9,12,6,2,0,0,2,3,0,0,0,5,7,2,0,0,0,42,Match Report
