Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Roma,2024-08-18,0,395,25,0,9,3,0,2,606,@,Cagliari,it Serie A,D 0-0,0,0,0,57,0,0,0,0,0,15,0.0,0.0,3,20.0,19.8,1,395,497,79.5,12,33,7,1,42,6925,2710,194,222,87.4,152,186,81.7,41,72,56.9,25,19,2,0,1,3,0,0,0,0,0,0,0,0,606,69,182,252,177,26,606,9,3,2,3,4,3,11,27.3,8,7,3,4,8,17,17,0,434,61,17,0,2,22,24,3,3,0,0,2,4,0,0,0,7,15,2,0,0,0,37,Match Report
2,Roma,2024-08-25,1,589,48,2,12,8,0,0,777,,Empoli,it Serie A,L 1-2,1,2,-1,73,1,0,0,0,1,27,0.04,0.14,7,25.9,16.4,0,589,682,86.4,19,40,16,7,56,9816,2793,279,294,94.9,255,280,91.1,42,75,56.0,48,36,4,1,6,0,1,2,1,0,0,0,0,1,777,35,189,348,248,47,777,12,9,4,7,1,3,7,42.9,4,7,4,3,6,18,5,1,622,60,11,1,4,35,33,8,4,2,1,0,13,0,0,0,10,11,0,0,1,0,39,Match Report
3,Roma,2024-09-01,0,448,13,0,14,4,2,0,612,@,Juventus,it Serie A,D 0-0,0,0,0,51,0,0,0,0,0,7,0.0,0.0,1,14.3,21.1,0,448,524,85.5,5,29,8,2,36,7748,2094,186,202,92.1,230,252,91.3,25,50,50.0,13,12,0,0,1,0,0,0,0,0,0,0,0,0,612,67,182,268,169,11,612,14,7,2,9,3,7,14,50.0,7,7,3,4,5,19,22,0,479,45,13,0,0,17,18,4,2,2,0,0,9,2,0,0,12,10,0,0,0,0,25,Match Report
4,Roma,2024-09-15,1,380,28,1,19,5,3,1,597,@,Genoa,it Serie A,D 1-1,1,1,0,52,1,0,0,0,1,16,0.06,0.2,5,31.3,13.8,0,380,465,81.7,13,26,4,0,27,6985,2597,169,189,89.4,161,183,88.0,44,73,60.3,28,14,6,1,4,3,0,1,0,0,0,1,0,0,597,81,223,248,130,29,597,19,11,13,5,1,4,8,50.0,4,15,6,9,10,29,28,1,414,50,10,2,2,13,24,5,0,4,0,1,7,3,0,0,12,9,1,0,0,0,38,Match Report
5,Roma,2024-09-22,3,517,30,5,10,2,2,4,689,,Udinese,it Serie A,W 3-0,3,0,3,62,2,1,1,0,3,15,0.13,0.29,7,46.7,18.6,0,517,603,85.7,12,39,14,5,44,9138,2790,211,234,90.2,267,290,92.1,31,59,52.5,30,27,1,0,1,1,0,5,4,0,0,0,1,0,689,57,151,384,159,37,688,10,8,5,3,2,3,4,75.0,1,7,3,4,7,17,11,1,565,34,11,3,3,12,12,2,2,0,0,4,5,2,0,0,15,10,4,1,0,0,44,Match Report
6,Roma,2024-09-29,2,534,40,4,12,6,1,2,749,,Venezia,it Serie A,W 2-1,2,1,1,69,2,0,0,0,2,22,0.09,0.4,5,22.7,18.7,1,534,636,84.0,15,44,13,4,45,9154,2419,249,267,93.3,228,261,87.4,46,77,59.7,40,30,6,2,1,1,0,4,3,1,0,0,0,0,749,44,129,378,246,31,749,12,8,1,7,4,6,8,75.0,2,12,7,5,5,17,24,0,582,52,13,2,2,27,24,6,5,1,0,2,11,1,0,0,8,11,2,0,0,0,36,Match Report
7,Roma,2024-10-06,1,544,28,2,21,3,1,1,749,@,Monza,it Serie A,D 1-1,1,1,0,65,1,0,0,0,1,15,0.07,0.25,4,26.7,18.6,0,544,640,85.0,13,36,11,2,57,9559,2414,210,233,90.1,289,320,90.3,33,62,53.2,28,24,0,3,1,0,0,2,0,0,2,0,0,0,749,49,170,383,202,21,749,21,11,6,10,5,3,5,60.0,2,7,0,7,5,26,20,0,598,41,17,1,1,22,17,3,2,1,0,1,10,1,0,0,13,16,1,0,0,0,35,Match Report
8,Roma,2024-10-20,0,452,25,0,14,3,2,0,613,,Inter,it Serie A,L 0-1,0,1,-1,55,0,0,0,0,0,14,0.0,0.0,3,21.4,17.9,0,452,530,85.3,12,27,13,6,41,8497,2451,164,186,88.2,221,248,89.1,52,77,67.5,25,18,3,1,2,1,0,0,0,0,0,0,0,0,613,50,146,320,152,26,613,14,8,5,5,4,6,7,85.7,1,4,1,3,5,19,11,1,488,42,14,0,3,20,18,3,2,0,0,0,3,2,0,0,12,12,0,0,0,0,43,Match Report
9,Roma,2024-10-27,1,519,21,2,8,2,5,2,654,@,Fiorentina,it Serie A,L 1-5,1,5,-4,61,1,0,0,0,1,14,0.07,0.2,5,35.7,22.4,1,519,580,89.5,8,39,8,1,41,8913,2592,228,244,93.4,243,264,92.0,37,55,67.3,21,11,2,2,2,2,2,2,2,0,0,0,0,0,654,65,191,310,156,22,654,8,8,4,2,2,6,18,33.3,12,7,3,4,4,12,11,1,537,41,14,2,2,17,10,2,1,1,0,2,5,5,1,1,11,13,2,0,1,1,30,Match Report
10,Roma,2024-10-31,1,529,16,0,13,3,2,2,719,,Torino,it Serie A,W 1-0,1,0,1,57,1,0,0,0,1,9,0.11,0.33,3,33.3,19.9,0,529,618,85.6,7,46,7,1,46,8345,2635,273,300,91.0,204,225,90.7,34,62,54.8,16,12,2,1,0,0,1,0,0,0,0,0,0,0,719,39,163,346,213,27,719,13,8,5,5,3,9,12,75.0,3,10,2,8,10,23,15,0,578,38,15,0,2,17,16,3,2,0,0,2,9,2,0,0,11,13,2,0,0,0,36,Match Report
