Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Torino,2024-08-17,1,378,14,2,8,2,4,1,524,@,Milan,it Serie A,D 2-2,2,2,0,44,1,0,0,0,1,7,0.14,0.33,3,42.9,16.3,0,378,443,85.3,7,11,2,0,17,6837,2166,168,179,93.9,158,174,90.8,46,77,59.7,14,13,1,0,0,0,0,2,2,0,0,0,0,0,524,108,271,194,63,8,524,8,3,5,2,1,3,11,27.3,8,12,11,1,2,10,30,1,400,42,12,1,2,10,13,2,2,0,0,1,2,4,0,0,7,10,1,0,0,0,21,Match Report
2,Torino,2024-08-25,2,286,23,3,13,4,3,1,462,,Atalanta,it Serie A,W 2-1,2,1,1,42,2,0,0,0,2,13,0.15,0.33,6,46.2,15.5,1,286,363,78.8,9,19,7,2,17,5649,2333,98,116,84.5,136,153,88.9,39,70,55.7,23,15,2,1,3,1,1,3,2,0,0,1,0,0,462,94,203,183,83,17,462,13,10,5,6,2,4,6,66.7,2,4,2,2,11,24,24,1,322,40,13,2,0,9,7,4,4,0,0,1,6,3,0,0,11,14,1,0,1,0,31,Match Report
3,Torino,2024-08-30,1,458,20,2,17,3,4,3,643,@,Venezia,it Serie A,W 1-0,1,0,1,58,1,0,0,0,1,12,0.08,0.2,5,41.7,17.0,0,458,559,81.9,8,38,11,4,30,7738,2522,220,248,88.7,191,215,88.8,33,69,47.8,20,18,1,0,1,0,0,2,1,1,0,0,0,0,643,53,162,332,153,17,643,17,9,9,5,3,7,15,46.7,8,9,3,6,7,24,18,0,513,43,10,2,0,19,17,3,2,0,0,3,5,4,0,0,15,7,3,0,0,0,38,Match Report
4,Torino,2024-09-15,0,397,10,0,8,2,1,1,582,,Lecce,it Serie A,D 0-0,0,0,0,53,0,0,0,0,0,5,0.0,,0,0.0,17.4,1,397,494,80.4,4,28,10,0,50,7073,2725,160,190,84.2,205,230,89.1,26,53,49.1,10,8,1,0,0,1,0,0,0,0,0,0,0,0,582,72,176,305,104,14,582,8,2,4,2,2,4,13,30.8,9,9,2,7,10,18,18,0,455,38,11,0,0,21,12,2,2,0,0,1,10,1,0,0,13,13,1,0,0,0,35,Match Report
5,Torino,2024-09-20,3,696,26,4,14,6,1,3,876,@,Hellas Verona,it Serie A,W 3-2,3,2,1,70,3,0,1,1,3,15,0.2,1.0,3,20.0,18.9,1,696,793,87.8,8,60,13,5,56,12331,3535,297,328,90.5,325,350,92.9,61,85,71.8,26,19,1,0,3,3,0,4,4,0,0,0,0,0,876,49,177,486,220,24,875,14,5,6,6,2,6,12,50.0,6,5,2,3,8,22,12,1,753,37,8,0,4,21,13,6,2,4,0,3,9,1,0,0,8,10,3,1,0,0,42,Match Report
6,Torino,2024-09-29,2,443,23,4,21,3,2,0,647,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,2,12,0.17,0.29,7,58.3,19.5,1,443,540,82.0,10,22,7,3,29,8155,2552,184,211,87.2,199,232,85.8,49,77,63.6,23,18,2,0,1,1,1,4,3,1,0,0,0,0,647,61,188,341,121,21,647,21,12,8,8,5,11,26,42.3,15,11,1,10,7,28,21,0,489,51,13,0,5,27,25,3,3,0,0,0,7,2,0,0,10,12,0,0,0,0,39,Match Report
7,Torino,2024-10-05,2,137,12,3,8,0,2,1,328,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,2,6,0.17,0.25,4,66.7,21.8,0,137,207,66.2,4,6,2,0,8,2742,1157,61,82,74.4,50,68,73.5,22,46,47.8,12,9,0,2,0,1,0,3,1,0,1,0,1,0,328,91,173,114,41,6,327,8,5,6,2,0,5,10,50.0,5,12,8,4,6,14,50,3,172,34,7,1,0,6,9,0,0,0,0,1,2,2,1,0,9,6,1,1,0,0,25,Match Report
8,Torino,2024-10-20,2,442,32,4,11,12,3,2,624,@,Cagliari,it Serie A,L 2-3,2,3,-1,59,2,0,0,0,2,17,0.12,0.4,5,29.4,21.5,1,442,525,84.2,12,25,5,4,33,7560,2454,201,219,91.8,195,222,87.8,35,63,55.6,32,25,2,2,1,2,0,4,3,1,0,0,0,0,624,54,195,269,163,20,624,11,6,4,5,2,6,9,66.7,3,8,5,3,2,13,24,1,469,54,8,0,2,27,22,12,5,5,0,2,4,3,0,0,8,9,2,0,0,1,35,Match Report
9,Torino,2024-10-25,1,230,12,1,16,1,3,3,439,,Como,it Serie A,W 1-0,1,0,1,32,1,0,0,0,1,8,0.13,0.5,2,25.0,19.4,0,230,317,72.6,7,12,3,2,20,4279,1598,93,109,85.3,108,134,80.6,27,66,40.9,12,9,1,1,1,0,0,1,0,0,1,0,0,0,439,59,163,197,84,11,439,16,6,5,8,3,7,15,46.7,8,16,6,10,10,26,24,2,272,42,13,1,3,15,17,1,1,0,0,3,4,3,0,0,13,12,3,0,0,0,36,Match Report
10,Torino,2024-10-31,0,373,6,0,9,5,2,0,558,@,Roma,it Serie A,L 0-1,0,1,-1,43,0,0,0,0,0,4,0.0,0.0,2,50.0,17.1,0,373,468,79.7,2,19,2,0,20,6839,2141,151,179,84.4,179,202,88.6,37,69,53.6,6,4,1,0,1,0,0,0,0,0,0,0,0,0,558,64,227,249,84,11,558,9,7,4,3,2,5,8,62.5,3,13,5,8,8,17,18,2,421,47,13,1,0,14,21,5,2,2,0,0,10,2,0,0,15,11,0,0,0,0,28,Match Report
