Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Udinese,2024-08-18,1,150,5,1,15,5,4,1,350,@,Bologna,it Serie A,D 1-1,1,1,0,27,1,0,1,1,1,3,0.33,1.0,1,33.3,17.7,0,150,234,64.1,1,13,3,2,20,2853,1236,57,71,80.3,62,81,76.5,22,60,36.7,5,2,0,1,1,1,0,1,0,0,0,1,0,0,350,78,169,122,68,10,349,15,10,5,6,4,4,10,40.0,6,17,8,9,10,25,26,0,183,50,17,0,5,14,17,5,1,3,0,1,8,4,0,0,17,16,1,1,1,0,31,Match Report
2,Udinese,2024-08-24,2,203,10,2,18,4,4,2,407,,Lazio,it Serie A,W 2-1,2,1,1,34,2,0,0,0,2,8,0.25,0.67,3,37.5,19.4,0,203,287,70.7,5,19,3,2,14,3840,1829,89,105,84.8,70,93,75.3,33,60,55.0,10,8,1,0,0,0,1,2,2,0,0,0,0,0,407,65,165,163,85,10,407,18,11,12,4,2,6,15,40.0,9,7,3,4,9,27,40,0,243,42,12,0,1,12,13,4,1,3,0,2,6,4,1,1,15,9,2,0,0,0,29,Match Report
3,Udinese,2024-09-01,1,344,20,2,22,4,3,2,548,,Como,it Serie A,W 1-0,1,0,1,44,1,0,0,0,1,10,0.1,0.5,2,20.0,14.6,0,344,421,81.7,8,16,8,4,23,6059,2134,146,163,89.6,154,176,87.5,32,58,55.2,20,16,1,1,0,0,2,2,2,0,0,0,0,0,548,87,228,223,106,19,548,22,12,11,9,2,4,15,26.7,11,22,6,16,11,33,27,1,374,45,10,1,5,12,15,4,2,2,0,2,8,3,0,0,16,7,2,0,1,0,34,Match Report
4,Udinese,2024-09-16,3,419,34,4,14,6,3,4,595,@,Parma,it Serie A,W 3-2,3,2,1,53,3,0,0,0,3,18,0.17,0.5,6,33.3,15.1,0,419,500,83.8,14,35,12,8,37,8116,2657,147,158,93.0,191,215,88.8,66,95,69.5,34,29,1,0,3,0,1,4,2,0,0,2,0,0,595,59,198,261,141,26,595,14,9,7,5,2,5,12,41.7,7,3,1,2,15,29,12,0,454,42,10,1,2,25,16,6,3,0,0,4,5,3,0,0,18,7,4,0,0,0,39,Match Report
5,Udinese,2024-09-22,0,295,18,0,13,1,2,1,455,@,Roma,it Serie A,L 0-3,0,3,-3,38,0,0,0,0,0,9,0.0,0.0,2,22.2,17.6,0,295,372,79.3,6,12,5,1,24,5225,2126,139,162,85.8,119,137,86.9,31,57,54.4,18,17,1,0,0,0,0,0,0,0,0,0,0,0,455,94,229,162,72,21,455,13,11,9,3,1,8,13,61.5,5,7,4,3,11,24,17,1,328,43,19,0,1,6,11,1,0,1,0,1,4,2,0,0,11,15,1,0,1,0,37,Match Report
6,Udinese,2024-09-28,2,351,17,4,10,7,1,0,517,,Inter,it Serie A,L 2-3,2,3,-1,40,2,0,0,0,2,9,0.22,0.67,3,33.3,14.4,0,351,425,82.6,8,22,10,6,34,6203,2262,171,189,90.5,125,151,82.8,44,65,67.7,17,11,2,3,1,0,0,4,3,0,1,0,0,0,517,59,149,265,106,22,517,10,5,4,5,1,8,10,80.0,2,9,3,6,4,14,14,1,381,44,9,0,4,23,15,7,3,1,0,0,5,1,0,0,13,5,0,0,0,0,25,Match Report
7,Udinese,2024-10-05,1,378,20,2,19,5,2,0,596,,Lecce,it Serie A,W 1-0,1,0,1,55,1,0,0,0,1,12,0.08,0.25,4,33.3,12.8,1,378,488,77.5,6,35,10,8,48,6812,2553,157,181,86.7,181,211,85.8,38,77,49.4,20,11,2,1,3,2,1,2,0,0,0,0,1,1,596,57,183,272,146,21,596,19,11,9,7,3,12,22,54.5,10,10,1,9,12,31,14,1,439,49,18,0,3,27,17,5,1,1,0,0,13,2,0,0,12,15,0,0,0,0,50,Match Report
8,Udinese,2024-10-19,0,389,24,0,12,4,3,3,548,@,Milan,it Serie A,L 0-1,0,1,-1,56,0,0,0,0,0,13,0.0,0.0,1,7.7,20.2,1,389,462,84.2,10,48,11,6,46,7807,2086,119,127,93.7,212,237,89.5,53,84,63.1,24,18,2,1,1,1,1,0,0,0,0,0,0,0,548,48,146,242,162,20,548,12,7,9,2,1,7,16,43.8,9,12,4,8,5,17,18,1,432,27,5,0,2,35,13,4,0,4,0,3,2,3,0,0,14,3,3,0,0,0,31,Match Report
9,Udinese,2024-10-25,2,508,23,4,15,2,2,2,654,,Cagliari,it Serie A,W 2-0,2,0,2,64,2,0,0,0,2,13,0.15,0.5,4,30.8,20.5,1,508,570,89.1,12,49,10,4,39,9062,2791,226,241,93.8,225,240,93.8,52,71,73.2,23,18,0,1,2,1,1,4,2,0,1,1,0,0,654,35,171,334,155,27,654,15,12,5,8,2,12,17,70.6,5,2,0,2,8,23,15,0,532,36,9,0,2,17,19,2,2,0,0,2,4,2,0,0,14,9,2,0,0,0,32,Match Report
10,Udinese,2024-10-30,2,286,25,2,17,6,4,0,498,@,Venezia,it Serie A,L 2-3,2,3,-1,43,2,0,0,0,2,15,0.13,0.4,5,33.3,16.7,0,286,378,75.7,11,19,6,2,23,5188,1916,126,146,86.3,125,148,84.5,29,64,45.3,25,16,3,1,2,1,2,2,2,0,0,0,0,0,498,56,204,208,91,19,498,17,9,8,8,1,6,15,40.0,9,15,4,11,6,23,27,1,329,49,12,1,2,17,18,6,2,2,0,0,7,4,1,0,13,9,0,0,2,0,44,Match Report
