Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Venezia,2024-08-18,1,249,20,2,16,3,2,1,407,@,Lazio,it Serie A,L 1-3,1,3,-2,33,1,0,0,0,1,11,0.09,0.5,2,18.2,19.9,1,249,316,78.8,8,16,5,1,15,4055,1543,110,124,88.7,114,138,82.6,15,31,48.4,20,17,1,1,0,1,0,2,2,0,0,0,0,0,407,63,161,166,84,18,407,16,8,7,5,4,3,11,27.3,8,6,2,4,12,28,22,1,275,40,13,0,0,12,12,3,0,3,0,1,12,2,0,0,11,13,1,0,1,1,33,Match Report
2,Venezia,2024-08-25,0,319,16,0,16,3,2,2,488,@,Fiorentina,it Serie A,D 0-0,0,0,0,46,0,0,0,0,0,8,0.0,0.0,4,50.0,15.3,0,319,401,79.6,5,9,4,2,22,5888,2288,116,139,83.5,173,193,89.6,25,54,46.3,16,10,3,1,0,2,0,0,0,0,0,0,0,0,488,83,207,214,73,15,488,16,8,8,6,2,3,10,30.0,7,7,2,5,3,19,18,2,356,43,14,1,2,13,20,3,1,1,0,2,6,2,0,0,21,12,2,0,0,0,28,Match Report
3,Venezia,2024-08-30,0,314,23,0,17,3,2,3,498,,Torino,it Serie A,L 0-1,0,1,-1,42,0,0,0,0,0,13,0.0,0.0,4,30.8,19.0,1,314,403,77.9,10,16,8,3,25,5233,2162,152,176,86.4,121,145,83.4,29,55,52.7,23,17,4,0,0,1,1,0,0,0,0,0,0,0,498,67,204,200,107,22,498,17,9,8,7,2,6,8,75.0,2,8,3,5,12,29,14,2,358,42,16,5,2,13,15,3,1,0,0,3,7,2,0,0,7,13,3,0,0,0,40,Match Report
4,Venezia,2024-09-14,0,310,10,0,16,1,3,2,459,@,Milan,it Serie A,L 0-4,0,4,-4,38,0,0,0,0,0,6,0.0,0.0,1,16.7,24.7,0,310,376,82.4,4,13,4,1,20,5198,1745,148,160,92.5,139,157,88.5,18,45,40.0,10,6,0,3,0,0,1,0,0,0,0,0,0,0,459,79,212,184,69,10,459,16,12,6,8,2,8,13,61.5,5,7,2,5,5,21,17,0,341,33,12,1,7,10,12,1,1,0,0,2,4,3,1,1,12,10,2,0,2,0,36,Match Report
5,Venezia,2024-09-21,2,318,23,4,12,3,2,0,512,,Genoa,it Serie A,W 2-0,2,0,2,49,2,0,1,1,2,11,0.18,0.67,3,27.3,22.8,0,318,412,77.2,11,24,5,0,26,5935,2369,121,148,81.8,156,178,87.6,37,67,55.2,23,18,1,1,2,1,0,4,3,0,0,1,0,0,512,56,177,202,139,16,511,12,7,4,5,3,6,9,66.7,3,16,6,10,4,16,14,0,366,46,17,2,1,10,20,3,0,2,0,0,5,2,0,0,9,10,0,1,0,0,40,Match Report
6,Venezia,2024-09-29,1,198,29,1,18,3,2,1,411,@,Roma,it Serie A,L 1-2,1,2,-1,31,1,0,0,0,1,18,0.06,0.17,6,33.3,17.5,1,198,283,70.0,9,12,2,1,13,3740,1664,80,95,84.2,90,118,76.3,26,54,48.1,29,19,2,0,5,3,0,1,0,0,0,1,0,0,411,86,198,138,81,19,411,18,9,13,4,1,10,17,58.8,7,17,7,10,4,22,35,0,243,39,9,0,0,16,12,3,2,0,0,1,7,2,0,0,13,7,1,0,0,0,35,Match Report
7,Venezia,2024-10-04,1,311,25,1,16,6,0,0,530,@,Hellas Verona,it Serie A,L 1-2,1,2,-1,49,1,0,0,0,1,14,0.07,0.5,2,14.3,20.6,1,311,412,75.5,12,20,9,3,34,5335,2178,136,160,85.0,133,167,79.6,26,50,52.0,25,22,2,0,0,1,0,1,0,1,0,0,0,0,530,70,196,214,123,19,530,16,10,11,4,1,6,12,50.0,6,10,7,3,5,21,24,1,359,53,10,0,3,20,22,6,3,2,0,0,5,0,0,0,5,9,0,0,0,1,42,Match Report
8,Venezia,2024-10-20,0,313,21,0,15,2,1,2,511,,Atalanta,it Serie A,L 0-2,0,2,-2,43,0,0,0,0,0,12,0.0,0.0,4,33.3,17.9,1,313,412,76.0,7,22,6,0,30,5265,2044,149,171,87.1,135,170,79.4,21,45,46.7,21,14,2,2,2,1,0,0,0,0,0,0,0,0,511,57,160,234,122,15,511,15,8,9,5,1,9,15,60.0,6,9,1,8,7,22,18,1,362,48,7,2,4,10,28,2,1,0,0,2,7,1,0,0,12,6,2,0,0,0,42,Match Report
9,Venezia,2024-10-27,2,362,11,4,10,3,2,1,545,@,Monza,it Serie A,D 2-2,2,2,0,54,2,0,0,0,2,6,0.33,1.0,2,33.3,13.2,0,362,458,79.0,6,32,7,2,40,6443,2396,153,181,84.5,175,197,88.8,31,61,50.8,11,5,2,2,0,1,1,4,1,1,1,0,1,0,545,70,161,276,115,13,545,10,6,4,4,2,5,13,38.5,8,12,3,9,4,14,27,0,399,58,17,2,2,15,24,3,0,3,0,1,12,2,0,0,16,17,1,0,0,0,30,Match Report
10,Venezia,2024-10-30,3,414,29,5,17,2,3,3,616,,Udinese,it Serie A,W 3-2,3,2,1,57,1,2,2,0,3,16,0.06,0.2,5,31.3,23.6,1,414,511,81.0,11,31,6,1,40,7289,2240,161,184,87.5,234,265,88.3,17,42,40.5,29,20,0,4,2,2,1,5,2,0,0,1,2,0,616,55,141,302,178,19,614,17,11,8,4,5,9,19,47.4,10,7,2,5,9,26,18,0,457,51,10,2,0,14,25,2,0,1,0,3,12,3,0,0,9,12,3,1,0,0,41,Match Report
