Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Keven Schlotterbeck,0,24,1,0,1,47,1,2024-12-07,27-223,de GER,Augsburg,@,Eint Frankfurt,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,32,75.0,1,4,0,0,4,438,261,10,10,100.0,13,16,81.3,1,6,16.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47,11,35,13,0,0,47,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,10,0,1,0,0,1,1,DF,Match Report
202,Marius Wolf,0,20,2,0,0,50,0,2024-12-07,29-194,de GER,Augsburg,@,Eint Frankfurt,de Bundesliga,D 2-2,Y,79,0,0,0,0,0,0,0,0,,,0,,,0,20,40,50.0,1,1,1,1,2,338,194,10,15,66.7,8,14,57.1,2,6,33.3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,50,2,12,21,20,1,50,0,0,0,0,0,0,2,0.0,2,3,0,3,2,2,2,0,0,0,0,0,2,DF,Match Report
203,Jeffrey Gouweleeuw,1,42,0,0,1,60,1,2024-12-14,33-157,nl NED,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,6.4,0,42,50,84.0,0,6,1,0,4,894,453,16,18,88.9,17,20,85.0,8,10,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,31,26,3,3,60,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,5,0,1,0,0,2,0,DF,Match Report
204,Dimitris Giannoulis,0,10,1,0,0,21,2,2024-12-14,29-058,gr GRE,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,58,0,0,0,0,0,0,0,0,,,0,,,0,10,16,62.5,1,1,1,0,2,200,118,5,7,71.4,4,6,66.7,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,11,5,5,0,21,2,1,2,0,0,1,1,100.0,0,1,1,0,1,3,1,0,0,0,0,1,0,DF,Match Report
205,Steve Mounié,0,1,0,0,0,2,0,2024-12-14,30-076,bj BEN,Augsburg,,Leverkusen,de Bundesliga,L 0-2,N,4,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,9,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
206,Nediljko Labrović,0,14,0,0,0,23,0,2024-12-14,25-065,hr CRO,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,14,21,66.7,0,1,0,0,0,352,199,2,2,100.0,6,6,100.0,6,13,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,23,0,0,0,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
207,Frank Onyeka,0,25,2,0,1,40,1,2024-12-14,26-348,ng NGA,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,86,0,0,0,0,0,0,0,0,,,0,,,0,25,32,78.1,0,2,0,0,3,407,131,13,14,92.9,7,9,77.8,4,4,100.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,40,3,8,16,16,0,40,1,1,0,1,0,1,1,100.0,0,1,1,0,2,3,1,0,1,0,0,2,2,MF,Match Report
208,Henri Koudossou,0,11,1,0,0,15,1,2024-12-14,25-102,de GER,Augsburg,,Leverkusen,de Bundesliga,L 0-2,N,32,0,0,0,0,0,0,0,0,,,0,,,0,11,13,84.6,0,0,0,0,1,142,0,8,8,100.0,3,3,100.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,9,4,2,15,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,0,DF,Match Report
209,Phillip Tietz,2,13,1,0,1,23,1,2024-12-14,27-158,de GER,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,58,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.3,0,13,20,65.0,0,2,0,0,0,190,9,8,10,80.0,5,7,71.4,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,12,11,5,23,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,1,0,0,1,1,FW,Match Report
210,Ruben Vargas,0,10,0,0,0,12,0,2024-12-14,26-131,ch SUI,Augsburg,,Leverkusen,de Bundesliga,L 0-2,N,15,0,0,0,0,0,0,0,0,,,0,,,0,10,12,83.3,0,1,0,0,1,154,43,5,5,100.0,5,5,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,7,4,0,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
211,Alexis Claude-Maurice,1,12,1,0,0,18,1,2024-12-14,26-191,fr FRA,Augsburg,,Leverkusen,de Bundesliga,L 0-2,N,32,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,31.5,0,12,13,92.3,0,1,0,0,1,152,33,8,8,100.0,3,3,100.0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,1,9,8,2,18,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,"MF,FW",Match Report
212,Samuel Essende,0,10,0,0,0,21,0,2024-12-14,26-326,cd COD,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,10,13,76.9,0,0,0,0,0,125,4,6,8,75.0,3,4,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2,6,13,4,21,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,0,0,0,1,0,FW,Match Report
213,Kristijan Jakić,1,28,1,0,0,45,0,2024-12-14,27-214,hr CRO,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.3,0,28,34,82.4,0,3,1,0,4,381,110,17,19,89.5,9,13,69.2,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,6,15,23,7,1,45,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,4,0,0,0,0,1,0,MF,Match Report
214,Arne Maier,2,13,2,0,0,20,0,2024-12-14,25-341,de GER,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,45,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,22.7,0,13,13,100.0,0,0,0,0,1,229,31,4,4,100.0,4,4,100.0,3,3,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20,1,3,11,6,0,20,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,MF,Match Report
215,Chrislain Matsima,0,42,1,0,0,65,0,2024-12-14,22-213,fr FRA,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,52,80.8,1,5,1,0,4,684,312,22,23,95.7,15,20,75.0,5,9,55.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65,5,23,35,7,0,65,0,0,0,0,0,0,0,,0,1,1,0,3,3,3,0,0,0,0,0,0,DF,Match Report
216,Mert Kömür,0,6,1,0,0,16,0,2024-12-14,19-150,de GER,Augsburg,,Leverkusen,de Bundesliga,L 0-2,N,45,0,0,0,0,0,0,0,0,,,0,,,0,6,13,46.2,0,0,0,0,0,75,5,5,9,55.6,1,2,50.0,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,10,4,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,MF,Match Report
217,Keven Schlotterbeck,0,39,0,0,0,55,0,2024-12-14,27-230,de GER,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,39,46,84.8,0,2,0,0,2,776,291,13,13,100.0,20,23,87.0,5,8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,24,30,1,0,55,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,6,0,0,0,0,1,1,DF,Match Report
218,Marius Wolf,1,33,5,0,0,62,1,2024-12-14,29-201,de GER,Augsburg,,Leverkusen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.4,0,33,52,63.5,4,1,3,1,5,585,320,14,18,77.8,16,20,80.0,3,11,27.3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,62,4,12,15,35,5,62,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,3,0,0,0,0,0,0,DF,Match Report
219,Dimitris Giannoulis,0,62,2,0,1,84,1,2024-12-21,29-065,gr GRE,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,62,76,81.6,1,7,1,0,6,1184,328,20,22,90.9,37,43,86.0,5,6,83.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,84,1,18,48,18,0,84,1,0,0,1,0,0,3,0.0,3,2,1,1,1,2,1,0,1,0,0,1,0,DF,Match Report
220,Steve Mounié,1,1,1,0,1,7,0,2024-12-21,30-083,bj BEN,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,N,19,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.5,0,1,3,33.3,0,0,0,0,0,8,8,1,1,100.0,0,1,0.0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,2,4,3,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,1,"FW,MF",Match Report
221,Elvis Rexhbeçaj,0,23,2,0,0,33,2,2024-12-21,27-050,xk KVX,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,44,0,0,0,0,0,0,0,0,,,0,,,0,23,29,79.3,1,2,2,1,6,358,87,10,12,83.3,12,16,75.0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,33,0,2,18,13,0,33,2,2,0,2,0,1,1,100.0,0,0,0,0,1,3,0,1,0,0,0,0,1,MF,Match Report
222,Nediljko Labrović,0,24,0,0,0,29,0,2024-12-21,25-072,hr CRO,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,28,85.7,0,0,0,0,0,579,354,6,6,100.0,11,12,91.7,7,10,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,29,0,0,0,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
223,Frank Onyeka,0,31,2,0,0,36,0,2024-12-21,26-355,ng NGA,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,N,46,0,0,0,0,0,0,0,0,,,0,,,0,31,33,93.9,1,3,1,1,4,517,158,17,17,100.0,9,11,81.8,5,5,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,36,0,4,26,8,1,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,MF,Match Report
224,Henri Koudossou,2,29,4,0,0,52,0,2024-12-21,25-109,de GER,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,N,80,0,0,0,0,0,0,0,2,0.0,,0,0.0,19.5,0,29,41,70.7,2,2,0,0,1,511,167,11,13,84.6,17,22,77.3,1,4,25.0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,52,3,14,17,22,4,52,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0,0,0,0,1,1,DF,Match Report
225,Phillip Tietz,4,7,3,0,0,22,0,2024-12-21,27-165,de GER,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,90,0,0,0,0,0,0,0,4,0.0,,0,0.0,15.3,1,7,12,58.3,1,1,1,0,1,130,25,1,2,50.0,6,9,66.7,0,0,,3,1,0,0,1,1,0,0,0,0,0,0,0,0,22,1,1,8,13,3,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2,FW,Match Report
226,Maximilian Bauer,1,68,0,0,0,87,1,2024-12-21,24-316,de GER,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,7.2,0,68,79,86.1,0,9,0,0,8,1431,595,17,18,94.4,41,45,91.1,10,15,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,9,41,42,4,3,87,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,1,1,DF,Match Report
227,Ruben Vargas,2,11,1,0,1,14,0,2024-12-21,26-138,ch SUI,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,N,32,0,0,0,0,0,0,0,2,0.0,,0,0.0,8.4,0,11,11,100.0,0,1,0,0,1,160,9,6,6,100.0,4,4,100.0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,7,4,2,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,"MF,FW",Match Report
228,Alexis Claude-Maurice,3,24,3,1,0,44,1,2024-12-21,26-198,fr FRA,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,90,1,0,1,1,0,0,0,3,0.33,0.5,2,66.7,22.8,0,24,31,77.4,0,1,2,0,3,398,63,10,12,83.3,11,14,78.6,2,2,100.0,3,2,0,1,0,0,0,1,0,0,1,0,0,0,44,0,3,26,17,2,44,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,1,2,"MF,FW",Match Report
229,Samuel Essende,2,5,1,1,0,12,0,2024-12-21,26-333,cd COD,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,58,0,1,1,0,0,0,0,2,0.0,0.0,1,50.0,11.1,0,5,5,100.0,1,1,0,0,1,74,19,3,3,100.0,2,2,100.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,12,0,1,6,5,3,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,1,FW,Match Report
230,Kristijan Jakić,1,35,1,0,0,52,2,2024-12-21,27-221,hr CRO,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.8,0,35,41,85.4,1,2,1,0,4,620,208,18,18,100.0,14,16,87.5,3,6,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,3,17,25,10,2,52,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,3,0,0,0,0,1,1,MF,Match Report
231,Arne Maier,0,15,5,0,0,27,0,2024-12-21,25-348,de GER,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,N,19,0,0,0,0,0,0,0,0,,,0,,,0,15,25,60.0,3,2,1,0,1,218,67,10,11,90.9,2,4,50.0,2,7,28.6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,27,1,3,10,14,1,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,MF,Match Report
232,Chrislain Matsima,1,53,0,0,0,61,0,2024-12-21,22-220,fr FRA,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.6,0,53,56,94.6,0,4,0,0,4,1024,285,9,9,100.0,43,44,97.7,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,4,31,30,1,1,61,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,DF,Match Report
233,Keven Schlotterbeck,0,5,0,0,0,8,0,2024-12-21,27-237,de GER,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,10,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,1,0,0,2,102,82,1,1,100.0,3,4,75.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,4,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,DF,Match Report
234,Marius Wolf,0,49,4,0,1,69,0,2024-12-21,29-208,de GER,Augsburg,@,Holstein Kiel,de Bundesliga,L 1-5,Y,71,0,0,0,0,0,0,0,0,,,0,,,0,49,68,72.1,2,0,0,0,4,748,243,25,27,92.6,21,28,75.0,2,9,22.2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,69,0,4,42,23,1,69,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,DF,Match Report
235,Jeffrey Gouweleeuw,0,45,0,0,1,67,1,2025-01-12,33-186,nl NED,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,57,78.9,0,8,0,0,4,940,365,15,20,75.0,26,28,92.9,4,9,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,6,30,35,3,1,67,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,6,0,1,0,0,1,0,DF,Match Report
236,Dimitris Giannoulis,0,39,0,0,0,61,0,2025-01-12,29-087,gr GRE,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,39,53,73.6,0,3,1,0,4,647,297,18,24,75.0,18,23,78.3,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,12,28,22,1,61,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,0,0,0,0,0,DF,Match Report
237,Noahkai Banks,0,32,0,0,0,45,3,2025-01-12,18-042,us USA,Augsburg,,Stuttgart,de Bundesliga,L 0-1,N,62,0,0,0,0,0,0,0,0,,,0,,,0,32,36,88.9,0,0,0,0,2,587,173,11,12,91.7,19,21,90.5,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,21,23,3,0,45,3,2,1,1,1,2,3,66.7,1,0,0,0,2,5,3,0,0,0,0,0,0,DF,Match Report
238,Elvis Rexhbeçaj,1,21,2,0,1,45,1,2025-01-12,27-072,xk KVX,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.3,0,21,32,65.6,1,0,2,0,4,267,114,13,17,76.5,7,11,63.6,0,1,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,45,1,7,17,22,1,45,1,1,1,0,0,1,4,25.0,3,3,1,2,1,2,0,0,1,0,0,1,3,MF,Match Report
239,Robert Gumny,1,22,2,0,0,42,2,2025-01-12,26-222,pl POL,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,72,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,11.6,0,22,30,73.3,0,1,0,0,3,271,107,12,14,85.7,9,11,81.8,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,42,8,16,14,12,2,42,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,5,0,0,0,0,1,0,DF,Match Report
240,Frank Onyeka,2,10,2,0,1,34,4,2025-01-12,27-011,ng NGA,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,72,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.6,0,10,19,52.6,0,0,0,0,0,168,23,5,10,50.0,5,7,71.4,0,1,0.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,34,3,8,16,10,1,34,4,2,2,2,0,1,1,100.0,0,2,1,1,1,5,2,0,1,0,0,1,3,MF,Match Report
241,Henri Koudossou,0,8,0,0,0,12,0,2025-01-12,25-131,de GER,Augsburg,,Stuttgart,de Bundesliga,L 0-1,N,18,0,0,0,0,0,0,0,0,,,0,,,0,8,8,100.0,0,0,0,0,0,145,21,4,4,100.0,3,3,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,4,0,12,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,DF,Match Report
242,Phillip Tietz,0,3,0,0,0,8,0,2025-01-12,27-187,de GER,Augsburg,,Stuttgart,de Bundesliga,L 0-1,N,18,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,0,0,0,0,0,28,6,3,4,75.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,4,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,FW,Match Report
243,Fredrik Jensen,0,2,0,0,0,6,0,2025-01-12,27-125,fi FIN,Augsburg,,Stuttgart,de Bundesliga,L 0-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,2,5,40.0,0,1,0,0,1,27,10,1,3,33.3,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,3,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,MF,Match Report
244,Maximilian Bauer,0,7,0,0,0,12,1,2025-01-12,24-338,de GER,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,28,0,0,0,0,0,0,0,0,,,0,,,0,7,7,100.0,0,0,0,0,0,82,25,6,6,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,10,1,1,0,12,1,1,0,0,1,1,1,100.0,0,1,1,0,0,1,2,0,0,0,0,0,0,DF,Match Report
245,Alexis Claude-Maurice,1,21,2,0,0,41,3,2025-01-12,26-220,fr FRA,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,82,0,0,0,0,0,0,0,1,0.0,,0,0.0,33.3,0,21,28,75.0,1,1,0,0,3,268,49,12,15,80.0,6,7,85.7,1,4,25.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,41,2,4,16,21,1,41,3,1,0,2,1,1,1,100.0,0,1,0,1,0,3,1,0,0,0,0,1,5,"MF,FW",Match Report
246,Samuel Essende,2,5,0,0,0,23,2,2025-01-12,26-355,cd COD,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,72,0,0,0,0,0,0,0,2,0.0,,0,0.0,18.1,0,5,12,41.7,0,0,0,0,0,46,4,3,4,75.0,1,2,50.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,10,11,3,23,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,3,1,FW,Match Report
247,Kristijan Jakić,1,35,1,0,1,61,4,2025-01-12,27-243,hr CRO,Augsburg,,Stuttgart,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,21.7,0,35,50,70.0,1,2,1,0,6,573,226,15,22,68.2,15,18,83.3,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61,3,19,30,12,2,61,4,2,3,0,1,3,3,100.0,0,1,0,1,2,6,0,0,1,0,0,1,1,MF,Match Report
248,Arne Maier,0,16,0,0,0,24,1,2025-01-12,26-004,de GER,Augsburg,,Stuttgart,de Bundesliga,L 0-1,N,18,0,0,0,0,0,0,0,0,,,0,,,0,16,20,80.0,0,1,0,0,0,260,50,8,8,100.0,8,9,88.9,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,4,16,4,0,24,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
