Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Edmond Tapsoba,2,94,1,1,0,114,0,2024-12-14,25-316,bf BFA,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,22.1,0,94,108,87.0,0,13,0,0,10,1498,586,57,58,98.3,33,39,84.6,4,10,40.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,114,3,21,83,10,1,114,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,0,0,0,1,0,DF,Match Report
202,Lukáš Hrádecký,0,23,0,0,0,31,0,2024-12-14,35-020,fi FIN,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,30,76.7,0,0,0,0,0,595,402,5,5,100.0,11,11,100.0,7,14,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,30,1,0,0,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
203,Álex Grimaldo,2,70,3,0,0,92,2,2024-12-14,29-085,es ESP,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,89,0,0,0,0,0,0,0,2,0.0,,0,0.0,30.4,2,70,84,83.3,2,7,1,0,7,1081,362,44,47,93.6,19,23,82.6,7,11,63.6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,92,3,19,43,30,2,92,2,1,0,1,1,2,2,100.0,0,0,0,0,1,3,1,0,0,0,0,0,1,DF,Match Report
204,Jonathan Tah,0,95,0,0,0,106,0,2024-12-14,28-307,de GER,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,95,98,96.9,0,3,0,0,3,1774,663,31,31,100.0,57,59,96.6,6,7,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,6,30,73,3,1,106,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,0,0,0,0,0,DF,Match Report
205,Jeanuël Belocian,0,0,0,0,0,0,0,2024-12-14,19-301,fr FRA,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,MF",Match Report
206,Robert Andrich,1,60,4,0,0,75,0,2024-12-14,30-083,de GER,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,86,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.3,0,60,68,88.2,2,7,0,0,3,857,181,38,42,90.5,18,20,90.0,4,6,66.7,4,3,0,0,0,1,0,0,0,0,0,0,0,0,75,1,12,49,14,0,75,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0,0,0,0,1,2,"MF,DF",Match Report
207,Granit Xhaka,0,99,3,1,0,117,1,2024-12-14,32-078,ch SUI,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,99,111,89.2,1,11,0,0,8,1948,368,40,42,95.2,45,50,90.0,14,18,77.8,3,2,0,0,0,1,0,1,1,0,0,0,0,0,117,3,13,78,26,0,117,1,1,0,0,1,0,0,,0,1,0,1,0,1,2,0,0,0,0,1,1,MF,Match Report
208,Florian Wirtz,4,53,3,0,0,75,3,2024-12-14,21-225,de GER,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,90,1,0,1,1,0,0,0,4,0.25,0.5,2,50.0,24.2,1,53,65,81.5,0,2,1,0,3,676,97,37,38,97.4,12,17,70.6,2,6,33.3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,75,0,6,27,42,3,75,3,1,1,1,1,0,1,0.0,1,1,0,1,0,3,0,0,0,0,0,0,1,"MF,FW",Match Report
209,Exequiel Palacios,0,0,0,0,0,1,0,2024-12-14,26-070,ar ARG,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,N,4,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
210,Nathan Tella,2,14,4,1,0,25,0,2024-12-14,25-162,ng NGA,Leverkusen,@,Augsburg,de Bundesliga,W 2-0,Y,86,0,1,1,0,0,0,0,2,0.0,,0,0.0,19.5,0,14,16,87.5,1,0,0,0,0,228,10,8,10,80.0,5,5,100.0,1,1,100.0,4,2,0,1,0,1,0,1,1,0,0,0,0,0,25,1,2,11,13,2,25,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,3,"MF,FW",Match Report
211,Piero Hincapié,1,93,1,0,0,113,0,2024-12-21,22-347,ec ECU,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,82,0,0,0,0,0,0,0,1,0.0,,0,0.0,19.3,0,93,104,89.4,1,4,1,1,5,1238,453,60,61,98.4,26,30,86.7,4,8,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,113,9,40,56,17,2,113,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,0,0,0,0,0,DF,Match Report
212,Martin Terrier,0,4,1,0,0,7,0,2024-12-21,27-292,fr FRA,Leverkusen,,Freiburg,de Bundesliga,W 5-1,N,22,0,0,0,0,0,0,0,0,,,0,,,0,4,7,57.1,0,1,0,0,1,61,24,0,0,,3,4,75.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,3,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
213,Patrik Schick,7,16,3,0,1,32,2,2024-12-21,28-332,cz CZE,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,79,4,0,4,4,0,0,0,7,0.57,0.67,6,85.7,12.4,0,16,19,84.2,1,0,1,0,2,166,32,13,15,86.7,2,3,66.7,0,0,,3,1,0,1,1,0,0,0,0,0,0,0,0,0,32,0,3,11,18,8,32,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,1,0,0,2,0,FW,Match Report
214,Jeremie Frimpong,3,19,4,2,0,34,4,2024-12-21,24-011,nl NED,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,79,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,17.4,0,19,22,86.4,1,2,2,1,2,306,73,11,13,84.6,6,7,85.7,2,2,100.0,4,3,0,0,1,0,0,2,1,0,0,1,0,0,34,0,0,13,21,4,34,4,2,0,3,1,2,3,66.7,1,0,0,0,1,5,0,0,0,0,0,0,0,"DF,MF",Match Report
215,Arthur,0,5,0,0,0,8,0,2024-12-21,21-279,br BRA,Leverkusen,,Freiburg,de Bundesliga,W 5-1,N,11,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,0,0,1,62,10,4,4,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,3,1,8,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,0,0,DF,Match Report
216,Aleix García,0,13,0,0,0,15,0,2024-12-21,27-176,es ESP,Leverkusen,,Freiburg,de Bundesliga,W 5-1,N,11,0,0,0,0,0,0,0,0,,,0,,,0,13,14,92.9,0,2,0,0,0,240,64,8,8,100.0,3,3,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,3,0,15,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
217,Edmond Tapsoba,1,49,2,1,0,59,1,2024-12-21,25-323,bf BFA,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,3.4,0,49,52,94.2,0,5,0,0,6,832,283,23,23,100.0,23,25,92.0,3,4,75.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,59,5,18,34,8,1,59,1,0,0,0,1,0,0,,0,0,0,0,1,2,5,0,0,0,0,1,0,DF,Match Report
218,Nordi Mukiele,1,10,0,0,0,12,0,2024-12-21,27-050,fr FRA,Leverkusen,,Freiburg,de Bundesliga,W 5-1,N,11,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,16.7,0,10,11,90.9,0,0,1,0,1,124,39,8,8,100.0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,8,4,1,12,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,DF,Match Report
219,Lukáš Hrádecký,0,35,0,0,0,42,0,2024-12-21,35-027,fi FIN,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,35,42,83.3,0,0,0,0,0,809,505,11,11,100.0,13,13,100.0,11,18,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,26,42,0,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
220,Álex Grimaldo,1,64,6,1,0,85,1,2024-12-21,29-092,es ESP,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,79,0,1,1,0,0,0,0,1,0.0,,0,0.0,22.8,0,64,78,82.1,4,6,0,0,5,962,223,38,41,92.7,19,25,76.0,3,6,50.0,6,3,3,0,0,0,0,1,0,1,0,0,0,0,85,1,18,47,23,0,85,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,2,0,0,0,0,1,0,DF,Match Report
221,Jonathan Tah,0,64,2,0,0,76,0,2024-12-21,28-314,de GER,Leverkusen,,Freiburg,de Bundesliga,W 5-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,64,69,92.8,1,6,0,0,1,1244,410,20,23,87.0,37,37,100.0,6,8,75.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,76,2,27,47,2,2,76,0,0,0,0,0,0,0,,0,1,1,0,0,0,3,0,0,0,0,0,0,DF,Match Report
222,Jeanuël Belocian,0,1,0,0,0,1,0,2024-12-21,19-308,fr FRA,Leverkusen,,Freiburg,de Bundesliga,W 5-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,10,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,MF",Match Report
