Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
601,Kim Min-jae,0,82,0,0,0,96,1,2025-03-29,28-134,kr KOR,Bayern Munich,,St. Pauli,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,82,88,93.2,0,9,0,0,4,1283,447,41,44,93.2,39,41,95.1,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,3,16,77,3,2,96,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,5,0,0,0,0,1,0,DF,Match Report
602,Raphaël Guerreiro,0,0,0,0,0,0,0,2025-04-04,31-103,pt POR,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,MF",Match Report
603,Harry Kane,5,18,2,0,0,38,1,2025-04-04,31-250,eng ENG,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,Y,89,1,0,1,1,0,0,0,5,0.2,0.5,2,40.0,18.7,1,18,25,72.0,1,3,2,0,5,286,80,10,12,83.3,7,8,87.5,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,3,11,24,8,38,1,1,0,0,1,0,0,,0,1,0,1,0,1,2,0,0,0,0,0,1,FW,Match Report
604,Leroy Sané,7,43,5,0,0,63,0,2025-04-04,29-083,de GER,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,Y,89,0,0,0,0,0,0,0,7,0.0,0.0,2,28.6,16.2,0,43,51,84.3,2,2,4,2,3,631,138,24,27,88.9,16,18,88.9,2,2,100.0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,63,0,3,16,44,11,63,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,1,FW,Match Report
605,Jamal Musiala,2,17,4,1,0,35,0,2025-04-04,22-037,de GER,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,Y,53,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,11.1,0,17,22,77.3,1,1,1,0,3,270,52,8,9,88.9,7,9,77.8,2,3,66.7,4,1,0,1,1,1,0,1,0,0,0,1,0,0,35,2,4,9,22,9,35,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0,0,0,0,1,1,MF,Match Report
606,Thomas Müller,0,12,2,0,0,22,1,2025-04-04,35-203,de GER,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,N,37,0,0,0,0,0,0,0,0,,,0,,,0,12,17,70.6,1,0,1,0,1,130,36,12,14,85.7,0,2,0.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,9,11,3,22,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0,0,0,0,3,0,"MF,FW",Match Report
607,Joshua Kimmich,0,103,8,1,0,120,1,2025-04-04,30-055,de GER,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,103,115,89.6,2,14,2,0,15,2104,648,40,41,97.6,41,46,89.1,21,25,84.0,8,4,3,0,0,1,0,1,0,1,0,0,0,0,120,2,22,64,34,0,120,1,1,0,0,1,1,1,100.0,0,0,0,0,3,4,1,0,0,0,0,0,2,MF,Match Report
608,Gabriel Vidovic,0,1,0,0,0,1,0,2025-04-04,21-124,hr CRO,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,9,6,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
609,Josip Stanišić,0,53,5,0,0,68,1,2025-04-04,25-002,hr CRO,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,53,58,91.4,5,7,5,1,10,815,221,30,30,100.0,19,22,86.4,4,5,80.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,68,1,12,30,26,1,68,1,1,0,1,0,0,1,0.0,1,1,0,1,2,3,1,0,0,0,0,0,1,DF,Match Report
610,Serge Gnabry,0,24,3,0,0,30,0,2025-04-04,29-264,de GER,Bayern Munich,@,Augsburg,de Bundesliga,W 3-1,N,24,0,0,0,0,0,0,0,0,,,0,,,0,24,25,96.0,2,2,0,0,2,415,77,11,11,100.0,11,11,100.0,2,3,66.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,14,14,2,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
