Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Tom Krauß,0,9,0,0,1,20,1,2025-03-16,23-267,de GER,Bochum,,Eint Frankfurt,de Bundesliga,L 1-3,Y,40,0,0,0,0,0,0,0,0,,,0,,,0,9,14,64.3,0,0,0,0,0,147,19,4,7,57.1,4,4,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,13,6,0,20,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,1,0,0,1,0,MF,Match Report
402,Matúš Bero,2,26,6,0,1,55,1,2025-03-16,29-191,sk SVK,Bochum,,Eint Frankfurt,de Bundesliga,L 1-3,Y,85,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,8.4,0,26,47,55.3,4,3,0,0,3,694,293,8,10,80.0,8,16,50.0,10,14,71.4,6,0,5,0,1,0,0,0,0,0,0,0,0,0,55,3,6,22,27,3,55,1,1,1,0,0,0,0,,0,1,1,0,0,1,3,0,1,0,0,3,3,MF,Match Report
403,Moritz Broschinski,1,1,1,0,0,2,0,2025-03-16,24-174,de GER,Bochum,,Eint Frankfurt,de Bundesliga,L 1-3,N,5,0,0,0,0,0,0,0,1,0.0,,0,0.0,3.3,0,1,1,100.0,1,0,0,0,0,12,4,1,1,100.0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
404,Maximilian Wittek,1,48,5,0,1,81,3,2025-03-16,29-207,de GER,Bochum,,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.0,0,48,60,80.0,2,8,4,1,7,869,369,21,24,87.5,21,23,91.3,5,10,50.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,81,4,27,44,10,0,81,3,2,1,2,0,0,0,,0,3,0,3,3,6,3,0,1,0,0,1,1,DF,Match Report
405,Cristian Gamboa,0,7,0,0,0,10,0,2025-03-16,35-143,cr CRC,Bochum,,Eint Frankfurt,de Bundesliga,L 1-3,N,5,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,0,1,0,0,1,137,74,4,4,100.0,2,2,100.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,9,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,DF,Match Report
406,Ibrahima Sissoko,1,32,1,0,0,53,2,2025-03-28,27-152,ml MLI,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,84,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.9,0,32,41,78.0,1,2,0,0,3,437,102,19,22,86.4,11,12,91.7,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,3,11,32,10,0,53,2,1,1,1,0,0,0,,0,1,1,0,0,2,2,0,0,0,0,0,1,MF,Match Report
407,Gerrit Holtmann,0,15,2,0,0,36,5,2025-03-28,30-003,ph PHI,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,74,0,0,0,0,0,0,0,0,,,0,,,0,15,23,65.2,2,2,1,0,3,252,155,9,10,90.0,5,9,55.6,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,36,4,15,11,11,1,36,5,5,4,1,0,3,4,75.0,1,1,1,0,4,9,1,0,0,0,0,3,0,"DF,FW",Match Report
408,Timo Horn,0,22,0,0,0,43,0,2025-03-28,31-320,de GER,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,39,56.4,0,2,0,0,0,735,630,3,3,100.0,10,10,100.0,9,26,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,25,41,2,0,0,43,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
409,Dani de Wit,1,1,0,0,0,7,0,2025-03-28,27-059,nl NED,Bochum,@,Leverkusen,de Bundesliga,L 1-3,N,6,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.6,0,1,5,20.0,0,0,0,0,0,30,0,0,2,0.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,4,1,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
410,Tim Oermann,1,31,1,0,0,52,2,2025-03-28,21-173,de GER,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,45.5,0,31,39,79.5,0,1,0,0,2,571,147,11,14,78.6,17,18,94.4,3,6,50.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,52,6,25,24,3,0,52,2,1,1,1,0,0,1,0.0,1,0,0,0,2,4,4,0,0,0,0,0,0,DF,Match Report
411,Myron Boadu,0,3,0,0,1,3,0,2025-03-28,24-073,nl NED,Bochum,@,Leverkusen,de Bundesliga,L 1-3,N,16,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,1,1,0,58,19,1,1,100.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,FW,Match Report
412,Felix Passlack,1,33,0,0,0,54,3,2025-03-28,26-303,de GER,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,21.1,0,33,39,84.6,0,2,1,0,2,523,108,16,18,88.9,13,15,86.7,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,13,26,15,2,54,3,1,2,0,1,3,4,75.0,1,2,0,2,2,5,3,0,0,0,0,0,1,"DF,MF",Match Report
413,Ivan Ordets,0,27,0,0,0,52,1,2025-03-28,32-263,ua UKR,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,33,81.8,0,1,0,0,2,536,170,6,9,66.7,20,21,95.2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,30,19,3,2,52,1,0,1,0,0,1,1,100.0,0,3,2,1,1,2,12,0,0,0,0,1,0,DF,Match Report
414,Philipp Hofmann,1,13,0,0,0,24,0,2025-03-28,31-363,de GER,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,74,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.7,0,13,18,72.2,0,1,0,0,0,189,30,8,11,72.7,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,2,13,9,2,24,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,2,1,FW,Match Report
415,Giorgos Masouras,1,13,1,1,0,22,0,2025-03-28,31-086,gr GRE,Bochum,@,Leverkusen,de Bundesliga,L 1-3,Y,90,0,1,1,0,0,0,0,1,0.0,0.0,1,100.0,12.6,0,13,18,72.2,0,0,0,0,0,157,35,11,14,78.6,1,3,33.3,1,1,100.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,22,0,5,11,9,3,22,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0,0,0,0,1,0,"FW,MF",Match Report
