Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
601,Gregor Kobel,0,22,0,0,0,46,0,2025-03-30,27-114,ch SUI,Dortmund,,Mainz 05,de Bundesliga,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,43,51.2,0,1,0,0,0,729,542,4,4,100.0,8,8,100.0,10,31,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,46,0,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,GK,Match Report
602,Niklas Süle,0,13,1,0,0,15,0,2025-03-30,29-208,de GER,Dortmund,,Mainz 05,de Bundesliga,W 3-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,13,13,100.0,0,4,0,0,3,245,102,6,6,100.0,4,4,100.0,3,3,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,2,4,10,1,0,15,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,0,1,DF,Match Report
603,Julian Ryerson,0,24,2,1,0,37,3,2025-04-05,27-139,no NOR,Dortmund,@,Freiburg,de Bundesliga,W 4-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,24,31,77.4,2,0,0,0,2,379,110,15,15,100.0,8,9,88.9,1,6,16.7,2,1,1,0,0,0,0,1,1,0,0,0,0,0,37,1,9,13,15,1,37,3,1,0,1,2,0,1,0.0,1,0,0,0,0,3,1,0,0,0,0,1,0,DF,Match Report
604,Almugera Kabar,0,6,1,0,0,9,0,2025-04-05,18-303,de GER,Dortmund,@,Freiburg,de Bundesliga,W 4-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,1,1,1,1,1,89,35,3,3,100.0,3,4,75.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,5,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
605,Felix Nmecha,0,11,0,0,0,13,0,2025-04-05,24-177,de GER,Dortmund,@,Freiburg,de Bundesliga,W 4-1,N,21,0,0,0,0,0,0,0,0,,,0,,,0,11,12,91.7,0,1,0,0,2,246,93,1,1,100.0,8,9,88.9,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3,10,0,0,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,MF,Match Report
606,Jamie Gittens,1,2,0,0,0,5,0,2025-04-05,20-240,eng ENG,Dortmund,@,Freiburg,de Bundesliga,W 4-1,N,21,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,6.3,0,2,2,100.0,0,0,0,0,0,24,0,2,2,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
607,Daniel Svensson,1,30,3,0,0,53,3,2025-04-05,23-052,se SWE,Dortmund,@,Freiburg,de Bundesliga,W 4-1,Y,78,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,9.5,0,30,42,71.4,1,3,2,0,5,488,192,13,15,86.7,12,16,75.0,3,5,60.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,53,4,19,17,17,2,53,3,2,2,0,1,1,1,100.0,0,2,1,1,0,3,4,0,0,0,0,0,1,"DF,FW",Match Report
608,Salih Özcan,0,13,0,0,0,20,2,2025-04-05,27-084,tr TUR,Dortmund,@,Freiburg,de Bundesliga,W 4-1,N,30,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,0,1,0,0,0,267,75,5,5,100.0,7,8,87.5,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,11,9,0,0,20,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,2,0,0,0,0,0,0,MF,Match Report
609,Ramy Bensebaini,3,42,2,0,0,61,1,2025-04-05,29-354,dz ALG,Dortmund,@,Freiburg,de Bundesliga,W 4-1,Y,60,0,0,0,0,0,0,0,3,0.0,,0,0.0,7.3,0,42,49,85.7,0,3,0,0,5,768,302,20,20,100.0,17,18,94.4,5,11,45.5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,61,8,31,26,4,4,61,1,0,0,1,0,1,1,100.0,0,2,2,0,1,2,2,0,0,0,0,0,2,DF,Match Report
610,Karim Adeyemi,2,10,3,2,0,24,0,2025-04-05,23-077,de GER,Dortmund,@,Freiburg,de Bundesliga,W 4-1,Y,69,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,12.3,0,10,15,66.7,1,0,0,0,0,104,10,9,13,69.2,1,2,50.0,0,0,,3,2,0,1,0,0,0,2,1,0,1,0,0,0,24,0,0,7,17,11,24,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,3,0,"FW,MF",Match Report
