Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Jeffrey Gouweleeuw,0,45,3,0,1,58,1,2024-08-24,33-045,nl NED,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,50,90.0,1,4,1,0,8,1036,567,7,7,100.0,29,30,96.7,9,13,69.2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,58,5,29,27,2,0,58,1,0,0,0,1,1,1,100.0,0,1,1,0,2,3,4,0,1,0,0,0,0,DF,Match Report
2,Dimitris Giannoulis,0,22,0,0,0,41,1,2024-08-24,28-312,gr GRE,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,79,0,0,0,0,0,0,0,0,,,0,,,0,22,34,64.7,0,1,1,1,0,348,161,12,13,92.3,7,9,77.8,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,10,19,14,1,41,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,3,0,0,0,0,0,1,DF,Match Report
3,Steve Mounié,1,7,0,0,0,11,1,2024-08-24,29-330,bj BEN,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,N,11,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.4,0,7,8,87.5,0,0,0,0,0,95,12,3,3,100.0,3,4,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,7,1,11,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
4,Elvis Rexhbeçaj,1,29,4,1,0,48,0,2024-08-24,26-297,xk KVX,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,33.0,0,29,40,72.5,0,4,0,0,6,438,95,14,16,87.5,12,16,75.0,2,5,40.0,4,3,0,0,0,1,0,1,1,0,0,0,0,0,48,2,4,22,22,0,48,0,0,0,0,0,0,0,,0,3,0,3,0,0,2,0,0,0,0,0,4,MF,Match Report
5,Nediljko Labrović,0,25,0,0,0,35,0,2024-08-24,24-319,hr CRO,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,34,73.5,0,1,0,0,0,688,553,5,5,100.0,13,13,100.0,7,16,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,35,0,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
6,Phillip Tietz,0,14,3,1,0,24,1,2024-08-24,27-046,de GER,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,65,0,1,1,0,0,0,0,0,,,0,,,0,14,21,66.7,3,3,0,0,3,161,35,9,12,75.0,4,6,66.7,0,0,,3,3,0,0,0,0,0,1,1,0,0,0,0,0,24,0,1,10,14,2,24,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,2,0,FW,Match Report
7,Fredrik Jensen,0,5,1,0,0,11,0,2024-08-24,26-350,fi FIN,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,N,32,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,1,0,0,0,1,81,16,4,4,100.0,0,0,,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,8,3,11,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
8,Maximilian Bauer,0,11,0,0,0,15,1,2024-08-24,24-197,de GER,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,N,25,0,0,0,0,0,0,0,0,,,0,,,0,11,12,91.7,0,2,0,0,2,190,63,6,6,100.0,4,4,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,11,2,0,15,1,0,0,0,1,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,0,DF,Match Report
9,Arne Engels,3,19,1,0,1,32,0,2024-08-24,20-351,be BEL,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,79,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,13.1,0,19,27,70.4,0,2,0,0,1,195,57,14,16,87.5,2,3,66.7,0,3,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32,1,1,14,17,2,32,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,3,1,"MF,FW",Match Report
10,Mads Pedersen,2,30,1,0,0,49,2,2024-08-24,27-358,dk DEN,Augsburg,,Werder Bremen,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.1,0,30,38,78.9,0,4,1,0,7,605,310,11,12,91.7,15,19,78.9,4,5,80.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,49,2,7,23,21,2,49,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,0,0,0,0,0,1,0,DF,Match Report
