Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Piero Hincapié,0,58,0,0,0,81,1,2024-08-23,22-227,ec ECU,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,58,70,82.9,0,2,0,0,6,854,293,33,40,82.5,24,26,92.3,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,7,28,41,12,0,81,1,1,0,1,0,1,2,50.0,1,5,3,2,1,2,2,0,0,0,0,0,1,DF,Match Report
2,Jonas Hofmann,1,29,2,0,0,39,0,2024-08-23,32-040,de GER,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,64,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,16.6,0,29,36,80.6,0,1,0,0,3,369,59,18,21,85.7,9,13,69.2,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,39,1,5,19,15,2,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,"MF,DF",Match Report
3,Martin Terrier,2,11,1,0,0,15,0,2024-08-23,27-172,fr FRA,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,N,26,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,20.6,0,11,12,91.7,0,0,0,0,1,145,6,8,8,100.0,2,3,66.7,1,1,100.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,6,8,2,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
4,Jeremie Frimpong,1,27,2,1,0,43,0,2024-08-23,23-257,nl NED,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,10.4,0,27,35,77.1,0,0,2,1,2,321,91,20,22,90.9,5,7,71.4,1,1,100.0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,43,0,7,10,28,5,43,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0,0,0,0,0,2,"DF,MF",Match Report
5,Aleix García,0,24,1,0,0,27,0,2024-08-23,27-056,es ESP,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,N,9,0,0,0,0,0,0,0,0,,,0,,,0,24,27,88.9,0,2,0,0,1,343,38,14,15,93.3,6,6,100.0,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,13,12,0,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
6,Edmond Tapsoba,1,67,1,0,0,88,4,2024-08-23,25-203,bf BFA,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,29.2,0,67,77,87.0,0,7,2,1,8,1019,377,44,46,95.7,15,19,78.9,7,10,70.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,88,5,24,39,25,0,88,4,3,3,0,1,1,1,100.0,0,0,0,0,0,4,5,0,0,0,0,3,0,DF,Match Report
7,Lukáš Hrádecký,0,17,0,0,0,27,0,2024-08-23,34-273,fi FIN,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,24,70.8,0,0,0,0,0,418,304,5,5,100.0,6,6,100.0,6,13,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,27,0,0,0,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
8,Victor Boniface,5,7,3,0,0,26,0,2024-08-23,23-244,ng NGA,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,81,0,0,0,0,0,0,0,5,0.0,,0,0.0,14.2,0,7,11,63.6,2,0,1,1,0,97,11,5,9,55.6,1,1,100.0,1,1,100.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,11,15,6,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
9,Álex Grimaldo,4,41,8,1,0,57,0,2024-08-23,28-338,es ESP,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,19.2,1,41,47,87.2,4,2,2,2,1,505,143,29,31,93.5,7,8,87.5,2,2,100.0,8,5,1,0,1,1,0,1,0,0,0,1,0,0,57,1,4,22,31,5,57,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,DF,Match Report
10,Jonathan Tah,3,73,2,0,0,88,1,2024-08-23,28-194,de GER,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,12.3,0,73,77,94.8,0,7,0,0,11,1206,500,35,39,89.7,31,31,100.0,6,6,100.0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,88,8,29,56,3,3,88,1,0,1,0,0,0,0,,0,2,1,1,1,2,4,0,0,0,0,0,0,DF,Match Report
11,Amine Adli,1,7,2,0,0,13,1,2024-08-23,24-105,ma MAR,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,N,9,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.6,0,7,8,87.5,0,0,1,0,2,77,18,7,8,87.5,0,0,,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,4,9,3,13,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2,"MF,FW",Match Report
12,Robert Andrich,1,46,5,0,0,65,2,2024-08-23,29-336,de GER,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,81,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.6,0,46,55,83.6,1,4,1,0,2,577,139,30,32,93.8,14,18,77.8,1,2,50.0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,65,2,11,46,9,0,65,2,1,0,2,0,1,1,100.0,0,1,0,1,0,2,2,0,0,0,0,3,2,"MF,DF",Match Report
13,Granit Xhaka,2,98,10,0,0,115,0,2024-08-23,31-331,ch SUI,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,30.9,0,98,104,94.2,5,16,1,0,13,1535,431,49,51,96.1,36,37,97.3,8,11,72.7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,115,2,15,80,20,0,115,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,0,0,0,0,1,MF,Match Report
14,Florian Wirtz,3,48,8,1,0,80,4,2024-08-23,21-112,de GER,Leverkusen,@,Gladbach,de Bundesliga,W 3-2,Y,90,2,0,2,2,0,1,1,3,0.67,1.0,2,66.7,19.6,0,48,67,71.6,3,2,3,0,7,750,219,22,27,81.5,21,28,75.0,3,6,50.0,8,7,0,0,1,0,0,1,0,0,0,1,0,0,80,0,8,31,42,6,79,4,2,2,2,0,1,2,50.0,1,0,0,0,0,4,0,0,0,0,0,0,1,"MF,FW",Match Report
15,Piero Hincapié,1,58,2,0,0,76,4,2024-08-31,22-235,ec ECU,Leverkusen,,RB Leipzig,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.0,0,58,63,92.1,0,4,0,0,2,978,325,27,28,96.4,22,23,95.7,5,6,83.3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,76,14,37,31,8,3,76,4,4,2,2,0,2,3,66.7,1,1,1,0,1,5,2,0,0,0,0,0,1,DF,Match Report
16,Martin Terrier,4,18,4,1,0,30,1,2024-08-31,27-180,fr FRA,Leverkusen,,RB Leipzig,de Bundesliga,L 2-3,Y,70,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,12.7,0,18,23,78.3,0,0,0,0,0,218,15,10,11,90.9,6,8,75.0,0,0,,4,2,0,0,1,1,0,1,1,0,0,0,0,0,30,1,1,13,16,7,30,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,0,0,0,0,1,"MF,FW",Match Report
17,Patrik Schick,0,5,1,0,0,6,0,2024-08-31,28-220,cz CZE,Leverkusen,,RB Leipzig,de Bundesliga,L 2-3,N,14,0,0,0,0,0,0,0,0,,,0,,,0,5,5,100.0,1,0,0,0,0,59,0,3,3,100.0,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,1,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
18,Jeremie Frimpong,1,22,2,1,1,38,2,2024-08-31,23-265,nl NED,Leverkusen,,RB Leipzig,de Bundesliga,L 2-3,Y,76,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,4.2,0,22,29,75.9,0,0,1,0,1,303,94,12,15,80.0,9,11,81.8,0,1,0.0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,38,1,8,15,16,4,38,2,2,1,1,0,2,3,66.7,1,1,0,1,2,4,0,0,1,0,0,2,0,"DF,MF",Match Report
19,Arthur,0,4,0,0,0,5,0,2024-08-31,21-167,br BRA,Leverkusen,,RB Leipzig,de Bundesliga,L 2-3,N,5,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,0,0,0,0,76,43,0,0,,4,4,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,2,0,5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,0,DF,Match Report
