Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Kingsley Coman,0,6,1,0,0,13,3,2024-08-25,28-073,fr FRA,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,N,16,0,0,0,0,0,0,0,0,,,0,,,0,6,9,66.7,1,0,0,0,0,65,12,5,7,71.4,1,2,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,5,4,1,13,3,2,1,1,1,2,2,100.0,0,0,0,0,0,3,1,0,0,0,0,0,0,FW,Match Report
2,Harry Kane,2,15,4,1,1,29,0,2024-08-25,31-028,eng ENG,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,0,1,1,0,0,0,0,2,0.0,0.0,1,50.0,11.1,0,15,19,78.9,2,1,1,0,3,266,68,6,7,85.7,8,8,100.0,1,2,50.0,4,2,0,1,1,0,0,1,1,0,0,0,0,0,29,0,2,15,14,4,29,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,1,0,0,0,0,FW,Match Report
3,Aleksandar Pavlovic,0,66,1,0,0,75,4,2024-08-25,20-114,de GER,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,66,69,95.7,0,8,1,1,9,1018,315,37,37,100.0,27,28,96.4,2,4,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,11,56,8,0,75,4,3,0,3,1,1,1,100.0,0,1,1,0,0,4,1,0,0,0,0,0,1,MF,Match Report
4,Jamal Musiala,3,42,5,0,1,67,3,2024-08-25,21-181,de GER,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,1,0,1,1,0,0,0,3,0.33,0.5,2,66.7,11.8,0,42,51,82.4,1,7,5,0,11,650,234,25,28,89.3,13,16,81.3,4,5,80.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,67,1,9,36,23,6,67,3,2,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0,1,0,0,2,4,MF,Match Report
5,Thomas Müller,1,8,1,1,0,12,0,2024-08-25,34-347,de GER,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,N,26,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.1,0,8,10,80.0,0,1,0,0,1,80,32,6,6,100.0,1,2,50.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,12,0,3,8,1,1,12,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,"MF,FW",Match Report
6,Joshua Kimmich,1,62,1,0,0,79,1,2024-08-25,29-199,de GER,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,9.3,0,62,73,84.9,1,3,0,0,6,1060,247,30,31,96.8,25,30,83.3,6,8,75.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,79,2,16,45,20,1,79,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,2,0,0,0,0,4,0,MF,Match Report
7,Sacha Boey,0,28,3,2,1,45,3,2024-08-25,23-347,fr FRA,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,64,0,1,1,0,0,0,0,0,,,0,,,0,28,35,80.0,1,0,0,0,0,358,125,20,20,100.0,5,10,50.0,1,3,33.3,3,1,0,2,0,0,0,2,1,0,1,0,0,0,45,1,10,16,20,2,45,3,0,2,0,1,2,3,66.7,1,1,0,1,0,3,1,0,1,0,0,2,1,DF,Match Report
8,Manuel Neuer,0,58,0,0,0,68,0,2024-08-25,38-151,de GER,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,58,67,86.6,0,1,0,0,1,1254,694,15,15,100.0,27,27,100.0,14,23,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,30,62,6,0,0,68,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
9,Serge Gnabry,6,23,2,0,0,48,1,2024-08-25,29-042,de GER,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,1,0,1,1,0,0,0,6,0.17,0.25,4,66.7,11.5,0,23,34,67.6,1,0,0,0,0,316,36,15,21,71.4,6,8,75.0,0,1,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,48,1,6,18,24,10,48,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,0,0,0,0,0,"FW,MF",Match Report
10,Eric Dier,0,8,0,0,0,10,0,2024-08-25,30-223,eng ENG,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,N,10,0,0,0,0,0,0,0,0,,,0,,,0,8,8,100.0,0,0,0,0,0,105,36,5,5,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,6,4,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
