Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Anthony Losilla,0,11,1,0,0,18,0,2024-08-24,38-167,fr FRA,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,11,13,84.6,1,1,0,0,2,199,108,5,6,83.3,5,5,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,4,10,4,0,18,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,0,0,0,0,0,MF,Match Report
2,Ibrahima Sissoko,0,27,1,0,1,45,4,2024-08-24,26-302,ml MLI,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,33,81.8,0,2,1,0,3,470,130,8,10,80.0,17,18,94.4,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,3,15,28,2,0,45,4,3,1,3,0,0,1,0.0,1,0,0,0,1,5,2,0,1,0,0,4,2,MF,Match Report
3,Mats Pannewig,0,2,0,0,0,11,0,2024-08-24,19-301,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,N,20,0,0,0,0,0,0,0,0,,,0,,,0,2,8,25.0,0,1,0,0,2,39,28,0,3,0.0,2,4,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,6,4,1,11,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,0,MF,Match Report
4,Samuel Bamba,0,3,0,0,0,9,0,2024-08-24,20-193,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,3,6,50.0,0,0,0,0,0,56,8,1,1,100.0,2,2,100.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,6,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
5,Tim Oermann,0,6,0,0,0,8,0,2024-08-24,20-323,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,0,1,0,0,2,139,55,0,0,,5,5,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,4,0,0,8,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,DF,Match Report
6,Myron Boadu,1,2,1,0,0,4,0,2024-08-24,23-223,nl NED,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,N,28,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.0,0,2,3,66.7,0,0,0,0,0,36,0,1,2,50.0,1,1,100.0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,3,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,FW,Match Report
7,Felix Passlack,0,20,2,0,0,49,4,2024-08-24,26-087,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,37,54.1,0,3,0,0,2,418,157,6,8,75.0,12,16,75.0,2,10,20.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,49,2,13,25,11,0,49,4,3,1,2,1,3,5,60.0,2,3,1,2,1,5,1,0,0,0,0,1,3,"DF,MF",Match Report
8,Jakov Medić,0,16,1,0,0,32,3,2024-08-24,25-352,hr CRO,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,85,0,0,0,0,0,0,0,0,,,0,,,0,16,20,80.0,0,1,0,0,0,356,149,3,4,75.0,11,11,100.0,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,9,20,12,0,0,32,3,2,1,2,0,1,1,100.0,0,1,1,0,1,4,6,0,0,0,0,2,0,DF,Match Report
9,Aliou Badara Baldé,1,3,1,0,0,7,1,2024-08-24,21-256,gn GUI,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,N,20,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.7,0,3,4,75.0,1,1,0,0,0,42,18,2,3,66.7,1,1,100.0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,1,5,0,7,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,0,"MF,FW",Match Report
10,Philipp Hofmann,2,10,0,0,0,27,1,2024-08-24,31-147,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,70,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,21.7,0,10,18,55.6,0,2,0,0,1,141,39,6,8,75.0,4,8,50.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,2,14,11,1,27,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,2,1,FW,Match Report
