Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Julian Ryerson,1,47,4,0,0,62,0,2024-08-24,26-281,no NOR,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.0,0,47,54,87.0,3,0,2,1,2,709,149,24,25,96.0,23,26,88.5,0,1,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,62,2,12,16,34,3,62,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,2,1,DF,Match Report
2,Felix Nmecha,0,4,0,0,0,6,0,2024-08-24,23-319,de GER,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,N,10,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,0,0,0,0,63,3,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,MF,Match Report
3,Jamie Gittens,2,9,3,2,0,17,1,2024-08-24,20-016,eng ENG,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,N,32,2,0,2,2,0,0,0,2,1.0,1.0,2,100.0,13.8,0,9,10,90.0,1,1,1,0,1,104,8,7,7,100.0,2,2,100.0,0,1,0.0,3,1,0,2,0,0,0,2,0,0,2,0,0,0,17,0,0,5,13,3,17,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,"FW,MF",Match Report
4,Donyell Malen,0,23,1,0,0,32,0,2024-08-24,25-228,nl NED,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,Y,58,0,0,0,0,0,0,0,0,,,0,,,0,23,27,85.2,0,0,2,1,2,346,86,15,15,100.0,7,8,87.5,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,7,25,2,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
5,Nico Schlotterbeck,2,99,6,0,0,132,8,2024-08-24,24-267,de GER,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,28.6,0,99,115,86.1,1,14,1,1,13,1712,642,40,42,95.2,53,60,88.3,6,9,66.7,6,4,1,0,0,0,1,0,0,0,0,0,0,0,132,7,29,76,28,3,132,8,5,4,4,0,6,6,100.0,0,1,0,1,1,9,6,0,0,0,0,2,1,DF,Match Report
6,Ramy Bensebaini,0,5,1,1,0,7,1,2024-08-24,29-130,dz ALG,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,N,6,0,1,1,0,0,0,0,0,,,0,,,0,5,5,100.0,1,0,0,0,0,90,38,1,1,100.0,4,4,100.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,7,1,3,4,0,0,7,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,DF,Match Report
7,Karim Adeyemi,2,9,2,0,0,23,4,2024-08-24,22-219,de GER,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,Y,58,0,0,0,0,0,0,0,2,0.0,,0,0.0,14.4,0,9,13,69.2,2,0,1,0,1,137,12,6,8,75.0,3,3,100.0,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,23,2,4,8,11,4,23,4,3,2,0,2,2,2,100.0,0,1,0,1,0,4,0,0,0,0,0,0,0,"FW,MF",Match Report
8,Maximilian Beier,0,8,1,0,0,13,2,2024-08-24,21-312,de GER,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,N,32,0,0,0,0,0,0,0,0,,,0,,,0,8,11,72.7,1,0,0,0,2,95,10,5,6,83.3,2,3,66.7,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,5,7,0,13,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,0,0,"FW,MF",Match Report
9,Waldemar Anton,2,86,1,0,0,108,1,2024-08-24,28-035,de GER,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,11.1,0,86,96,89.6,0,8,0,0,7,1574,345,37,39,94.9,45,48,93.8,4,8,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,10,40,57,11,3,108,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0,0,0,0,1,0,DF,Match Report
10,Gio Reyna,0,10,1,0,0,17,1,2024-08-24,21-285,us USA,Dortmund,,Eint Frankfurt,de Bundesliga,W 2-0,N,10,0,0,0,0,0,0,0,0,,,0,,,0,10,13,76.9,0,1,0,0,2,152,60,6,7,85.7,3,4,75.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,13,0,17,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
