Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Joe Scally,0,42,3,1,0,58,1,2024-08-23,21-236,us USA,Gladbach,,Leverkusen,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,50,84.0,0,2,0,0,1,606,175,20,21,95.2,18,22,81.8,1,4,25.0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,58,3,22,27,9,0,58,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,3,1,0,0,0,0,1,DF,Match Report
2,Tim Kleindienst,4,10,2,0,0,28,1,2024-08-23,28-358,de GER,Gladbach,,Leverkusen,de Bundesliga,L 2-3,Y,89,1,0,1,1,0,0,0,4,0.25,0.5,2,50.0,13.8,0,10,16,62.5,0,0,0,0,0,121,4,8,12,66.7,2,2,100.0,0,1,0.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,28,0,1,14,13,5,28,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,0,0,0,4,1,FW,Match Report
3,Tomáš Čvančara,0,3,2,1,0,5,0,2024-08-23,24-010,cz CZE,Gladbach,,Leverkusen,de Bundesliga,L 2-3,N,20,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,1,0,1,1,1,49,12,0,0,,2,2,100.0,0,0,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,5,1,1,0,4,0,5,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,FW,Match Report
4,Julian Weigl,1,39,4,0,0,63,1,2024-08-23,28-350,de GER,Gladbach,,Leverkusen,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.0,0,39,47,83.0,2,4,1,0,3,660,141,16,19,84.2,16,17,94.1,4,5,80.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,63,8,24,29,10,0,63,1,0,0,0,1,1,1,100.0,0,1,1,0,5,6,5,0,0,0,0,0,1,MF,Match Report
5,Nico Elvedi,2,50,2,1,0,68,2,2024-08-23,27-328,ch SUI,Gladbach,,Leverkusen,de Bundesliga,L 2-3,Y,90,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,5.6,0,50,57,87.7,1,2,1,0,1,728,242,26,26,100.0,22,25,88.0,0,4,0.0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,68,16,36,26,6,2,68,2,1,0,0,2,1,1,100.0,0,2,2,0,1,3,4,0,0,0,0,1,0,DF,Match Report
6,Fabio Chiarodia,0,0,0,0,0,1,1,2024-08-23,19-079,it ITA,Gladbach,,Leverkusen,de Bundesliga,L 2-3,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,DF,Match Report
7,Stefan Lainer,0,0,0,0,1,1,0,2024-08-23,31-362,at AUT,Gladbach,,Leverkusen,de Bundesliga,L 2-3,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,DF,Match Report
8,Philipp Sander,0,1,0,0,0,9,1,2024-08-23,26-184,de GER,Gladbach,,Leverkusen,de Bundesliga,L 2-3,N,20,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,1,0,0,1,18,3,0,0,,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,2,3,0,9,1,0,0,0,1,0,0,,0,1,0,1,1,2,1,0,0,0,0,1,0,MF,Match Report
9,Ko Itakura,0,44,1,0,0,69,2,2024-08-23,27-209,jp JPN,Gladbach,,Leverkusen,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,55,80.0,1,1,0,0,1,649,169,23,26,88.5,20,24,83.3,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,16,38,27,4,2,69,2,1,1,1,0,2,3,66.7,1,1,1,0,0,2,7,0,0,0,0,1,0,DF,Match Report
10,Alassane Pléa,0,20,2,0,0,29,0,2024-08-23,31-166,fr FRA,Gladbach,,Leverkusen,de Bundesliga,L 2-3,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,20,25,80.0,0,1,2,1,1,281,66,16,17,94.1,3,5,60.0,1,2,50.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0,1,16,12,1,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2,"MF,FW",Match Report
