Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Timon Weiner,0,30,0,0,1,44,0,2024-08-24,25-219,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,40,75.0,0,2,0,0,0,838,705,10,10,100.0,10,10,100.0,10,20,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,44,0,0,0,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,GK,Match Report
2,Lewis Holtby,1,37,4,0,0,59,1,2024-08-24,33-341,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,81,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.1,0,37,47,78.7,4,1,1,1,2,603,290,21,21,100.0,12,15,80.0,3,7,42.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,59,7,24,19,16,3,59,1,1,1,0,0,0,1,0.0,1,1,0,1,2,3,4,0,0,0,0,0,1,MF,Match Report
3,Timo Becker,3,25,3,1,0,44,1,2024-08-24,27-152,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,10.9,0,25,30,83.3,0,0,0,0,1,366,101,13,14,92.9,12,12,100.0,0,1,0.0,3,1,0,0,2,0,0,1,1,0,0,0,0,0,44,5,20,18,6,4,44,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,4,0,0,0,0,0,0,DF,Match Report
4,Andu Kelati,1,16,2,0,2,22,1,2024-08-24,22-011,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,N,36,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.4,0,16,18,88.9,1,4,2,2,4,412,137,2,3,66.7,10,11,90.9,4,4,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22,1,5,11,6,2,22,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,2,1,1,4,1,"MF,DF",Match Report
5,Nicolai Remberg,0,7,2,1,0,10,1,2024-08-24,24-066,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,N,12,0,1,1,0,0,0,0,0,,,0,,,0,7,7,100.0,1,1,0,0,1,150,80,3,3,100.0,1,1,100.0,2,2,100.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,10,1,5,5,0,0,10,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,1,MF,Match Report
6,Marvin Schulz,0,9,1,0,0,14,0,2024-08-24,29-222,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,N,9,0,0,0,0,0,0,0,0,,,0,,,0,9,11,81.8,1,0,0,0,1,158,43,3,3,100.0,4,4,100.0,1,3,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,2,8,4,2,0,14,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,"MF,DF",Match Report
7,Shuto Machino,4,15,3,1,0,48,0,2024-08-24,24-329,jp JPN,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,90,1,0,1,1,0,0,0,4,0.25,0.5,2,50.0,18.5,0,15,35,42.9,0,1,1,0,2,257,69,8,12,66.7,5,10,50.0,2,11,18.2,3,3,0,0,0,0,0,1,1,0,0,0,0,0,48,3,6,19,23,3,48,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,2,0,"FW,MF",Match Report
8,Marko Ivezić,0,33,0,0,0,47,2,2024-08-24,22-266,rs SRB,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,37,89.2,0,1,0,0,2,658,187,10,10,100.0,17,20,85.0,5,6,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,23,22,3,2,47,2,1,1,1,0,1,2,50.0,1,0,0,0,3,5,2,0,0,0,0,0,0,DF,Match Report
9,Magnus Knudsen,3,36,4,0,0,46,2,2024-08-24,23-070,no NOR,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,78,0,0,0,0,0,0,0,3,0.0,,0,0.0,21.8,0,36,37,97.3,0,2,0,0,5,662,224,11,11,100.0,22,22,100.0,1,2,50.0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,46,2,13,27,6,1,46,2,1,0,0,2,1,1,100.0,0,2,1,1,1,3,2,0,0,0,0,2,0,MF,Match Report
10,Finn Porath,0,13,4,1,0,30,3,2024-08-24,27-183,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,N,45,0,1,1,0,0,0,0,0,,,0,,,0,13,23,56.5,3,3,2,2,2,331,180,1,1,100.0,8,10,80.0,4,10,40.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,30,2,15,9,6,3,30,3,1,2,0,1,1,2,50.0,1,2,0,2,0,3,2,0,0,0,0,0,1,"DF,MF",Match Report
11,Benedikt Pichler,1,9,3,0,0,23,0,2024-08-24,27-035,at AUT,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,53,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.4,0,9,16,56.3,0,2,0,0,5,155,74,4,8,50.0,4,6,66.7,1,1,100.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,23,1,3,14,6,1,23,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,FW,Match Report
12,Jann-Fiete Arp,0,2,0,0,0,12,2,2024-08-24,24-231,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,N,37,0,0,0,0,0,0,0,0,,,0,,,0,2,6,33.3,0,0,0,0,0,31,17,1,2,50.0,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,2,7,0,12,2,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,"FW,MF",Match Report
13,Tymoteusz Puchacz,0,14,2,0,0,26,1,2024-08-24,25-214,pl POL,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,14,21,66.7,1,0,1,1,1,205,124,8,8,100.0,5,6,83.3,0,6,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,26,1,6,10,10,0,26,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0,0,0,0,0,2,DF,Match Report
14,Alexander Bernhardsson,2,16,1,0,0,34,0,2024-08-24,25-351,se SWE,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,9.2,0,16,23,69.6,1,1,1,0,2,234,94,9,11,81.8,7,11,63.6,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,12,15,10,3,34,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,0,0,0,1,0,"FW,MF",Match Report
15,Patrick Erras,1,50,1,0,0,64,0,2024-08-24,29-216,de GER,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.2,0,50,53,94.3,1,0,0,0,0,714,298,30,32,93.8,16,16,100.0,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,20,42,17,5,3,64,0,0,0,0,0,0,0,,0,3,2,1,1,1,6,0,0,0,0,3,0,DF,Match Report
16,Marco Komenda,1,13,2,0,0,31,1,2024-08-24,27-272,hr CRO,Holstein Kiel,@,Hoffenheim,de Bundesliga,L 2-3,Y,45,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.2,0,13,24,54.2,1,3,0,0,0,246,159,5,8,62.5,6,11,54.5,2,4,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,31,5,12,14,5,1,31,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,3,0,0,0,0,0,1,DF,Match Report
17,Carl Johansson,0,64,1,0,0,92,0,2024-08-31,30-100,se SWE,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,64,78,82.1,1,1,0,0,5,1040,355,28,31,90.3,33,39,84.6,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92,13,58,31,4,4,92,0,0,0,0,0,0,0,,0,2,2,0,3,3,6,0,0,0,0,1,0,DF,Match Report
18,Max Geschwill,0,25,1,0,1,39,0,2024-08-31,23-055,de GER,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,N,45,0,0,0,0,0,0,0,0,,,0,,,0,25,35,71.4,1,2,1,1,2,456,185,10,12,83.3,14,15,93.3,1,7,14.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,4,17,19,3,0,39,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,1,0,0,1,0,DF,Match Report
19,Lasse Rosenboom,0,4,0,0,0,10,2,2024-08-31,22-225,de GER,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,N,5,0,0,0,0,0,0,0,0,,,0,,,0,4,8,50.0,0,0,0,0,0,52,6,3,5,60.0,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,7,3,0,0,10,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0,0,0,0,0,0,DF,Match Report
20,Timon Weiner,0,21,2,0,0,31,0,2024-08-31,25-226,de GER,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,21,27,77.8,0,1,0,0,0,518,396,9,9,100.0,6,6,100.0,6,12,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,31,27,31,0,0,0,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
21,Lewis Holtby,0,36,0,0,0,53,5,2024-08-31,33-348,de GER,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,Y,85,0,0,0,0,0,0,0,0,,,0,,,0,36,40,90.0,0,2,0,0,3,513,174,22,24,91.7,10,11,90.9,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,23,26,5,0,53,5,1,3,1,1,2,2,100.0,0,1,0,1,3,8,1,0,0,0,0,1,3,MF,Match Report
22,Timo Becker,1,26,0,0,0,44,1,2024-08-31,27-159,de GER,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.9,0,26,32,81.3,0,1,0,0,1,403,113,12,13,92.3,10,11,90.9,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,20,20,5,1,44,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,2,DF,Match Report
23,Nicolai Remberg,0,5,0,0,0,14,2,2024-08-31,24-073,de GER,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,N,16,0,0,0,0,0,0,0,0,,,0,,,0,5,7,71.4,0,0,0,0,0,94,43,1,2,50.0,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,10,0,0,14,2,1,2,0,0,0,0,,0,0,0,0,0,2,2,0,0,0,0,1,1,MF,Match Report
24,Shuto Machino,2,27,4,0,0,40,0,2024-08-31,24-336,jp JPN,Holstein Kiel,,Wolfsburg,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,13.7,0,27,31,87.1,3,1,1,0,4,482,188,11,12,91.7,12,12,100.0,3,5,60.0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,40,0,10,18,12,3,40,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,"FW,MF",Match Report
