Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Anthony Caci,0,29,2,0,0,51,1,2024-08-24,27-054,fr FRA,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,29,44,65.9,1,4,1,0,3,545,191,16,18,88.9,8,13,61.5,5,9,55.6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,51,2,9,27,16,0,51,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,3,0,0,0,0,1,2,DF,Match Report
2,Jonathan Burkardt,3,12,5,0,0,32,0,2024-08-24,24-044,de GER,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,11.3,0,12,19,63.2,1,1,1,0,2,181,32,7,10,70.0,4,5,80.0,1,3,33.3,5,3,0,0,1,1,0,0,0,0,0,0,0,0,32,2,3,13,16,7,32,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,0,0,0,2,2,FW,Match Report
3,Dominik Kohr,0,40,1,0,1,71,7,2024-08-24,30-206,de GER,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,40,60,66.7,0,3,0,0,5,784,454,14,19,73.7,21,25,84.0,4,13,30.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,71,4,33,35,4,0,71,7,5,6,0,1,6,6,100.0,0,1,1,0,1,8,5,0,1,0,0,1,2,"DF,MF",Match Report
4,Paul Nebel,0,3,0,0,0,4,0,2024-08-24,21-319,de GER,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,N,6,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,43,0,3,3,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
5,Armindo Sieb,2,1,1,0,0,5,0,2024-08-24,21-189,de GER,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,N,15,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.4,0,1,1,100.0,0,1,0,0,0,8,7,1,1,100.0,0,0,,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,2,2,2,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
6,Nelson Weiper,0,0,0,0,0,3,0,2024-08-24,19-160,de GER,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
7,Andreas Hanche-Olsen,0,37,0,0,0,54,2,2024-08-24,27-220,no NOR,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,42,88.1,0,1,0,0,0,740,216,11,11,100.0,22,26,84.6,4,5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,34,20,0,0,54,2,1,1,1,0,0,0,,0,0,0,0,2,4,8,0,0,0,0,1,1,DF,Match Report
8,Phillipp Mwene,1,35,3,0,0,50,1,2024-08-24,30-208,at AUT,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.4,0,35,44,79.5,2,3,3,2,1,591,207,15,15,100.0,13,16,81.3,5,8,62.5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,50,3,11,20,20,1,50,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,0,DF,Match Report
9,Lee Jae-sung,1,22,4,0,0,39,1,2024-08-24,32-014,kr KOR,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.6,0,22,29,75.9,2,1,2,0,3,257,101,16,18,88.9,3,5,60.0,1,1,100.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,39,1,9,13,17,2,39,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,0,0,0,0,0,MF,Match Report
10,Nadiem Amiri,1,47,4,0,0,63,0,2024-08-24,27-302,de GER,Mainz 05,,Union Berlin,de Bundesliga,D 1-1,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,29.0,1,47,59,79.7,2,7,3,0,6,1010,375,15,17,88.2,20,22,90.9,11,17,64.7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,63,3,17,32,14,0,63,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,0,0,0,1,2,MF,Match Report
