Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Philipp Treu,1,52,1,0,0,77,3,2024-08-25,23-266,de GER,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.4,0,52,63,82.5,0,6,0,0,5,846,328,31,35,88.6,16,21,76.2,5,6,83.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,2,13,44,21,1,77,3,1,2,0,1,0,1,0.0,1,3,0,3,0,3,2,0,0,0,0,1,1,"MF,DF",Match Report
2,Manolis Saliakas,0,10,0,0,0,14,1,2024-08-25,27-348,gr GRE,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,N,15,0,0,0,0,0,0,0,0,,,0,,,0,10,13,76.9,0,0,0,0,1,212,55,3,4,75.0,7,8,87.5,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,5,5,0,14,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,1,0,"MF,DF",Match Report
3,Carlo Boukhalfa,0,3,0,0,0,8,0,2024-08-25,25-114,ma MAR,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,N,15,0,0,0,0,0,0,0,0,,,0,,,0,3,7,42.9,0,1,0,0,0,34,6,2,3,66.7,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,4,1,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
4,Lars Ritzka,2,29,2,0,0,52,8,2024-08-25,26-110,de GER,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,75,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.6,0,29,39,74.4,1,3,0,0,2,478,149,15,17,88.2,14,16,87.5,0,4,0.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,52,0,7,28,17,1,52,8,5,1,4,3,3,6,50.0,3,3,0,3,0,8,1,0,0,0,0,0,2,"DF,MF",Match Report
5,Jackson Irvine,0,26,2,0,1,51,2,2024-08-25,31-171,au AUS,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,40,65.0,0,3,0,0,6,402,144,15,20,75.0,9,12,75.0,2,4,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,51,0,6,34,11,3,51,2,0,1,1,0,2,3,66.7,1,1,0,1,3,5,0,0,1,0,0,1,1,MF,Match Report
6,Oladapo Afolayan,0,4,0,0,0,7,0,2024-08-25,26-195,eng ENG,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,N,15,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,1,0,0,1,76,10,2,2,100.0,1,1,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
7,Connor Metcalfe,3,18,2,0,0,33,1,2024-08-25,24-294,au AUS,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,83,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,21.6,0,18,21,85.7,0,4,0,0,3,260,126,10,10,100.0,7,8,87.5,1,2,50.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,33,2,7,16,11,1,33,1,0,0,1,0,0,0,,0,1,0,1,1,2,1,0,0,0,0,2,1,"MF,FW",Match Report
8,Elias Saad,0,4,0,0,0,6,1,2024-08-25,24-242,tn TUN,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,N,7,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,0,0,0,1,86,10,1,1,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,6,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
9,Morgan Guilavogui,3,31,5,0,0,52,0,2024-08-25,26-168,gn GUI,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,75,0,0,0,0,0,0,0,3,0.0,,0,0.0,16.0,0,31,42,73.8,3,2,1,1,1,426,63,22,28,78.6,7,10,70.0,2,3,66.7,5,4,0,1,0,0,0,0,0,0,0,0,0,0,52,0,0,30,22,3,52,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,2,"FW,MF",Match Report
10,Eric Smith,1,65,3,0,0,85,0,2024-08-25,27-230,se SWE,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.7,1,65,80,81.3,2,5,0,0,1,1422,543,10,11,90.9,47,50,94.0,8,19,42.1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,85,3,38,38,9,0,85,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,"DF,MF",Match Report
11,Johannes Eggestein,0,28,4,0,0,46,0,2024-08-25,26-109,de GER,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,38,73.7,2,3,3,1,4,504,128,12,17,70.6,12,12,100.0,3,5,60.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,30,15,2,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,FW,Match Report
12,Robert Wagner,0,23,0,0,1,41,3,2024-08-25,21-042,de GER,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,75,0,0,0,0,0,0,0,0,,,0,,,0,23,32,71.9,0,1,0,0,4,370,108,10,12,83.3,13,19,68.4,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,28,12,1,41,3,1,0,3,0,2,3,66.7,1,3,0,3,0,3,0,0,1,0,0,1,2,MF,Match Report
13,Karol Mets,0,75,0,0,0,104,3,2024-08-25,31-101,ee EST,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,75,90,83.3,0,3,0,0,4,1618,661,19,21,90.5,43,45,95.6,13,24,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,17,57,46,2,0,104,3,2,2,1,0,1,1,100.0,0,0,0,0,2,5,8,0,0,0,0,0,1,DF,Match Report
14,Nikola Vasilj,0,42,0,0,0,49,0,2024-08-25,28-267,ba BIH,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,49,85.7,0,1,0,0,0,987,625,6,6,100.0,30,31,96.8,6,12,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,28,49,0,0,0,49,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
15,Hauke Wahl,1,58,1,0,0,85,2,2024-08-25,30-132,de GER,St. Pauli,,Heidenheim,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.3,0,58,75,77.3,0,4,0,0,4,1024,319,21,26,80.8,32,39,82.1,4,8,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,85,10,35,44,7,3,85,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,3,0,0,0,0,0,1,DF,Match Report
16,Philipp Treu,0,53,0,0,0,70,1,2024-08-30,23-271,de GER,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,53,61,86.9,0,3,1,1,7,898,248,23,25,92.0,27,30,90.0,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,14,39,17,0,70,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,3,0,0,0,0,0,1,"MF,DF",Match Report
17,Carlo Boukhalfa,0,1,0,0,0,5,0,2024-08-30,25-119,ma MAR,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,7,0,1,2,50.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,3,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
18,Lars Ritzka,0,33,1,0,0,52,0,2024-08-30,26-115,de GER,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,82,0,0,0,0,0,0,0,0,,,0,,,0,33,46,71.7,1,2,0,0,1,496,155,18,22,81.8,14,19,73.7,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,13,28,11,2,52,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,2,0,0,0,0,0,0,"DF,MF",Match Report
19,Jackson Irvine,0,45,3,0,0,73,4,2024-08-30,31-176,au AUS,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,63,71.4,2,2,3,0,7,732,240,27,35,77.1,14,19,73.7,4,6,66.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,73,2,22,43,11,0,73,4,3,1,2,1,0,2,0.0,2,0,0,0,1,5,4,0,0,0,0,3,1,MF,Match Report
20,Oladapo Afolayan,2,5,2,0,0,21,0,2024-08-30,26-200,eng ENG,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,N,29,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,21.4,0,5,11,45.5,0,1,0,0,1,138,40,1,4,25.0,2,4,50.0,2,2,100.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,21,1,1,8,12,3,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
21,Connor Metcalfe,0,33,3,0,0,58,0,2024-08-30,24-299,au AUS,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,51,64.7,2,1,0,0,3,601,219,16,22,72.7,13,14,92.9,4,12,33.3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,58,2,12,27,21,0,58,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,0,0,0,1,2,"MF,FW",Match Report
22,Adam Dźwigała,2,40,0,0,0,55,1,2024-08-30,28-340,pl POL,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,N,51,0,0,0,0,0,0,0,2,0.0,,0,0.0,9.8,0,40,52,76.9,0,2,1,0,2,732,319,9,14,64.3,28,29,96.6,2,8,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,18,32,5,2,55,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"DF,MF",Match Report
23,Elias Saad,2,10,2,0,0,19,0,2024-08-30,24-247,tn TUN,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,N,30,0,0,0,0,0,0,0,2,0.0,,0,0.0,23.4,0,10,12,83.3,1,2,1,0,3,146,31,7,8,87.5,1,1,100.0,1,1,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,19,0,1,6,12,1,19,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,1,"FW,MF",Match Report
24,Morgan Guilavogui,0,8,1,0,1,24,0,2024-08-30,26-173,gn GUI,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,61,0,0,0,0,0,0,0,0,,,0,,,0,8,19,42.1,0,2,0,0,1,110,28,4,9,44.4,2,4,50.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,13,10,3,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,2,0,"FW,MF",Match Report
25,Eric Smith,0,38,1,0,0,52,2,2024-08-30,27-235,se SWE,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,39,0,0,0,0,0,0,0,0,,,0,,,0,38,47,80.9,0,2,0,0,2,878,343,11,11,100.0,15,18,83.3,12,18,66.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,52,2,18,32,2,0,52,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,1,0,0,0,0,1,"DF,MF",Match Report
26,Andreas Albers,0,3,1,0,0,6,0,2024-08-30,34-160,dk DEN,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,3,6,50.0,1,0,0,0,1,60,18,2,3,66.7,0,0,,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,1,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
27,Johannes Eggestein,2,18,2,0,0,32,0,2024-08-30,26-114,de GER,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,82,0,0,0,0,0,0,0,2,0.0,,0,0.0,9.5,0,18,25,72.0,0,2,1,0,4,238,62,9,13,69.2,6,7,85.7,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,17,14,2,32,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,FW,Match Report
28,Robert Wagner,0,18,0,0,0,31,3,2024-08-30,21-047,de GER,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,60,0,0,0,0,0,0,0,0,,,0,,,0,18,23,78.3,0,1,0,0,1,271,69,10,11,90.9,5,7,71.4,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5,25,1,0,31,3,1,1,2,0,0,2,0.0,2,1,0,1,0,3,0,0,0,0,0,2,1,MF,Match Report
29,Karol Mets,0,82,0,0,0,98,1,2024-08-30,31-106,ee EST,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,82,92,89.1,0,5,0,0,8,1527,488,26,28,92.9,50,55,90.9,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7,43,50,5,1,98,1,0,1,0,0,0,0,,0,1,0,1,0,1,3,0,0,0,0,2,0,DF,Match Report
30,Nikola Vasilj,0,36,0,0,0,47,0,2024-08-30,28-272,ba BIH,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,46,78.3,0,0,0,0,0,784,532,9,9,100.0,22,22,100.0,5,15,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,45,2,0,0,47,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
31,Hauke Wahl,0,82,0,0,0,96,1,2024-08-30,30-137,de GER,St. Pauli,@,Union Berlin,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,82,90,91.1,0,5,0,0,5,1476,444,28,30,93.3,49,50,98.0,4,9,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,7,43,53,1,0,96,1,1,0,1,0,0,0,,0,0,0,0,2,3,3,0,0,0,0,0,1,DF,Match Report
32,Philipp Treu,2,41,2,1,0,61,1,2024-09-15,23-287,de GER,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.6,0,41,51,80.4,0,2,0,0,3,606,131,21,21,100.0,17,20,85.0,1,5,20.0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,61,1,11,33,20,3,61,1,0,1,0,0,0,1,0.0,1,4,0,4,0,1,1,0,0,0,0,2,1,"MF,DF",Match Report
33,Manolis Saliakas,1,26,3,0,0,43,1,2024-09-15,28-003,gr GRE,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,N,45,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.1,0,26,40,65.0,0,2,1,0,4,501,159,8,9,88.9,16,20,80.0,2,9,22.2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,43,0,7,23,13,1,43,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,"MF,DF",Match Report
34,Carlo Boukhalfa,2,21,2,0,0,40,0,2024-09-15,25-135,ma MAR,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,88,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,13.5,0,21,30,70.0,1,1,0,0,2,224,92,19,20,95.0,2,5,40.0,0,2,0.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,40,0,6,19,15,5,40,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,0,0,0,0,1,MF,Match Report
35,Lars Ritzka,0,9,0,0,1,18,2,2024-09-15,26-131,de GER,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,9,14,64.3,0,0,1,0,1,124,22,5,7,71.4,4,5,80.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,7,7,4,0,18,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,2,0,1,0,0,2,0,"DF,MF",Match Report
36,Jackson Irvine,0,24,2,0,0,48,1,2024-09-15,31-192,au AUS,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,32,75.0,1,4,1,0,4,315,121,14,16,87.5,8,13,61.5,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,48,4,7,33,8,1,48,1,0,0,1,0,0,3,0.0,3,0,0,0,2,3,5,0,0,0,0,0,0,MF,Match Report
37,Oladapo Afolayan,2,11,0,0,0,25,1,2024-09-15,26-216,eng ENG,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,N,57,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,18.0,0,11,15,73.3,0,0,0,0,0,148,15,7,7,100.0,2,6,33.3,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,6,19,3,25,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,0,1,"FW,MF",Match Report
38,Adam Dźwigała,0,2,1,0,0,2,0,2024-09-15,28-356,pl POL,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,N,2,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,22,1,2,2,100.0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,MF",Match Report
39,Elias Saad,1,7,2,1,0,17,0,2024-09-15,24-263,tn TUN,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,N,45,0,1,1,0,0,0,0,1,0.0,0.0,1,100.0,19.0,0,7,12,58.3,2,0,1,1,2,118,36,4,4,100.0,2,4,50.0,1,2,50.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,17,0,0,6,12,5,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
40,Morgan Guilavogui,1,1,2,0,1,4,1,2024-09-15,26-189,gn GUI,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,33,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.0,0,1,1,100.0,1,0,0,0,0,7,1,1,1,100.0,0,0,,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,3,1,4,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,1,2,"FW,MF",Match Report
41,Eric Smith,1,59,3,0,0,84,1,2024-09-15,27-251,se SWE,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,36.0,0,59,71,83.1,2,6,0,0,10,1545,641,11,14,78.6,29,31,93.5,19,25,76.0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,84,9,29,43,12,0,84,1,1,1,0,0,0,0,,0,3,3,0,4,5,3,0,0,0,0,0,0,"DF,MF",Match Report
42,Andreas Albers,1,2,1,0,0,7,0,2024-09-15,34-176,dk DEN,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,N,7,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.1,0,2,5,40.0,1,0,0,0,0,14,0,2,4,50.0,0,1,0.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,6,3,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
43,Johannes Eggestein,0,10,0,0,0,23,0,2024-09-15,26-130,de GER,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,83,0,0,0,0,0,0,0,0,,,0,,,0,10,16,62.5,0,1,0,0,0,150,16,5,5,100.0,5,9,55.6,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,16,8,2,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,FW,Match Report
44,Robert Wagner,0,10,0,0,0,19,0,2024-09-15,21-063,de GER,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,10,14,71.4,0,0,0,0,0,175,52,6,7,85.7,1,1,100.0,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,6,12,1,0,19,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,0,0,0,0,0,MF,Match Report
45,Karol Mets,0,62,0,0,1,84,0,2024-09-15,31-122,ee EST,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,62,73,84.9,0,5,0,0,6,1129,378,21,27,77.8,36,39,92.3,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,14,41,43,1,1,84,0,0,0,0,0,0,0,,0,1,0,1,1,1,8,0,1,0,0,2,2,DF,Match Report
46,Nikola Vasilj,0,33,0,0,0,48,0,2024-09-15,28-288,ba BIH,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,44,75.0,0,1,0,0,0,840,605,6,6,100.0,18,18,100.0,9,20,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,48,0,0,0,48,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
47,Hauke Wahl,0,47,2,0,0,67,1,2024-09-15,30-153,de GER,St. Pauli,@,Augsburg,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,58,81.0,0,4,0,0,3,860,333,13,15,86.7,26,32,81.3,6,9,66.7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,67,10,31,32,4,2,67,1,0,0,1,0,0,0,,0,0,0,0,0,1,6,0,0,0,0,0,2,DF,Match Report
48,Philipp Treu,0,27,2,0,1,40,2,2024-09-22,23-294,de GER,St. Pauli,,RB Leipzig,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,34,79.4,2,1,0,0,2,460,209,14,17,82.4,11,13,84.6,2,4,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,13,13,16,2,40,2,2,1,1,0,2,4,50.0,2,0,0,0,0,2,0,0,1,0,0,1,1,"MF,DF",Match Report
