Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,András Schäfer,2,23,1,0,0,41,2,2024-08-24,25-133,hu HUN,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,71,0,0,0,0,0,0,0,2,0.0,,0,0.0,24.6,0,23,30,76.7,0,3,2,0,5,300,86,16,18,88.9,7,9,77.8,0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41,1,5,23,14,1,41,2,1,0,1,1,1,1,100.0,0,1,0,1,0,2,0,0,0,0,0,1,1,MF,Match Report
2,Christopher Trimmel,1,21,2,0,0,42,1,2024-08-24,37-182,at AUT,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.2,0,21,37,56.8,1,3,1,0,2,399,186,7,8,87.5,12,18,66.7,1,10,10.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,42,3,10,14,18,0,42,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,1,0,"DF,MF",Match Report
3,Kevin Vogt,0,34,1,0,0,49,1,2024-08-24,32-336,de GER,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,82,0,0,0,0,0,0,0,0,,,0,,,0,34,43,79.1,0,3,0,0,3,603,209,10,12,83.3,23,24,95.8,0,5,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,5,27,22,0,0,49,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,0,0,0,0,0,DF,Match Report
4,Benedict Hollerbach,2,11,0,0,0,23,0,2024-08-24,23-099,de GER,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,71,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,15.6,0,11,15,73.3,0,1,1,0,1,191,34,6,8,75.0,3,3,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,7,15,4,23,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,1,1,"FW,MF",Match Report
5,Robin Gosens,1,23,5,1,1,51,0,2024-08-24,30-050,de GER,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.6,0,23,42,54.8,1,3,2,0,4,381,218,13,17,76.5,9,20,45.0,1,4,25.0,5,3,0,0,1,0,1,1,1,0,0,0,0,0,51,1,12,20,19,1,51,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,2,0,1,0,0,5,0,DF,Match Report
6,Rani Khedira,0,19,3,0,0,29,1,2024-08-24,30-210,de GER,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,26,73.1,2,4,1,0,2,352,157,7,9,77.8,8,9,88.9,3,4,75.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,29,1,5,17,7,2,29,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,0,0,0,2,0,MF,Match Report
7,Tim Skarke,1,6,3,1,0,8,0,2024-08-24,27-352,de GER,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,N,19,0,1,1,0,0,0,0,1,0.0,,0,0.0,24.9,0,6,7,85.7,2,0,2,1,1,96,48,3,3,100.0,3,4,75.0,0,0,,3,3,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,8,1,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
8,Janik Haberer,0,5,2,0,0,9,1,2024-08-24,30-144,de GER,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,N,19,0,0,0,0,0,0,0,0,,,0,,,0,5,9,55.6,0,1,0,0,2,76,39,1,1,100.0,4,5,80.0,0,3,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,7,0,9,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,DF",Match Report
9,Lucas Tousart,0,9,1,0,1,23,1,2024-08-24,27-117,fr FRA,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,64,0,0,0,0,0,0,0,0,,,0,,,0,9,16,56.3,0,0,0,0,1,188,59,4,7,57.1,3,6,50.0,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,8,11,5,2,23,1,1,0,1,0,0,1,0.0,1,2,1,1,0,1,1,0,1,0,0,1,0,MF,Match Report
10,Leopold Querfeld,0,4,1,0,0,8,0,2024-08-24,20-248,at AUT,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,1,0,0,0,0,61,25,2,2,100.0,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,2,2,0,8,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,DF,Match Report
11,Frederik Rønnow,0,26,0,0,0,39,0,2024-08-24,32-020,dk DEN,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,35,74.3,0,3,0,0,0,1102,1015,3,3,100.0,5,5,100.0,18,27,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,38,1,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,GK,Match Report
12,Jordan Pefok,2,7,3,0,0,25,1,2024-08-24,28-120,us USA,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,9.4,0,7,11,63.6,2,0,1,0,1,121,21,2,3,66.7,3,4,75.0,1,1,100.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,25,3,3,10,12,5,25,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,2,0,FW,Match Report
13,Diogo Leite,1,29,0,0,0,57,4,2024-08-24,25-214,pt POR,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.8,0,29,46,63.0,0,3,1,0,4,585,221,13,15,86.7,11,18,61.1,5,12,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,24,28,8,0,57,4,2,3,1,0,3,3,100.0,0,0,0,0,1,5,1,0,0,0,0,0,3,DF,Match Report
14,Yorbe Vertessen,1,3,1,0,0,13,0,2024-08-24,23-229,be BEL,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,N,26,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.3,0,3,4,75.0,0,1,0,0,1,80,35,1,2,50.0,0,0,,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,3,8,3,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,"MF,FW",Match Report
15,Danilho Doekhi,1,21,0,0,1,40,1,2024-08-24,26-055,nl NED,Union Berlin,@,Mainz 05,de Bundesliga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.5,0,21,28,75.0,0,2,0,0,1,397,89,8,10,80.0,12,14,85.7,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,24,12,4,3,40,1,1,1,0,0,1,2,50.0,1,4,2,2,1,2,1,0,1,0,0,1,1,DF,Match Report
