Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Sebastiaan Bornauw,0,11,0,0,0,19,0,2024-08-25,25-156,be BEL,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,15,73.3,0,1,0,0,2,178,55,6,7,85.7,4,7,57.1,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,10,10,0,0,19,0,0,0,0,0,0,0,,0,2,2,0,0,0,2,0,0,0,0,1,0,DF,Match Report
2,Jakub Kamiński,1,22,3,0,0,44,5,2024-08-25,22-081,pl POL,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,20.9,0,22,29,75.9,2,1,1,0,1,330,91,12,15,80.0,6,8,75.0,3,5,60.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,44,3,14,16,17,1,44,5,3,2,2,1,3,4,75.0,1,2,2,0,3,8,1,0,0,0,0,1,0,"DF,MF",Match Report
3,Jonas Wind,0,0,0,0,0,2,0,2024-08-25,25-200,dk DEN,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,N,5,0,0,0,0,0,0,0,0,,,0,,,0,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
4,Cedric Zesiger,0,29,0,0,1,53,2,2024-08-25,26-062,ch SUI,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,39,74.4,0,3,1,1,2,486,137,12,13,92.3,14,17,82.4,2,8,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,18,33,18,2,0,53,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,9,0,1,0,0,2,0,DF,Match Report
5,Kevin Behrens,1,5,0,0,0,11,1,2024-08-25,33-204,de GER,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,N,20,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.9,0,5,7,71.4,0,0,0,0,0,75,22,2,4,50.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,6,2,11,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
6,Ridle Baku,1,25,4,1,0,46,2,2024-08-25,26-139,de GER,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,19.6,0,25,36,69.4,1,3,4,1,4,375,175,16,17,94.1,7,10,70.0,1,2,50.0,4,3,0,0,0,0,1,1,1,0,0,0,0,0,46,1,8,23,16,3,46,2,1,0,1,1,0,1,0.0,1,3,0,3,2,4,1,0,0,0,0,1,0,"FW,MF",Match Report
7,Kamil Grabara,0,23,1,0,0,46,0,2024-08-25,25-230,pl POL,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,42,54.8,1,3,0,0,0,914,761,2,2,100.0,6,6,100.0,14,33,42.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46,27,44,2,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
8,Yannick Gerhardt,1,3,0,0,0,11,1,2024-08-25,30-165,de GER,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,N,13,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.0,0,3,6,50.0,0,0,0,0,0,52,11,1,2,50.0,2,4,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,5,1,11,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0,0,0,0,0,0,"MF,DF",Match Report
9,Kilian Fischer,0,15,0,0,0,40,2,2024-08-25,23-318,de GER,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,15,28,53.6,0,1,0,0,2,227,155,7,9,77.8,7,11,63.6,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,16,17,8,1,40,2,1,2,0,0,2,5,40.0,3,2,0,2,2,4,2,0,0,0,0,1,0,DF,Match Report
10,Maximilian Arnold,1,23,3,0,0,38,2,2024-08-25,30-090,de GER,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.6,0,23,31,74.2,1,5,0,0,7,442,165,11,12,91.7,7,8,87.5,4,9,44.4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,38,2,5,25,8,1,38,2,2,0,1,1,2,4,50.0,2,0,0,0,1,3,2,0,0,0,0,1,3,MF,Match Report
11,Mattias Svanberg,2,8,0,0,1,16,1,2024-08-25,25-233,se SWE,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,85,0,0,0,0,0,0,0,2,0.0,,0,0.0,10.7,0,8,9,88.9,0,1,0,0,1,115,51,5,5,100.0,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,5,6,3,16,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,1,0,0,0,3,MF,Match Report
12,Tiago Tomás,0,9,4,1,0,28,4,2024-08-25,22-070,pt POR,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,9,13,69.2,1,1,0,0,0,129,33,6,6,100.0,1,3,33.3,1,1,100.0,4,3,0,0,0,1,0,1,0,0,0,0,1,0,28,0,8,12,9,0,28,4,3,4,0,0,3,9,33.3,6,1,0,1,3,7,3,0,0,0,0,1,3,"FW,MF",Match Report
13,Patrick Wimmer,0,6,1,1,0,18,1,2024-08-25,23-087,at AUT,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,70,0,1,1,0,0,0,0,0,,,0,,,0,6,13,46.2,1,0,0,0,1,84,22,3,4,75.0,2,6,33.3,0,1,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,18,0,4,12,4,1,18,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,0,0,0,0,0,1,1,"MF,FW",Match Report
14,Lovro Majer,2,9,2,0,0,23,0,2024-08-25,26-221,hr CRO,Wolfsburg,,Bayern Munich,de Bundesliga,L 2-3,Y,77,2,0,2,1,1,1,0,2,0.5,1.0,1,50.0,21.5,0,9,13,69.2,0,1,0,0,1,152,86,5,5,100.0,2,2,100.0,1,2,50.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,23,0,8,9,6,3,22,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,0,0,0,3,1,MF,Match Report
15,Sebastiaan Bornauw,2,18,0,0,0,36,1,2024-08-31,25-162,be BEL,Wolfsburg,@,Holstein Kiel,de Bundesliga,W 2-0,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,9.8,0,18,26,69.2,0,0,0,0,1,397,104,3,4,75.0,12,15,80.0,3,7,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,13,17,6,2,36,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0,0,0,0,2,1,DF,Match Report
