Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Hugo Larsson,1,16,0,0,0,29,0,2024-08-24,20-058,se SWE,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,20.7,0,16,21,76.2,0,0,1,0,1,270,75,7,7,100.0,8,11,72.7,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,4,16,9,0,29,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,1,0,0,0,0,0,0,MF,Match Report
2,Omar Marmoush,1,10,2,0,0,20,0,2024-08-24,25-199,eg EGY,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,68,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,14.4,0,10,11,90.9,2,2,1,0,2,221,49,3,3,100.0,1,1,100.0,4,5,80.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,9,7,3,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2,FW,Match Report
3,Ansgar Knauff,0,2,0,0,0,7,1,2024-08-24,22-227,de GER,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,N,14,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,1,31,14,1,2,50.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,6,1,7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,DF",Match Report
4,Can Uzun,0,1,0,0,0,6,1,2024-08-24,18-287,tr TUR,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,N,15,0,0,0,0,0,0,0,0,,,0,,,0,1,4,25.0,0,0,0,0,0,6,0,1,2,50.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1,0,6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,FW",Match Report
5,Fares Chaïbi,1,16,1,0,0,38,2,2024-08-24,21-270,dz ALG,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,75,0,0,0,0,0,0,0,1,0.0,,0,0.0,3.3,0,16,26,61.5,1,1,2,0,2,220,89,8,9,88.9,5,6,83.3,1,8,12.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,5,11,10,17,1,38,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,3,0,0,0,0,0,1,"MF,FW",Match Report
6,Tuta,0,35,0,0,0,51,3,2024-08-24,25-051,br BRA,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,35,38,92.1,0,0,0,0,1,648,139,10,10,100.0,23,23,100.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,12,39,13,0,0,51,3,2,3,0,0,2,3,66.7,1,1,1,0,3,6,5,0,0,0,0,0,0,"DF,MF",Match Report
7,Rasmus Kristensen,0,36,1,0,0,59,2,2024-08-24,27-044,dk DEN,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,48,75.0,0,2,1,0,6,569,270,20,22,90.9,15,21,71.4,1,5,20.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,59,9,24,24,11,1,59,2,1,2,0,0,2,3,66.7,1,2,1,1,0,2,5,0,0,0,0,0,0,DF,Match Report
8,Oscar Højlund,0,2,0,0,0,7,2,2024-08-24,19-233,dk DEN,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,N,14,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,34,0,1,1,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,1,0,7,2,1,2,0,0,0,0,,0,1,0,1,1,3,0,0,0,0,0,0,0,MF,Match Report
9,Hugo Ekitike,3,12,4,0,0,29,1,2024-08-24,22-065,fr FRA,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,76,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,16.2,0,12,17,70.6,0,0,2,0,2,170,23,7,9,77.8,4,5,80.0,1,3,33.3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,29,0,2,10,18,7,29,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,0,FW,Match Report
10,Igor Matanovic,0,3,0,0,0,10,0,2024-08-24,21-146,hr CRO,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,N,22,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,0,0,0,0,1,75,24,0,0,,2,4,50.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,7,2,1,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,FW,Match Report
11,Mario Götze,0,12,0,0,0,26,1,2024-08-24,32-082,de GER,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,76,0,0,0,0,0,0,0,0,,,0,,,0,12,19,63.2,0,1,1,0,2,95,30,8,9,88.9,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,9,10,7,0,26,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0,0,0,0,0,2,"MF,FW",Match Report
12,Ellyes Skhiri,0,31,0,0,1,42,1,2024-08-24,29-106,tn TUN,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,34,91.2,0,1,1,0,6,405,147,16,18,88.9,11,11,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,10,23,9,1,42,1,1,1,0,0,0,1,0.0,1,5,0,5,2,3,1,0,1,0,0,2,0,MF,Match Report
13,Kevin Trapp,0,23,0,0,0,28,0,2024-08-24,34-047,de GER,Eint Frankfurt,@,Dortmund,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,27,85.2,0,0,0,0,0,431,238,8,8,100.0,13,13,100.0,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,28,0,0,0,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
