Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Maximilian Eggestein,3,36,3,0,0,49,1,2025-03-15,28-097,de GER,Freiburg,@,Mainz 05,de Bundesliga,D 2-2,Y,75,0,0,0,0,0,0,0,3,0.0,,0,0.0,14.9,0,36,39,92.3,2,5,1,0,7,618,192,13,15,86.7,21,21,100.0,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,49,1,5,26,18,3,49,1,0,0,0,1,1,1,100.0,0,0,0,0,2,3,2,0,0,0,0,1,0,MF,Match Report
402,Lucas Höler,2,15,3,0,1,32,2,2025-03-15,30-248,de GER,Freiburg,@,Mainz 05,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,9.5,0,15,23,65.2,0,0,1,0,2,191,28,6,12,50.0,6,6,100.0,0,0,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,32,1,6,15,12,5,32,2,2,2,0,0,0,0,,0,1,0,1,1,3,1,0,1,0,0,2,1,"FW,MF",Match Report
403,Ritsu Doan,4,23,10,2,0,58,0,2025-03-15,26-272,jp JPN,Freiburg,@,Mainz 05,de Bundesliga,D 2-2,Y,90,0,1,1,0,0,0,0,4,0.0,,0,0.0,14.5,0,23,39,59.0,4,1,4,3,4,366,111,10,16,62.5,10,13,76.9,1,2,50.0,10,7,0,2,1,0,0,2,1,0,1,0,0,0,58,0,4,19,37,9,58,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,0,0,0,0,0,1,3,"FW,MF",Match Report
404,Noah Atubolu,0,25,1,0,0,38,0,2025-03-15,22-294,de GER,Freiburg,@,Mainz 05,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,36,69.4,0,1,0,0,1,646,431,6,6,100.0,14,15,93.3,5,15,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,38,31,36,2,0,0,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
405,Matthias Ginter,3,51,3,0,0,79,1,2025-03-15,31-055,de GER,Freiburg,@,Mainz 05,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,12.0,0,51,63,81.0,0,6,0,0,4,952,375,19,23,82.6,27,31,87.1,4,8,50.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,79,7,35,32,13,4,79,1,1,1,0,0,0,0,,0,2,1,1,0,1,8,0,0,0,0,0,1,DF,Match Report
406,Lukas Kübler,1,22,2,0,0,35,0,2025-03-30,32-212,de GER,Freiburg,,Union Berlin,de Bundesliga,L 1-2,N,24,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.4,0,22,31,71.0,0,6,1,1,3,329,93,13,14,92.9,7,8,87.5,1,8,12.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,35,1,5,19,11,1,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,DF,Match Report
407,Philipp Lienhart,0,97,2,0,0,117,1,2025-03-30,28-262,at AUT,Freiburg,,Union Berlin,de Bundesliga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,97,106,91.5,1,5,0,0,8,1716,615,35,36,97.2,56,57,98.2,4,9,44.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,117,8,33,80,4,3,117,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,7,0,0,0,0,0,0,DF,Match Report
408,Kiliann Sildillia,1,29,0,0,0,49,3,2025-03-30,22-318,fr FRA,Freiburg,,Union Berlin,de Bundesliga,L 1-2,Y,66,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.1,0,29,39,74.4,0,2,1,1,3,526,116,13,15,86.7,13,15,86.7,3,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,12,28,9,1,49,3,3,1,2,0,1,1,100.0,0,2,0,2,1,4,1,0,0,0,0,0,2,DF,Match Report
409,Eren Dinkçi,1,13,0,0,1,21,0,2025-03-30,23-107,de GER,Freiburg,,Union Berlin,de Bundesliga,L 1-2,N,33,0,0,0,0,0,0,0,1,0.0,,0,0.0,6.6,0,13,18,72.2,1,1,0,0,3,176,43,5,6,83.3,7,9,77.8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,8,11,3,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,1,"MF,FW",Match Report
410,Vincenzo Grifo,2,48,3,1,0,70,0,2025-03-30,31-357,it ITA,Freiburg,,Union Berlin,de Bundesliga,L 1-2,Y,90,0,1,1,0,0,0,0,2,0.0,0.0,2,100.0,19.3,1,48,64,75.0,1,7,2,1,4,902,216,23,24,95.8,17,22,77.3,8,17,47.1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,70,1,5,39,26,4,70,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
