Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Patrick Mainka,0,9,0,0,0,27,2,2024-12-07,30-031,de GER,Heidenheim,@,Bayern Munich,de Bundesliga,L 2-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,9,16,56.3,0,1,0,0,1,200,112,2,3,66.7,3,6,50.0,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,24,3,1,0,27,2,1,2,0,0,2,3,66.7,1,3,0,3,2,4,4,0,0,0,0,0,0,DF,Match Report
202,Benedikt Gimber,0,8,0,0,0,26,1,2024-12-07,27-292,de GER,Heidenheim,@,Bayern Munich,de Bundesliga,L 2-4,Y,77,0,0,0,0,0,0,0,0,,,0,,,0,8,11,72.7,0,0,0,0,0,132,48,4,4,100.0,4,5,80.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,24,1,1,0,26,1,1,1,0,0,0,0,,0,1,1,0,1,2,11,1,0,0,0,1,0,DF,Match Report
203,Kevin Müller,0,24,0,0,0,37,0,2024-12-07,33-267,de GER,Heidenheim,@,Bayern Munich,de Bundesliga,L 2-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,34,70.6,0,1,0,0,0,611,393,6,6,100.0,13,14,92.9,5,14,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,35,2,0,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
204,Omar Traoré,0,15,1,1,0,36,2,2024-12-07,26-307,de GER,Heidenheim,@,Bayern Munich,de Bundesliga,L 2-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,15,24,62.5,0,2,1,0,2,259,126,9,11,81.8,4,8,50.0,1,2,50.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,36,2,18,16,2,0,36,2,2,1,1,0,2,3,66.7,1,2,0,2,1,3,1,0,0,0,0,0,1,DF,Match Report
205,Tim Siersleben,0,22,0,0,0,34,2,2024-12-07,24-273,de GER,Heidenheim,@,Bayern Munich,de Bundesliga,L 2-4,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,28,78.6,0,0,0,0,0,508,370,7,7,100.0,10,12,83.3,5,8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,31,3,0,0,34,2,2,2,0,0,1,1,100.0,0,3,1,2,0,2,2,0,0,0,0,1,0,DF,Match Report
206,Marvin Pieringer,1,7,2,0,0,15,1,2024-12-15,25-072,de GER,Heidenheim,,Stuttgart,de Bundesliga,L 1-3,Y,64,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.4,0,7,7,100.0,1,1,1,0,3,76,42,3,3,100.0,3,3,100.0,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,2,6,7,2,15,1,1,0,0,1,0,0,,0,1,1,0,0,1,0,0,0,0,0,3,3,"FW,MF",Match Report
207,Jonas Föhrenbach,0,25,1,0,0,48,3,2024-12-15,28-324,de GER,Heidenheim,,Stuttgart,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,37,67.6,1,2,0,0,3,411,199,9,14,64.3,9,11,81.8,3,7,42.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,5,15,21,13,0,48,3,0,2,1,0,2,4,50.0,2,6,0,6,0,3,1,0,0,0,0,0,0,DF,Match Report
208,Sirlord Conteh,0,5,0,0,0,8,0,2024-12-15,28-159,de GER,Heidenheim,,Stuttgart,de Bundesliga,L 1-3,N,26,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,0,0,1,37,8,3,4,75.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,4,2,0,8,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
209,Stefan Schimmer,0,0,1,0,0,2,1,2024-12-15,30-231,de GER,Heidenheim,,Stuttgart,de Bundesliga,L 1-3,N,4,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,1,"FW,MF",Match Report
210,Mathias Honsak,3,18,1,0,0,47,4,2024-12-15,27-361,at AUT,Heidenheim,,Stuttgart,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,12.2,0,18,29,62.1,0,3,0,0,0,242,77,10,13,76.9,6,10,60.0,1,3,33.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47,6,15,16,16,5,47,4,1,3,1,0,3,4,75.0,1,2,1,1,1,5,4,0,0,0,0,2,1,"FW,DF",Match Report
