Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
601,Bazoumana Touré,3,13,1,0,0,31,2,2025-04-26,19-055,ci CIV,Hoffenheim,,Dortmund,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,19.6,0,13,21,61.9,0,2,3,2,2,223,44,6,7,85.7,1,5,20.0,3,3,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,8,10,14,5,31,2,2,2,0,0,0,1,0.0,1,1,0,1,0,2,0,0,0,0,0,1,1,"FW,MF",Match Report
602,Marius Bülter,0,20,2,1,0,33,1,2025-04-26,32-028,de GER,Hoffenheim,,Dortmund,de Bundesliga,L 2-3,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,20,23,87.0,1,1,0,0,1,289,74,13,14,92.9,4,4,100.0,2,3,66.7,2,2,0,0,0,0,0,1,1,0,0,0,0,0,33,4,7,16,12,0,33,1,0,1,0,0,1,2,50.0,1,2,1,1,1,2,2,0,0,0,0,0,0,"FW,DF",Match Report
603,Leo Skiri Østigård,0,33,0,0,0,53,0,2025-04-26,25-149,no NOR,Hoffenheim,,Dortmund,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,41,80.5,0,3,0,0,4,593,280,13,13,100.0,18,23,78.3,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,34,19,0,0,53,0,0,0,0,0,0,0,,0,1,1,0,1,1,8,0,0,0,0,3,0,DF,Match Report
604,David Jurásek,0,7,2,1,0,14,0,2025-04-26,24-262,cz CZE,Hoffenheim,,Dortmund,de Bundesliga,L 2-3,N,20,0,1,1,0,0,0,0,0,,,0,,,0,7,12,58.3,1,1,1,1,1,121,57,4,5,80.0,2,3,66.7,1,1,100.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,14,0,1,6,7,0,14,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,DF,Match Report
605,Umut Tohumcu,0,6,2,0,1,10,0,2025-04-26,20-258,de GER,Hoffenheim,,Dortmund,de Bundesliga,L 2-3,N,14,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,1,0,0,0,0,88,30,4,4,100.0,1,1,100.0,1,2,50.0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,10,1,2,3,5,0,10,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,1,0,0,1,2,"MF,FW",Match Report
606,Tom Bischof,5,49,6,0,0,72,2,2025-05-03,19-309,de GER,Hoffenheim,@,Gladbach,de Bundesliga,D 4-4,Y,90,0,0,0,0,0,0,0,5,0.0,0.0,2,40.0,18.2,0,49,59,83.1,1,4,2,0,6,906,152,19,21,90.5,24,26,92.3,6,10,60.0,6,3,0,1,2,0,0,0,0,0,0,0,0,0,72,4,11,35,26,3,72,2,2,0,2,0,2,2,100.0,0,1,0,1,2,4,3,0,0,0,0,1,0,"MF,FW",Match Report
607,Anton Stach,4,61,5,0,0,84,1,2025-05-03,26-169,de GER,Hoffenheim,@,Gladbach,de Bundesliga,D 4-4,Y,90,0,0,0,0,0,0,0,4,0.0,,0,0.0,27.2,0,61,70,87.1,1,9,2,0,9,1143,333,23,27,85.2,32,34,94.1,6,9,66.7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,84,1,16,57,12,0,84,1,0,0,1,0,1,1,100.0,0,4,0,4,0,1,2,0,0,0,0,1,1,"MF,DF",Match Report
608,Adam Hložek,3,12,8,3,0,30,1,2025-05-03,22-282,cz CZE,Hoffenheim,@,Gladbach,de Bundesliga,D 4-4,Y,76,1,1,2,1,0,0,0,3,0.33,0.33,3,100.0,16.1,0,12,19,63.2,2,0,1,1,2,217,43,4,8,50.0,8,10,80.0,0,0,,8,4,1,1,2,0,0,3,0,1,1,1,0,0,30,0,0,9,21,7,30,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
609,Andrej Kramarić,4,45,8,3,0,64,1,2025-05-03,33-318,hr CRO,Hoffenheim,@,Gladbach,de Bundesliga,D 4-4,Y,90,0,3,3,0,0,0,0,4,0.0,,0,0.0,13.9,0,45,57,78.9,7,4,1,0,8,771,270,22,27,81.5,19,22,86.4,4,5,80.0,8,7,1,0,0,0,0,3,2,1,0,0,0,0,64,0,6,26,33,3,64,1,1,0,1,0,0,0,,0,2,0,2,1,2,0,0,0,0,0,0,1,"MF,FW",Match Report
610,Stanley N'Soki,1,47,4,0,0,58,0,2025-05-03,26-024,fr FRA,Hoffenheim,@,Gladbach,de Bundesliga,D 4-4,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,27.8,0,47,50,94.0,1,7,1,0,5,960,373,18,18,100.0,22,24,91.7,7,8,87.5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,58,2,11,38,10,0,58,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,3,0,0,0,0,1,0,DF,Match Report
