Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Timo Becker,2,43,2,0,0,62,2,2025-03-16,27-356,de GER,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,27.6,0,43,52,82.7,0,0,0,0,3,832,236,19,20,95.0,20,21,95.2,4,11,36.4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,62,4,20,35,11,0,62,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,3,0,0,0,0,0,1,DF,Match Report
402,Steven Skrzybski,1,31,1,0,0,53,1,2025-03-16,32-118,de GER,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,80,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.2,0,31,37,83.8,0,6,2,0,8,485,128,16,18,88.9,12,16,75.0,2,2,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,53,2,10,24,19,4,53,1,0,1,0,0,0,2,0.0,2,2,0,2,0,1,2,0,0,0,0,1,3,"MF,FW",Match Report
403,John Tolkin,0,9,2,0,0,16,0,2025-03-16,22-228,us USA,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,N,10,0,0,0,0,0,0,0,0,,,0,,,0,9,13,69.2,2,1,1,0,1,152,61,3,3,100.0,6,9,66.7,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,9,5,0,16,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,0,0,0,0,0,"DF,MF",Match Report
404,Nicolai Remberg,2,46,1,0,0,58,0,2025-03-16,24-270,de GER,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.2,0,46,47,97.9,0,5,0,0,3,843,148,20,20,100.0,23,24,95.8,3,3,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,58,2,13,41,4,1,58,0,0,0,0,0,0,1,0.0,1,1,1,0,4,4,1,0,0,0,0,1,3,MF,Match Report
405,Shuto Machino,1,22,2,0,0,38,0,2025-03-16,25-167,jp JPN,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,55,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.6,0,22,33,66.7,1,2,0,0,1,387,71,9,11,81.8,9,13,69.2,3,6,50.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,38,1,3,21,15,2,38,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,2,"FW,MF",Match Report
406,Magnus Knudsen,0,19,3,0,0,30,2,2025-03-16,23-274,no NOR,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,55,0,0,0,0,0,0,0,0,,,0,,,0,19,25,76.0,2,0,0,0,1,274,54,12,16,75.0,7,8,87.5,0,0,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,30,0,7,15,8,1,30,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1,MF,Match Report
407,Finn Porath,1,30,3,1,0,50,2,2025-03-16,28-021,de GER,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,90,0,1,1,0,0,0,0,1,0.0,0.0,1,100.0,30.2,0,30,40,75.0,1,3,2,2,1,528,104,16,16,100.0,10,14,71.4,4,9,44.4,3,2,0,0,1,0,0,1,0,0,0,1,0,0,50,2,12,27,13,0,50,2,2,1,1,0,1,3,33.3,2,2,1,1,0,2,2,0,0,0,0,1,2,"DF,MF",Match Report
408,Jann-Fiete Arp,3,9,1,0,1,20,0,2025-03-16,25-069,de GER,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,N,35,0,0,0,0,0,0,0,3,0.0,,0,0.0,27.2,1,9,11,81.8,1,0,0,0,1,118,40,6,8,75.0,3,3,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,3,5,12,3,20,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,2,0,"FW,MF",Match Report
409,Armin Gigovic,1,18,1,0,0,25,0,2025-03-16,22-344,ba BIH,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,Y,45,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.2,0,18,20,90.0,0,0,0,0,3,284,71,8,9,88.9,8,8,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,5,17,4,1,25,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,0,MF,Match Report
410,Alexander Bernhardsson,1,7,2,0,0,22,0,2025-03-16,26-189,se SWE,Holstein Kiel,@,Heidenheim,de Bundesliga,L 1-3,N,45,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,22.1,0,7,15,46.7,0,0,0,0,2,116,45,2,8,25.0,5,5,100.0,0,1,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,22,0,4,7,12,6,22,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,1,2,"FW,MF",Match Report
