Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Nelson Weiper,0,3,1,0,0,6,0,2025-03-30,20-013,de GER,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,N,20,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,0,0,0,0,0,27,0,1,2,50.0,1,2,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,1,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
402,Andreas Hanche-Olsen,0,45,0,0,0,71,2,2025-03-30,28-072,no NOR,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,58,77.6,0,0,0,0,3,695,273,24,27,88.9,20,24,83.3,1,5,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,4,33,34,5,3,71,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,6,0,0,0,0,1,2,DF,Match Report
403,Lee Jae-sung,2,20,0,0,0,41,3,2025-03-30,32-232,kr KOR,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,65,0,0,0,0,0,0,0,2,0.0,,0,0.0,11.1,0,20,26,76.9,0,1,0,0,3,310,67,11,14,78.6,9,10,90.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,6,20,16,3,41,3,1,3,0,0,1,4,25.0,3,2,0,2,1,4,0,0,0,0,0,0,2,MF,Match Report
404,Nadiem Amiri,1,62,4,1,0,94,2,2025-03-30,28-154,de GER,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,90,0,1,1,0,0,0,0,1,0.0,,0,0.0,28.3,0,62,80,77.5,4,5,5,1,11,1069,440,34,37,91.9,19,23,82.6,7,14,50.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,94,2,16,59,20,2,94,2,1,1,0,1,2,2,100.0,0,1,0,1,1,3,2,0,0,0,0,2,1,MF,Match Report
405,Robin Zentner,0,26,0,0,0,39,0,2025-03-30,30-153,de GER,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,36,72.2,0,4,0,0,0,824,582,1,1,100.0,15,15,100.0,10,20,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,39,0,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
406,Danny da Costa,0,54,1,0,0,83,2,2025-03-30,31-260,de GER,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,54,69,78.3,0,5,0,0,6,999,563,23,25,92.0,26,31,83.9,5,9,55.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83,3,33,45,6,0,83,2,1,1,1,0,2,3,66.7,1,0,0,0,4,6,7,1,0,0,0,0,0,DF,Match Report
407,Kaishu Sano,1,43,1,0,0,67,4,2025-03-30,24-090,jp JPN,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,26.6,0,43,57,75.4,1,1,2,0,4,582,189,26,32,81.3,17,20,85.0,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,14,36,19,3,67,4,2,4,0,0,2,2,100.0,0,1,0,1,3,7,0,0,0,0,0,0,0,MF,Match Report
408,Arnaud Nordin,0,7,0,0,0,13,1,2025-03-30,26-286,fr FRA,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,N,3,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,0,1,0,0,1,90,45,4,5,80.0,2,4,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,5,6,0,13,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"DF,MF",Match Report
409,Hong Hyunseok,0,12,1,0,0,15,0,2025-03-30,25-287,kr KOR,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,N,25,0,0,0,0,0,0,0,0,,,0,,,0,12,15,80.0,1,1,1,1,1,149,43,7,7,100.0,4,5,80.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,5,1,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
410,Moritz Jenz,2,51,0,0,0,80,5,2025-03-30,25-334,de GER,Mainz 05,@,Dortmund,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.2,0,51,57,89.5,0,3,0,0,6,928,474,20,22,90.9,28,30,93.3,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,37,40,3,3,80,5,1,3,2,0,4,4,100.0,0,5,3,2,4,9,7,0,0,0,0,1,0,DF,Match Report
