Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Faik Sakar,0,0,0,0,0,0,0,2024-12-07,16-328,de GER,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
202,Loïs Openda,3,5,2,1,1,21,1,2024-12-07,24-295,be BEL,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,14.8,0,5,10,50.0,1,0,2,1,1,68,26,4,8,50.0,0,0,,1,1,100.0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,21,0,2,9,10,4,21,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,1,3,"FW,MF",Match Report
203,Xaver Schlager,0,6,0,0,0,9,1,2024-12-07,27-070,at AUT,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,N,28,0,0,0,0,0,0,0,0,,,0,,,0,6,6,100.0,0,1,0,0,1,80,37,4,4,100.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,5,2,0,9,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,MF,Match Report
204,Amadou Haidara,0,18,1,0,0,33,2,2024-12-07,26-311,ml MLI,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,Y,62,0,0,0,0,0,0,0,0,,,0,,,0,18,25,72.0,0,1,0,0,1,245,87,11,12,91.7,5,9,55.6,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,1,7,19,7,0,33,2,2,1,1,0,0,0,,0,0,0,0,1,3,3,0,0,0,0,0,1,MF,Match Report
205,Kevin Kampl,0,2,0,0,0,3,0,2024-12-07,34-059,si SVN,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,60,43,1,1,100.0,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,MF,Match Report
206,Péter Gulácsi,0,24,0,0,0,36,0,2024-12-07,34-215,hu HUN,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,35,68.6,0,0,0,0,0,583,443,9,9,100.0,11,11,100.0,4,15,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,35,1,0,0,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
207,Lukas Klostermann,0,6,0,0,0,12,0,2024-12-07,28-187,de GER,RB Leipzig,@,Holstein Kiel,de Bundesliga,W 2-0,N,28,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75.0,0,0,0,0,1,136,52,0,0,,6,8,75.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9,2,1,0,12,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,2,0,0,0,0,0,0,DF,Match Report
208,Benjamin Henrichs,2,26,1,0,0,43,1,2024-12-15,27-296,de GER,RB Leipzig,,Eint Frankfurt,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,24.9,1,26,33,78.8,0,2,0,0,0,289,22,20,22,90.9,4,6,66.7,0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,43,3,12,19,12,0,43,1,1,0,1,0,1,1,100.0,0,3,1,2,0,1,3,0,0,0,0,0,0,DF,Match Report
209,Willi Orban,1,30,0,0,1,43,1,2024-12-15,32-042,hu HUN,RB Leipzig,,Eint Frankfurt,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.8,0,30,33,90.9,0,2,0,0,3,579,242,13,14,92.9,15,15,100.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,26,17,1,1,43,1,1,0,1,0,0,0,,0,2,2,0,0,1,6,0,1,0,0,5,0,DF,Match Report
210,El Chadaille Bitshiabu,0,1,0,0,0,3,0,2024-12-15,19-213,fr FRA,RB Leipzig,,Eint Frankfurt,de Bundesliga,W 2-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,11,7,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,DF,Match Report
