Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Carlo Boukhalfa,2,21,2,0,0,44,3,2024-12-14,25-225,ma MAR,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,88,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,24.8,0,21,31,67.7,0,4,0,0,2,260,76,15,22,68.2,6,8,75.0,0,0,,2,0,0,1,0,0,1,0,0,0,0,0,0,0,44,0,6,22,16,3,44,3,1,2,1,0,0,0,,0,1,0,1,0,3,0,0,0,0,0,3,0,MF,Match Report
202,Lars Ritzka,0,6,0,0,0,15,2,2024-12-14,26-221,de GER,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,N,17,0,0,0,0,0,0,0,0,,,0,,,0,6,11,54.5,0,0,0,0,0,87,35,3,5,60.0,3,5,60.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,5,9,1,0,15,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,0,0,"DF,MF",Match Report
203,Jackson Irvine,2,39,2,0,0,60,2,2024-12-14,31-282,au AUS,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,16.9,0,39,50,78.0,0,5,0,0,5,634,231,21,24,87.5,16,20,80.0,2,6,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,60,3,16,32,12,1,60,2,1,0,2,0,1,2,50.0,1,2,0,2,1,3,3,0,0,0,0,1,1,MF,Match Report
204,Oladapo Afolayan,3,29,1,0,0,59,2,2024-12-14,26-306,eng ENG,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,28.9,0,29,39,74.4,0,1,0,0,2,441,92,19,24,79.2,8,10,80.0,2,5,40.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,59,1,6,31,22,3,59,2,0,1,1,0,0,0,,0,2,0,2,0,2,0,0,0,0,0,2,5,"FW,MF",Match Report
205,Eric Smith,1,57,3,0,1,78,1,2024-12-14,27-341,se SWE,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.4,1,57,70,81.4,1,5,0,0,2,980,225,23,30,76.7,33,35,94.3,1,5,20.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,78,4,20,46,14,0,78,1,0,0,1,0,1,2,50.0,1,1,1,0,1,2,2,0,1,0,0,1,0,"DF,MF",Match Report
206,Andreas Albers,0,1,0,0,0,1,0,2024-12-14,34-266,dk DEN,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,N,10,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,9,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
207,Danel Sinani,3,45,3,0,1,66,1,2024-12-14,27-253,lu LUX,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,89,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,26.6,0,45,54,83.3,0,4,2,0,5,626,143,30,31,96.8,13,16,81.3,1,6,16.7,3,2,0,0,0,1,0,0,0,0,0,0,0,0,66,2,6,33,27,2,66,1,1,0,0,1,1,2,50.0,1,2,0,2,0,1,2,0,1,0,0,3,1,"FW,MF",Match Report
208,Maurides,0,1,0,0,0,2,0,2024-12-14,30-279,br BRA,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,N,2,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,12,0,1,2,50.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
209,Johannes Eggestein,3,26,3,0,0,41,0,2024-12-14,26-220,de GER,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,80,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,17.6,0,26,34,76.5,3,4,0,0,3,449,71,11,17,64.7,13,15,86.7,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,24,16,5,41,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
210,David Nemeth,0,70,1,0,0,79,2,2024-12-14,23-271,at AUT,St. Pauli,,Werder Bremen,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,70,73,95.9,1,2,1,1,4,1351,493,20,21,95.2,44,45,97.8,6,7,85.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79,9,41,36,2,0,79,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,2,0,0,0,0,0,0,DF,Match Report
