Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Ramon Hendriks,0,9,0,0,0,17,0,2025-01-25,23-191,nl NED,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,N,29,0,0,0,0,0,0,0,0,,,0,,,0,9,12,75.0,0,2,0,0,1,165,136,6,6,100.0,1,4,25.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,9,8,0,0,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,0,0,0,1,0,DF,Match Report
402,Nick Woltemade,2,12,3,0,0,37,0,2025-01-25,22-346,de GER,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,10.4,0,12,18,66.7,1,0,0,0,1,140,18,8,11,72.7,3,6,50.0,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2,14,21,12,37,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,2,1,"FW,MF",Match Report
403,Maximilian Mittelstädt,0,42,0,0,0,58,1,2025-01-25,27-313,de GER,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,Y,61,0,0,0,0,0,0,0,0,,,0,,,0,42,53,79.2,0,6,1,0,4,668,258,25,27,92.6,11,14,78.6,5,8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,13,29,16,0,58,1,1,0,1,0,0,0,,0,2,0,2,0,1,1,0,0,0,0,0,2,DF,Match Report
404,Ameen Al-Dakhil,0,72,2,0,0,95,3,2025-01-25,22-325,be BEL,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,72,76,94.7,1,8,1,0,5,1260,402,31,31,100.0,33,35,94.3,5,7,71.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,95,18,48,46,1,0,95,3,3,3,0,0,3,3,100.0,0,2,1,1,1,4,11,0,0,0,0,0,1,DF,Match Report
405,Anthony Rouault,0,42,0,0,0,58,1,2025-01-25,23-241,fr FRA,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,Y,85,0,0,0,0,0,0,0,0,,,0,,,0,42,48,87.5,0,1,0,0,4,693,230,16,19,84.2,23,23,100.0,2,5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7,29,28,2,1,58,1,0,1,0,0,1,2,50.0,1,2,2,0,1,2,5,0,0,0,0,1,0,DF,Match Report
406,Julian Chabot,0,5,0,0,1,6,0,2025-01-25,26-348,de GER,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,N,5,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,0,0,1,108,28,0,0,,3,3,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,1,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,DF,Match Report
407,Alexander Nübel,0,24,0,0,0,44,0,2025-01-25,28-117,de GER,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,40,60.0,0,0,0,0,0,576,472,9,9,100.0,7,8,87.5,8,22,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,35,44,0,0,0,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
408,Fabian Rieder,1,7,2,0,0,14,2,2025-01-25,22-344,ch SUI,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,N,19,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.3,0,7,10,70.0,1,1,0,0,1,123,16,4,4,100.0,2,2,100.0,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,8,4,1,14,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,0,0,"MF,FW",Match Report
409,Deniz Undav,3,16,2,0,0,35,0,2025-01-25,28-190,de GER,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,14.9,0,16,22,72.7,1,2,1,0,4,226,68,10,11,90.9,5,7,71.4,1,3,33.3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,35,2,4,19,12,7,35,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,0,0,0,0,1,"FW,MF",Match Report
410,Ermedin Demirović,2,2,2,0,0,7,0,2025-01-25,26-306,ba BIH,Stuttgart,@,Mainz 05,de Bundesliga,L 0-2,N,19,0,0,0,0,0,0,0,2,0.0,,0,0.0,9.3,0,2,5,40.0,0,0,0,0,0,19,0,2,4,50.0,0,0,,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,6,4,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
