Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Leopold Querfeld,3,23,2,0,0,45,0,2024-12-06,20-352,at AUT,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,Y,84,0,0,0,0,0,0,0,3,0.0,,0,0.0,9.3,0,23,30,76.7,2,3,0,0,1,583,247,4,5,80.0,15,16,93.8,4,8,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,45,4,28,14,4,4,45,0,0,0,0,0,0,0,,0,2,0,2,2,2,7,0,0,0,0,0,0,DF,Match Report
202,Frederik Rønnow,0,36,1,0,1,52,0,2024-12-06,32-124,dk DEN,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,51,70.6,0,1,0,0,0,936,677,7,8,87.5,20,20,100.0,9,23,39.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,39,50,2,0,0,52,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,1,0,0,0,0,GK,Match Report
203,Jordan Pefok,2,1,1,0,0,7,0,2024-12-06,28-224,us USA,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,N,21,0,0,0,0,0,0,0,2,0.0,,0,0.0,12.2,0,1,4,25.0,0,1,0,0,0,6,5,1,4,25.0,0,0,,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,4,3,2,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
204,Diogo Leite,0,31,1,0,1,53,2,2024-12-06,25-318,pt POR,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,40,77.5,0,1,0,0,2,566,236,12,17,70.6,16,16,100.0,1,4,25.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53,4,30,18,5,0,53,2,1,1,1,0,1,1,100.0,0,3,0,3,3,5,5,0,1,0,0,1,1,DF,Match Report
205,Yorbe Vertessen,0,1,0,0,1,1,0,2024-12-06,23-333,be BEL,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,N,6,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,15,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,"MF,FW",Match Report
206,Ivan Prtajin,0,2,0,0,0,6,0,2024-12-06,28-206,hr CRO,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,N,6,0,0,0,0,0,0,0,0,,,0,,,0,2,6,33.3,0,0,0,0,0,28,0,1,3,33.3,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,3,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
207,Danilho Doekhi,1,17,0,0,1,46,2,2024-12-06,26-159,nl NED,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,7.9,0,17,33,51.5,1,2,0,0,3,270,111,9,10,90.0,8,14,57.1,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,15,26,6,2,46,2,1,0,2,0,1,1,100.0,0,0,0,0,6,8,2,0,1,0,0,4,1,DF,Match Report
208,Robert Skov,1,23,5,0,0,53,7,2024-12-06,28-200,dk DEN,Union Berlin,@,Stuttgart,de Bundesliga,L 2-3,Y,83,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,29.2,0,23,36,63.9,3,0,0,0,3,507,161,5,8,62.5,10,15,66.7,7,12,58.3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,53,4,13,25,16,1,53,7,5,6,1,0,6,6,100.0,0,1,0,1,1,8,3,0,0,0,0,2,2,"DF,MF",Match Report
209,András Schäfer,2,36,4,0,0,60,1,2024-12-14,25-245,hu HUN,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,67,0,0,0,0,0,0,0,2,0.0,,0,0.0,24.3,0,36,46,78.3,2,3,3,0,10,533,137,22,25,88.0,8,10,80.0,4,4,100.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,60,2,4,27,29,3,60,1,1,0,0,1,0,0,,0,3,0,3,1,2,1,0,0,0,0,0,1,MF,Match Report
210,Kevin Vogt,0,80,3,0,1,98,2,2024-12-14,33-082,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,80,85,94.1,0,19,1,0,17,1687,828,22,23,95.7,46,48,95.8,12,14,85.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,98,6,30,67,2,0,98,2,2,2,0,0,2,2,100.0,0,1,1,0,1,3,7,0,1,0,0,2,1,DF,Match Report
211,Benedict Hollerbach,6,22,7,1,1,47,0,2024-12-14,23-211,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,90,1,0,1,1,0,0,0,6,0.17,1.0,1,16.7,11.7,0,22,32,68.8,1,2,1,0,5,285,87,13,17,76.5,7,8,87.5,0,0,,7,5,0,2,0,0,0,1,1,0,0,0,0,0,47,0,0,15,33,17,47,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,3,2,"FW,MF",Match Report
212,Aljoscha Kemlein,0,15,1,0,0,18,0,2024-12-14,20-134,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,N,23,0,0,0,0,0,0,0,0,,,0,,,0,15,15,100.0,0,1,0,0,2,273,59,8,8,100.0,4,4,100.0,3,3,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,7,0,18,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
213,Rani Khedira,1,25,0,0,0,49,4,2024-12-14,30-322,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,79,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.1,0,25,39,64.1,0,4,0,0,3,345,71,16,22,72.7,7,8,87.5,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,6,30,13,2,49,4,3,2,2,0,0,0,,0,3,2,1,2,6,0,0,0,0,0,2,1,MF,Match Report
214,Jeong Woo-yeong,0,37,4,0,0,50,0,2024-12-14,25-085,kr KOR,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,67,0,0,0,0,0,0,0,0,,,0,,,0,37,45,82.2,4,3,4,2,7,494,156,28,33,84.8,7,8,87.5,2,2,100.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,25,25,0,50,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
215,Tim Skarke,2,19,5,0,0,25,0,2024-12-14,28-098,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,55,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,12.6,0,19,21,90.5,2,2,0,0,2,190,17,14,14,100.0,3,4,75.0,0,0,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12,13,2,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
216,Janik Haberer,0,0,0,0,0,2,0,2024-12-14,30-256,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,N,11,0,0,0,0,0,0,0,0,,,0,,,0,0,2,0.0,0,0,0,0,0,0,0,0,0,,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,DF",Match Report
217,Tom Rothe,1,24,1,0,0,41,0,2024-12-14,20-046,de GER,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,79,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,19.8,0,24,33,72.7,0,1,1,1,0,379,52,15,18,83.3,4,7,57.1,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,1,5,13,23,4,41,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,0,0,0,0,0,"DF,MF",Match Report
218,Frederik Rønnow,0,16,0,0,0,20,0,2024-12-14,32-132,dk DEN,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,16,18,88.9,0,0,0,0,0,340,227,4,4,100.0,10,10,100.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,20,0,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
219,Jordan Pefok,1,2,1,0,0,6,0,2024-12-14,28-232,us USA,Union Berlin,,Bochum,de Bundesliga,L 0-2,N,35,0,0,0,0,0,0,0,1,0.0,,0,0.0,5.1,0,2,2,100.0,1,0,0,0,0,28,0,1,1,100.0,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,4,4,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,0,FW,Match Report
220,Diogo Leite,1,79,2,0,0,107,3,2024-12-14,25-326,pt POR,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.9,0,79,89,88.8,1,9,0,0,11,1214,414,43,43,100.0,34,37,91.9,2,8,25.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,107,8,19,59,30,1,107,3,2,0,2,1,2,2,100.0,0,3,1,2,2,5,7,0,0,0,0,1,0,DF,Match Report
221,Yorbe Vertessen,2,6,1,0,0,9,0,2024-12-14,23-341,be BEL,Union Berlin,,Bochum,de Bundesliga,L 0-2,N,11,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.7,0,6,6,100.0,0,0,1,0,1,67,22,5,5,100.0,1,1,100.0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,3,1,5,1,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"MF,FW",Match Report
222,Danilho Doekhi,3,70,3,0,0,102,2,2024-12-14,26-167,nl NED,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,11.1,0,70,84,83.3,2,16,0,0,11,1164,249,33,40,82.5,32,37,86.5,3,4,75.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,102,4,16,58,29,5,102,2,1,2,0,0,1,1,100.0,0,2,2,0,1,3,5,0,0,0,0,1,1,DF,Match Report
223,László Bénes,0,10,1,0,0,15,0,2024-12-14,27-096,sk SVK,Union Berlin,,Bochum,de Bundesliga,L 0-2,N,23,0,0,0,0,0,0,0,0,,,0,,,0,10,13,76.9,1,0,2,2,1,156,47,5,6,83.3,5,5,100.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,11,0,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
224,Robert Skov,3,43,8,1,0,77,1,2024-12-14,28-208,dk DEN,Union Berlin,,Bochum,de Bundesliga,L 0-2,Y,90,0,1,1,0,0,0,0,3,0.0,0.0,1,33.3,16.8,0,43,64,67.2,5,0,10,2,10,841,355,19,23,82.6,15,23,65.2,9,15,60.0,8,5,3,0,0,0,0,1,1,0,0,0,0,0,77,2,6,18,53,10,77,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,1,0,0,0,0,1,2,"DF,MF",Match Report
225,András Schäfer,1,30,1,0,0,53,4,2024-12-21,25-252,hu HUN,Union Berlin,@,Werder Bremen,de Bundesliga,L 1-4,Y,70,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,2.9,0,30,39,76.9,0,2,1,0,4,404,71,20,23,87.0,9,13,69.2,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,53,1,7,30,16,1,53,4,3,2,2,0,2,2,100.0,0,1,0,1,2,6,1,0,0,0,0,2,1,MF,Match Report
226,Christopher Trimmel,0,13,2,0,0,29,0,2024-12-21,37-301,at AUT,Union Berlin,@,Werder Bremen,de Bundesliga,L 1-4,Y,44,0,0,0,0,0,0,0,0,,,0,,,0,13,24,54.2,1,1,2,1,3,236,137,4,5,80.0,8,13,61.5,1,4,25.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,29,1,12,15,2,0,29,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,0,0,0,0,"DF,MF",Match Report
