Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Senne Lynen,0,43,1,0,0,52,1,2024-08-24,25-187,be BEL,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,43,48,89.6,0,2,0,0,1,670,197,21,22,95.5,17,18,94.4,3,3,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,7,40,5,1,52,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0,0,0,0,1,2,MF,Match Report
2,Jens Stage,1,27,1,0,0,48,3,2024-08-24,27-290,dk DEN,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,26.1,0,27,37,73.0,0,3,0,0,3,409,150,13,15,86.7,7,10,70.0,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,10,33,5,0,48,3,3,2,1,0,1,1,100.0,0,3,0,3,0,3,1,0,0,0,0,1,1,MF,Match Report
3,Romano Schmid,0,36,1,0,0,46,1,2024-08-24,24-210,at AUT,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,87,0,0,0,0,0,0,0,0,,,0,,,0,36,43,83.7,0,5,4,2,5,688,174,15,17,88.2,11,13,84.6,8,10,80.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46,1,7,18,22,1,46,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,0,0,0,1,1,MF,Match Report
4,Mitchell Weiser,3,53,5,2,0,80,2,2024-08-24,30-125,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,90,0,2,2,0,0,0,0,3,0.0,0.0,1,33.3,14.9,0,53,67,79.1,3,5,5,1,9,754,327,38,42,90.5,12,20,60.0,3,4,75.0,5,4,0,1,0,0,0,2,2,0,0,0,0,0,80,1,10,36,34,5,80,2,1,2,0,0,1,3,33.3,2,0,0,0,1,3,3,0,0,0,0,1,1,"DF,MF",Match Report
5,Marvin Ducksch,4,12,1,0,0,25,0,2024-08-24,30-170,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,80,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,13.5,0,12,20,60.0,1,3,0,0,7,340,101,4,7,57.1,1,3,33.3,7,10,70.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,1,2,7,16,5,25,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
6,Marco Grüll,0,1,0,0,1,4,0,2024-08-24,26-049,at AUT,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,N,10,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,17,3,0,0,,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,"FW,MF",Match Report
7,Michael Zetterer,0,34,0,0,0,41,0,2024-08-24,29-043,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,40,85.0,0,1,0,0,0,883,550,9,9,100.0,11,11,100.0,14,20,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,34,39,2,0,0,41,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
8,Justin Njinmah,1,9,2,0,0,19,1,2024-08-24,23-283,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,N,45,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,3.2,0,9,15,60.0,1,1,1,0,2,213,88,4,7,57.1,1,3,33.3,4,4,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,11,6,3,19,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
9,Miloš Veljković,1,55,2,0,0,66,0,2024-08-24,28-333,rs SRB,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,2.2,0,55,60,91.7,0,10,0,0,10,1473,461,14,14,100.0,22,22,100.0,19,23,82.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,66,5,27,35,4,1,66,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,2,0,0,0,0,0,0,DF,Match Report
10,Niklas Stark,0,35,2,1,0,47,1,2024-08-24,29-132,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,35,43,81.4,0,1,0,0,4,738,238,14,15,93.3,14,18,77.8,7,9,77.8,2,2,0,0,0,0,0,1,1,0,0,0,0,0,47,1,19,28,0,0,47,1,0,0,1,0,0,0,,0,0,0,0,1,2,1,0,0,0,0,1,1,DF,Match Report
11,Skelly Alvero,0,0,0,0,0,3,1,2024-08-24,22-112,fr FRA,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,0,MF,Match Report
12,Felix Agu,1,35,4,1,0,52,2,2024-08-24,24-332,ng NGA,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,12.3,0,35,41,85.4,2,0,3,3,1,649,153,20,22,90.9,9,11,81.8,5,5,100.0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,52,1,20,16,16,6,52,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0,0,0,0,1,0,DF,Match Report
13,Leonardo Bittencourt,0,1,0,0,0,3,0,2024-08-24,30-249,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,N,3,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,6,0,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
14,Anthony Jung,0,27,0,0,0,35,1,2024-08-24,32-295,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,N,45,0,0,0,0,0,0,0,0,,,0,,,0,27,28,96.4,0,1,0,0,1,528,285,9,9,100.0,14,14,100.0,4,5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,25,9,1,0,35,1,0,1,0,0,0,0,,0,0,0,0,2,3,2,0,0,0,0,0,0,DF,Match Report
15,Keke Topp,0,10,3,0,0,15,0,2024-08-24,20-152,de GER,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,10,13,76.9,3,0,2,0,2,125,23,6,8,75.0,3,4,75.0,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,5,9,4,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,"FW,MF",Match Report
16,Marco Friedl,0,41,0,0,0,61,2,2024-08-24,26-161,at AUT,Werder Bremen,@,Augsburg,de Bundesliga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,41,45,91.1,0,1,0,0,2,811,293,10,10,100.0,28,29,96.6,3,4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,14,34,27,0,0,61,2,1,1,1,0,1,2,50.0,1,1,1,0,3,5,6,0,0,0,0,1,3,DF,Match Report
17,Senne Lynen,0,38,0,0,0,54,2,2024-08-31,25-194,be BEL,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,46,82.6,0,2,0,0,4,595,137,14,16,87.5,22,23,95.7,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,11,37,6,0,54,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,3,0,0,0,0,1,0,MF,Match Report
18,Jens Stage,0,31,1,0,0,43,1,2024-08-31,27-297,dk DEN,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,36,86.1,0,2,2,0,7,566,166,11,12,91.7,11,12,91.7,5,6,83.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,7,23,14,1,43,1,1,0,1,0,0,1,0.0,1,1,1,0,2,3,0,0,0,0,0,1,0,MF,Match Report
19,Romano Schmid,1,20,2,0,0,37,0,2024-08-31,24-217,at AUT,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,28.0,0,20,33,60.6,0,1,1,0,3,297,71,10,13,76.9,7,12,58.3,2,4,50.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,37,0,2,20,15,5,37,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,3,MF,Match Report
20,Mitchell Weiser,0,32,0,0,1,56,1,2024-08-31,30-132,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,51,62.7,0,0,0,0,2,578,178,12,16,75.0,14,21,66.7,4,8,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,13,26,17,5,56,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,1,0,0,2,4,"DF,MF",Match Report
21,Marvin Ducksch,3,11,1,0,0,34,1,2024-08-31,30-177,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,89,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,18.6,1,11,27,40.7,0,1,1,0,3,243,116,1,3,33.3,5,11,45.5,3,8,37.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,12,22,4,34,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,FW,Match Report
22,Marco Grüll,0,1,0,0,0,3,0,2024-08-31,26-056,at AUT,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,16,0,0,1,0.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
23,Michael Zetterer,0,32,0,0,0,39,0,2024-08-31,29-050,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,37,86.5,0,0,0,0,0,763,533,7,8,87.5,19,19,100.0,6,10,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,38,1,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
24,Justin Njinmah,1,16,2,0,0,32,0,2024-08-31,23-290,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,81,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.1,0,16,23,69.6,0,0,3,1,4,245,75,5,8,62.5,8,9,88.9,1,2,50.0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,32,0,0,18,16,3,32,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,0,0,0,0,4,"FW,MF",Match Report
25,Niklas Stark,0,58,1,0,0,82,5,2024-08-31,29-139,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,58,70,82.9,0,5,0,0,4,1148,446,12,13,92.3,42,47,89.4,3,8,37.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,4,39,40,3,0,82,5,3,1,3,1,3,3,100.0,0,0,0,0,1,6,3,0,0,0,0,4,2,DF,Match Report
26,Felix Agu,0,37,2,0,0,49,0,2024-08-31,24-339,ng NGA,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,44,84.1,1,3,2,0,4,610,220,15,16,93.8,18,21,85.7,3,4,75.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,49,3,8,23,18,3,49,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,0,0,0,1,2,DF,Match Report
27,Anthony Jung,0,55,0,0,0,71,0,2024-08-31,32-302,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,55,67,82.1,0,3,0,0,5,955,257,23,25,92.0,28,32,87.5,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,4,29,40,3,0,71,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,0,0,0,1,0,DF,Match Report
28,Keke Topp,0,0,0,0,0,3,1,2024-08-31,20-159,de GER,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,N,9,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
29,Marco Friedl,0,59,0,0,1,71,4,2024-08-31,26-168,at AUT,Werder Bremen,,Dortmund,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,59,62,95.2,0,1,1,0,2,1210,368,12,12,100.0,39,41,95.1,6,7,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,38,32,1,0,71,4,4,2,2,0,1,2,50.0,1,0,0,0,1,5,4,0,1,0,0,0,0,DF,Match Report
30,Senne Lynen,2,22,1,0,0,41,2,2024-09-15,25-209,be BEL,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,89,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.8,0,22,29,75.9,0,1,0,0,1,408,155,7,10,70.0,13,15,86.7,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,4,23,16,3,2,41,2,2,1,1,0,0,0,,0,0,0,0,3,5,3,0,0,0,0,0,0,MF,Match Report
31,Jens Stage,3,24,4,1,0,58,0,2024-09-15,27-312,dk DEN,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,11.7,0,24,39,61.5,0,4,1,0,3,411,172,13,18,72.2,8,14,57.1,3,6,50.0,4,2,0,0,2,0,0,1,1,0,0,0,0,0,58,7,22,25,11,7,58,0,0,0,0,0,0,2,0.0,2,3,1,2,2,2,5,0,0,0,0,2,2,MF,Match Report
32,Romano Schmid,2,28,6,1,0,52,1,2024-09-15,24-232,at AUT,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,90,0,1,1,0,0,0,0,2,0.0,,0,0.0,24.2,0,28,40,70.0,4,2,3,0,6,441,152,14,18,77.8,9,15,60.0,3,5,60.0,6,5,0,0,1,0,0,1,1,0,0,0,0,0,52,1,14,20,19,2,52,1,0,0,1,0,0,2,0.0,2,2,0,2,0,1,2,0,0,0,0,0,2,MF,Match Report
33,Mitchell Weiser,3,26,1,0,0,56,4,2024-09-15,30-147,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,11.7,0,26,37,70.3,0,1,0,0,0,365,229,19,23,82.6,5,6,83.3,1,4,25.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,56,3,18,28,10,3,56,4,4,0,4,0,1,2,50.0,1,1,0,1,0,4,3,0,0,0,0,0,1,"DF,MF",Match Report
34,Marvin Ducksch,1,11,3,0,0,32,0,2024-09-15,30-192,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,66,1,0,1,0,1,1,0,1,0.0,,0,0.0,29.1,0,11,22,50.0,1,0,1,1,0,240,66,3,4,75.0,4,8,50.0,3,7,42.9,3,2,1,0,0,0,0,0,0,0,0,0,0,0,32,4,6,8,18,5,31,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,0,0,0,0,0,1,FW,Match Report
35,Julián Malatini,0,7,0,0,0,15,0,2024-09-15,23-107,ar ARG,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,N,24,0,0,0,0,0,0,0,0,,,0,,,0,7,11,63.6,0,1,0,0,1,107,48,5,6,83.3,2,2,100.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,11,4,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,1,0,DF,Match Report
36,Marco Grüll,1,13,1,0,0,30,1,2024-09-15,26-071,at AUT,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,N,77,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.8,0,13,16,81.3,0,1,2,0,3,211,66,8,8,100.0,4,4,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,17,10,2,30,1,1,0,1,0,0,1,0.0,1,3,1,2,1,2,0,0,0,0,0,1,4,"FW,MF",Match Report
37,Michael Zetterer,0,28,0,0,1,47,0,2024-09-15,29-065,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,42,66.7,0,2,0,0,0,921,588,3,3,100.0,13,14,92.9,12,25,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,45,47,0,0,0,47,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,GK,Match Report
38,Justin Njinmah,0,2,1,1,0,4,0,2024-09-15,23-305,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,12,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,20,1,2,4,50.0,0,0,,0,0,,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,2,2,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
39,Niklas Stark,0,28,1,0,0,54,1,2024-09-15,29-154,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,37,75.7,0,0,0,0,2,514,182,12,16,75.0,12,13,92.3,3,6,50.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,54,18,38,16,0,0,54,1,1,1,0,0,0,1,0.0,1,2,2,0,1,2,11,0,0,0,0,1,0,DF,Match Report
40,Skelly Alvero,0,0,0,0,0,2,1,2024-09-15,22-134,fr FRA,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
41,Derrick Köhn,1,5,0,0,0,10,0,2024-09-15,25-224,gh GHA,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,N,24,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,10.2,0,5,5,100.0,0,0,1,0,1,88,26,1,1,100.0,4,4,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,4,3,1,10,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,0,0,0,0,0,"DF,FW",Match Report
42,Felix Agu,0,24,3,0,0,32,0,2024-09-15,24-354,ng NGA,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,66,0,0,0,0,0,0,0,0,,,0,,,0,24,26,92.3,3,0,3,3,1,457,141,7,8,87.5,15,15,100.0,2,2,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,32,3,13,10,9,1,32,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,0,0,0,1,1,DF,Match Report
43,Anthony Jung,0,46,2,1,0,67,2,2024-09-15,32-317,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,56,82.1,0,2,1,0,4,887,221,11,13,84.6,31,36,86.1,2,5,40.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,67,13,44,22,2,0,67,2,2,2,0,0,0,0,,0,0,0,0,0,2,8,0,0,0,0,0,0,DF,Match Report
44,Keke Topp,0,0,0,0,0,0,0,2024-09-15,20-174,de GER,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
45,Marco Friedl,0,26,0,0,0,35,0,2024-09-15,26-183,at AUT,Werder Bremen,@,Mainz 05,de Bundesliga,W 2-1,Y,59,0,0,0,0,0,0,0,0,,,0,,,0,26,28,92.9,0,1,1,0,3,570,195,4,4,100.0,17,17,100.0,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,25,8,2,0,35,0,0,0,0,0,0,0,,0,1,1,0,1,1,5,0,0,1,0,1,0,DF,Match Report
46,Senne Lynen,0,18,0,0,0,38,4,2024-09-21,25-215,be BEL,Werder Bremen,,Bayern Munich,de Bundesliga,L 0-5,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,23,78.3,0,1,0,0,1,378,64,5,5,100.0,11,15,73.3,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,25,8,5,0,38,4,2,1,1,2,3,4,75.0,1,4,1,3,1,5,2,0,0,0,0,1,1,MF,Match Report
