Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Abdel Abqar,0,16,0,0,1,35,1,8/16/2024,25-159,ma MAR,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,16,27,59.3,0,0,0,0,1,385,129,3,4,75,9,12,75,4,11,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,15,19,1,0,35,1,1,0,1,0,1,1,100,0,1,0,1,2,3,1,0,1,0,0,8,0,DF,Match Report
2,Jon Guridi,1,15,1,1,0,29,1,8/16/2024,29-170,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,67,0,0,0,0,0,0,0,1,0,,0,0,18.5,0,15,23,65.2,0,0,1,0,2,244,62,9,12,75,5,8,62.5,1,1,100,1,1,0,0,0,0,0,1,1,0,0,0,0,0,29,3,5,14,11,4,29,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,0,"MF,FW",Match Report
3,Stoichkov,1,4,2,0,0,13,1,8/16/2024,30-285,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,N,23,0,0,0,0,0,0,0,1,0,,0,0,14.4,0,4,7,57.1,0,2,0,0,2,81,43,0,2,0,3,4,75,1,1,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,9,5,3,13,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,FW",Match Report
4,Antonio Blanco,2,31,2,1,0,45,2,8/16/2024,24-024,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,90,0,1,1,0,0,0,0,2,0,,0,0,26.7,0,31,35,88.6,1,6,1,0,6,610,277,9,9,100,17,19,89.5,5,7,71.4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,45,1,12,26,7,0,45,2,0,1,1,0,2,2,100,0,0,0,0,2,4,1,0,0,0,0,4,3,MF,Match Report
5,Hugo Novoa,1,7,2,0,0,15,0,8/16/2024,21-228,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,N,33,0,0,0,0,0,0,0,1,0,,0,0,9.7,0,7,10,70,0,0,0,0,2,100,14,6,9,66.7,1,1,100,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,4,10,1,15,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,0,"DF,MF",Match Report
6,Asier Villalibre,1,3,0,0,0,4,0,8/16/2024,26-321,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,N,11,0,0,0,0,0,0,0,1,0,0,1,100,13.2,0,3,3,100,0,0,0,0,0,56,10,2,2,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
7,Nahuel Tenaglia,0,16,0,0,0,33,3,8/16/2024,28-177,ar ARG,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,16,22,72.7,0,0,0,0,0,291,90,7,9,77.8,8,8,100,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,26,7,0,0,33,3,3,3,0,0,2,2,100,0,0,0,0,0,3,4,0,0,0,0,0,0,DF,Match Report
8,Moussa Diarra,0,26,1,0,0,42,1,8/16/2024,23-280,ml MLI,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,35,74.3,0,2,0,0,2,435,222,12,13,92.3,13,19,68.4,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,2,13,21,8,0,42,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,2,0,DF,Match Report
9,Ander Guevara,0,33,3,0,0,52,1,8/16/2024,27-040,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,79,0,0,0,0,0,0,0,0,,,0,,,0,33,42,78.6,1,6,0,0,6,589,156,14,17,82.4,17,17,100,2,6,33.3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,52,4,13,34,5,0,52,1,0,1,0,0,1,1,100,0,1,0,1,1,2,1,0,0,0,0,1,0,MF,Match Report
10,Carlos Vicente,0,42,2,0,0,58,2,8/16/2024,25-115,es ESP,Alavés,@,Celta Vigo,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,48,87.5,2,2,2,2,4,664,321,25,26,96.2,13,17,76.5,3,4,75,2,2,0,0,0,0,0,0,0,0,0,0,0,0,58,2,11,26,21,2,58,2,2,2,0,0,1,1,100,0,0,0,0,2,4,1,0,0,0,0,0,0,"FW,MF",Match Report
