Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Beñat Prados,0,20,1,0,1,33,1,8/15/2024,23-189,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,56,0,0,0,0,0,0,0,0,,,0,,,0,20,28,71.4,1,3,0,0,1,277,64,13,15,86.7,6,10,60,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,1,3,26,4,0,33,1,1,0,1,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,1,1,MF,Match Report
2,Unai Gómez,0,8,3,0,1,17,0,8/15/2024,21-082,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,N,34,0,0,0,0,0,0,0,0,,,0,,,0,8,12,66.7,0,0,0,0,0,137,25,4,4,100,3,4,75,1,4,25,3,1,1,0,0,1,0,0,0,0,0,0,0,0,17,1,2,3,12,0,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,1,"MF,FW",Match Report
3,Yeray Álvarez,0,52,1,1,0,73,1,8/15/2024,29-204,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,52,59,88.1,0,3,0,0,12,1061,330,11,11,100,37,42,88.1,4,5,80,1,1,0,0,0,0,0,1,1,0,0,0,0,0,73,5,22,49,2,1,73,1,0,0,0,1,1,1,100,0,0,0,0,2,3,6,0,0,0,0,1,1,DF,Match Report
4,Ander Herrera,0,27,2,0,1,37,1,8/15/2024,35-001,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,N,34,0,0,0,0,0,0,0,0,,,0,,,0,27,32,84.4,1,6,0,0,2,458,35,10,12,83.3,15,18,83.3,1,1,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,37,1,4,30,3,1,37,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,2,2,MF,Match Report
5,Iñigo Lekue,0,14,1,0,0,17,0,8/15/2024,31-103,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,N,10,0,0,0,0,0,0,0,0,,,0,,,0,14,16,87.5,1,2,0,0,3,216,75,5,6,83.3,8,9,88.9,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,9,4,0,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,DF,Match Report
6,Iñaki Williams,2,17,0,0,0,36,1,8/15/2024,30-061,gh GHA,Athletic Club,,Getafe,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,2,0,,0,0,22.1,0,17,26,65.4,0,2,1,0,1,211,48,11,13,84.6,5,8,62.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,3,11,22,0,36,1,0,0,0,1,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,1,FW,Match Report
7,Gorka Guruzeta,1,16,2,1,0,30,0,8/15/2024,27-338,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,90,0,1,1,0,0,0,0,1,0,,0,0,9,0,16,21,76.2,2,0,0,0,0,205,10,12,13,92.3,4,7,57.1,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,30,2,2,23,5,2,30,0,0,0,0,0,0,0,,0,3,1,2,0,0,1,0,0,0,0,3,1,FW,Match Report
8,Andoni Gorosabel,0,24,0,0,1,34,1,8/15/2024,28-011,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,24,28,85.7,0,1,0,0,1,310,63,17,18,94.4,7,9,77.8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,3,25,6,1,34,1,0,0,1,0,0,1,0,1,1,0,1,0,1,2,0,1,0,0,3,0,DF,Match Report
9,Alex Padilla,0,26,0,0,0,45,0,8/15/2024,20-349,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,43,60.5,0,0,0,0,0,680,475,4,4,100,16,16,100,6,23,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,44,1,0,0,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
10,Daniel Vivian,0,18,0,0,0,20,0,8/15/2024,25-031,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,N,10,0,0,0,0,0,0,0,0,,,0,,,0,18,19,94.7,0,2,0,0,1,372,138,3,3,100,14,14,100,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,9,1,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
11,Nico Williams,2,4,1,0,0,11,0,8/15/2024,22-034,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,N,19,0,0,0,0,0,0,0,2,0,0,2,100,29.3,1,4,8,50,0,0,0,0,0,52,3,3,5,60,1,1,100,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,8,1,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
12,Mikel Vesga,0,27,0,0,0,44,2,8/15/2024,31-086,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,56,0,0,0,0,0,0,0,0,,,0,,,0,27,38,71.1,0,4,0,0,6,510,118,9,13,69.2,16,20,80,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,9,30,5,0,44,2,0,2,0,0,1,2,50,1,0,0,0,1,3,0,0,0,0,0,1,0,MF,Match Report
13,Yuri Berchiche,1,57,1,0,0,70,1,8/15/2024,34-187,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0,0,1,100,30.3,0,57,65,87.7,0,3,0,0,8,1036,360,27,33,81.8,23,24,95.8,7,7,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,70,1,13,43,14,1,70,1,1,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,0,0,0,DF,Match Report
14,Aitor Paredes,0,49,1,0,0,66,0,8/15/2024,24-108,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,49,56,87.5,1,1,0,0,3,1083,330,13,13,100,29,29,100,7,13,53.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,5,27,39,0,0,66,0,0,0,0,0,0,1,0,1,1,1,0,0,0,8,1,0,0,0,1,2,DF,Match Report
15,Oihan Sancet,1,18,0,0,0,26,1,8/15/2024,24-112,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,90,1,0,1,1,0,0,0,1,1,1,1,100,25.5,0,18,23,78.3,0,3,0,0,3,266,41,9,12,75,9,9,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,17,9,0,26,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,1,MF,Match Report
16,Álex Berenguer,0,12,0,0,0,33,1,8/15/2024,29-042,es ESP,Athletic Club,,Getafe,es La Liga,D 1-1,Y,71,0,0,0,0,0,0,0,0,,,0,,,0,12,23,52.2,0,1,0,0,1,215,31,7,9,77.8,4,9,44.4,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,4,14,16,1,33,1,0,1,0,0,1,1,100,0,1,0,1,0,1,1,0,0,0,0,1,1,"FW,MF",Match Report
17,Beñat Prados,2,20,0,0,0,32,1,8/24/2024,23-198,es ESP,Athletic Club,@,Barcelona,es La Liga,L 1-2,Y,77,0,0,0,0,0,0,0,2,0,0,1,50,23.1,0,20,24,83.3,0,0,0,0,1,314,59,11,12,91.7,8,9,88.9,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,9,17,6,1,32,1,1,0,1,0,1,4,25,3,4,0,4,1,2,0,0,0,0,0,0,0,MF,Match Report
18,Mikel Jauregizar,0,7,0,0,1,10,2,8/24/2024,20-286,es ESP,Athletic Club,@,Barcelona,es La Liga,L 1-2,N,28,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,0,0,0,0,0,90,1,5,6,83.3,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,5,1,0,10,2,1,2,0,0,1,1,100,0,0,0,0,0,2,0,0,1,0,0,0,0,MF,Match Report
19,Unai Gómez,0,3,0,0,0,4,0,8/24/2024,21-091,es ESP,Athletic Club,@,Barcelona,es La Liga,L 1-2,N,29,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100,0,0,0,0,1,42,9,2,2,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,2,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,"MF,FW",Match Report
