Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Ángel Correa,1,9,2,0,0,18,1,8/19/2024,29-163,ar ARG,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,N,45,0,0,0,0,0,0,0,1,0,,0,0,12.8,0,9,11,81.8,1,0,1,0,1,113,11,4,5,80,4,5,80,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,18,0,6,5,7,2,18,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
2,Marcos Llorente,1,42,3,1,0,56,1,8/19/2024,29-202,es ESP,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,Y,90,1,0,1,1,0,0,0,1,1,1,1,100,10.8,0,42,50,84,1,5,2,2,10,700,255,18,22,81.8,22,25,88,1,1,100,3,3,0,0,0,0,0,1,1,0,0,0,0,0,56,0,8,24,24,3,56,1,1,1,0,0,1,1,100,0,1,0,1,0,1,0,0,0,0,0,0,1,"DF,MF",Match Report
3,Julián Álvarez,0,2,0,0,0,3,0,8/19/2024,24-201,ar ARG,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,N,13,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100,0,0,0,0,0,19,5,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,2,0,FW,Match Report
4,Rodrigo De Paul,0,26,2,0,0,31,0,8/19/2024,30-087,ar ARG,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,N,27,0,0,0,0,0,0,0,0,,,0,,,0,26,30,86.7,2,2,0,0,2,414,88,10,11,90.9,16,17,94.1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5,22,4,0,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
5,Nahuel Molina,0,31,0,0,0,42,2,8/19/2024,26-135,ar ARG,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,N,37,0,0,0,0,0,0,0,0,,,0,,,0,31,38,81.6,0,1,1,0,3,464,115,19,20,95,11,12,91.7,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,8,14,20,0,42,2,2,1,1,0,1,1,100,0,1,0,1,0,2,0,0,0,0,0,0,0,DF,Match Report
6,Samuel Lino,3,33,2,0,1,52,1,8/19/2024,24-240,br BRA,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,3,0,0,1,33.3,11.1,0,33,41,80.5,0,0,1,0,2,478,79,19,21,90.5,14,16,87.5,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,52,1,15,15,23,6,52,1,0,1,0,0,1,4,25,3,1,0,1,0,1,0,0,1,0,0,3,2,"MF,DF",Match Report
7,Pablo Barrios,2,50,4,2,1,69,2,8/19/2024,21-065,es ESP,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,Y,90,0,1,1,0,0,0,0,2,0,,0,0,24.7,0,50,60,83.3,1,3,2,1,7,803,224,24,27,88.9,22,22,100,3,5,60,4,4,0,0,0,0,0,2,2,0,0,0,0,0,69,3,17,35,17,1,69,2,0,1,1,0,0,2,0,2,0,0,0,2,4,0,0,1,0,0,2,0,MF,Match Report
8,César Azpilicueta,0,88,0,0,0,104,4,8/19/2024,34-357,es ESP,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,88,97,90.7,0,11,2,1,12,1599,677,36,38,94.7,45,46,97.8,7,13,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,7,31,61,13,1,104,4,2,2,2,0,4,7,57.1,3,1,0,1,0,4,2,0,0,0,0,0,1,DF,Match Report
9,Koke,0,45,2,0,0,55,3,8/19/2024,32-224,es ESP,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,Y,63,0,0,0,0,0,0,0,0,,,0,,,0,45,50,90,2,1,2,1,4,822,196,17,20,85,25,25,100,3,4,75,2,2,0,0,0,0,0,0,0,0,0,0,0,0,55,4,20,28,8,0,55,3,2,2,0,1,2,3,66.7,1,0,0,0,0,3,0,0,0,0,0,1,0,MF,Match Report
10,Axel Witsel,0,28,0,0,0,33,0,8/19/2024,35-220,be BEL,Atlético Madrid,@,Villarreal,es La Liga,D 2-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,28,30,93.3,0,1,0,0,0,494,152,8,8,100,20,22,90.9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,17,16,0,0,33,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,DF,Match Report
