Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Óscar Mingueza,1,56,2,1,0,83,3,8/16/2024,25-095,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,1,0,0,1,100,33.3,1,56,75,74.7,1,7,1,0,8,1038,334,26,30,86.7,24,30,80,5,12,41.7,2,2,0,0,0,0,0,1,1,0,0,0,0,0,83,2,18,48,19,0,83,3,2,0,3,0,2,2,100,0,0,0,0,1,4,2,0,0,0,0,0,0,"MF,DF",Match Report
2,Javi Rodríguez,0,26,2,0,0,37,1,8/16/2024,21-051,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,N,45,0,0,0,0,0,0,0,0,,,0,,,0,26,29,89.7,0,1,0,0,2,476,157,12,12,100,10,11,90.9,4,5,80,2,1,0,0,0,1,0,0,0,0,0,0,0,0,37,2,10,23,4,0,37,1,1,1,0,0,1,1,100,0,1,1,0,1,2,2,0,0,0,0,0,1,DF,Match Report
3,Williot Swedberg,1,8,1,1,0,16,0,8/16/2024,20-197,se SWE,Celta Vigo,,Alavés,es La Liga,W 2-1,N,45,1,1,2,1,0,0,0,1,1,1,1,100,20.2,0,8,9,88.9,1,0,1,0,2,120,42,2,2,100,5,5,100,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,16,0,4,2,10,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,1,"FW,MF",Match Report
4,Damián Rodríguez,0,44,0,0,1,58,1,8/16/2024,21-152,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,51,86.3,0,6,0,0,5,747,258,19,20,95,21,22,95.5,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,8,44,6,0,58,1,0,1,0,0,1,3,33.3,2,1,0,1,3,4,1,0,1,0,0,1,1,MF,Match Report
5,Carlos Dominguez,0,79,0,0,0,99,0,8/16/2024,23-187,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,79,92,85.9,0,5,0,0,9,1379,408,28,29,96.6,49,55,89.1,2,7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,6,27,70,2,0,99,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,0,0,0,0,0,DF,Match Report
6,Carl Starfelt,0,58,1,0,0,62,0,8/16/2024,29-076,se SWE,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,58,59,98.3,1,0,0,0,3,1041,349,24,24,100,31,32,96.9,3,3,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,4,26,36,0,0,62,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0,0,0,0,0,1,DF,Match Report
7,Hugo Álvarez,0,40,1,1,0,69,3,8/16/2024,21-045,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,40,54,74.1,1,2,0,0,2,649,172,19,24,79.2,18,20,90,2,3,66.7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,69,1,11,34,24,4,69,3,0,0,2,1,0,0,,0,0,0,0,0,3,3,0,0,0,0,2,2,"MF,DF",Match Report
8,Borja Iglesias,0,2,0,0,0,10,1,8/16/2024,31-212,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,N,13,0,0,0,0,0,0,0,0,,,0,,,0,2,5,40,0,0,0,0,0,47,0,0,1,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,3,6,0,10,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,1,FW,Match Report
9,Javier Manquillo,0,37,0,0,0,44,0,8/16/2024,30-103,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,37,44,84.1,0,3,0,0,2,712,150,12,14,85.7,24,26,92.3,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,15,28,1,0,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
10,Iago Aspas,3,24,0,0,1,42,0,8/16/2024,37-015,es ESP,Celta Vigo,,Alavés,es La Liga,W 2-1,Y,90,1,0,1,1,0,0,0,3,0.33,0.5,2,66.7,10.3,0,24,33,72.7,0,3,2,0,7,444,117,12,16,75,8,10,80,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,4,23,19,4,42,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,1,3,"FW,MF",Match Report
