Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Álvaro Aguado,1,11,1,0,0,16,1,8/19/2024,28-110,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,N,13,0,0,0,0,0,0,0,1,0,,0,0,26,1,11,14,78.6,1,2,2,2,3,249,106,2,3,66.7,7,8,87.5,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,8,0,16,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
2,Jofre,0,8,1,0,0,13,1,8/19/2024,23-063,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,N,21,0,0,0,0,0,0,0,0,,,0,,,0,8,10,80,1,0,1,1,0,170,101,4,4,100,2,3,66.7,2,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3,2,8,2,13,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,3,"MF,FW",Match Report
3,Omar El Hilali,0,42,0,0,0,61,2,8/19/2024,20-342,ma MAR,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,49,85.7,0,1,0,0,2,742,223,16,16,100,26,30,86.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5,26,32,3,0,61,2,1,2,0,0,1,4,25,3,2,1,1,0,2,5,0,0,0,0,1,0,DF,Match Report
4,Carlos Romero,0,38,3,0,0,57,1,8/19/2024,22-295,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,51,74.5,1,3,1,0,1,584,198,21,28,75,16,18,88.9,1,2,50,3,1,2,0,0,0,0,0,0,0,0,0,0,0,57,2,17,31,11,0,57,1,1,0,1,0,0,2,0,2,1,0,1,0,1,2,0,0,0,0,0,0,DF,Match Report
5,Javi Puado,3,22,2,0,0,35,0,8/19/2024,26-086,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,3,0,,0,0,20.7,0,22,26,84.6,0,3,0,0,5,386,50,9,10,90,11,11,100,2,4,50,2,1,0,0,0,1,0,0,0,0,0,0,0,0,35,0,2,22,11,2,35,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,2,"FW,MF",Match Report
6,Pere Milla,0,13,1,0,0,23,0,8/19/2024,31-331,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,56,0,0,0,0,0,0,0,0,,,0,,,0,13,19,68.4,1,0,0,0,1,214,50,7,9,77.8,5,6,83.3,1,2,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,13,7,1,23,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,"MF,FW",Match Report
7,Alejo Véliz,1,9,0,0,0,27,1,8/19/2024,20-335,ar ARG,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,69,0,0,0,0,0,0,0,1,0,0,1,100,11.3,0,9,15,60,0,1,0,0,1,103,31,7,7,100,1,5,20,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,23,3,1,27,1,1,0,1,0,1,1,100,0,3,1,2,1,2,0,0,0,0,0,0,2,FW,Match Report
8,Irvin Cardona,1,6,2,0,1,9,0,8/19/2024,27-011,mt MLT,Espanyol,@,Valladolid,es La Liga,L 0-1,N,34,0,0,0,0,0,0,0,1,0,,0,0,20.9,0,6,8,75,0,1,0,0,0,87,23,3,4,75,3,4,75,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,7,0,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,1,"FW,MF",Match Report
9,Leandro Cabrera,0,66,3,0,0,96,0,8/19/2024,33-063,uy URU,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,66,89,74.2,1,4,0,0,6,1333,573,22,25,88,39,48,81.3,5,15,33.3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,96,11,44,49,4,3,96,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0,0,0,0,0,0,DF,Match Report
10,Álvaro Tejero,1,23,2,0,0,38,0,8/19/2024,28-030,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,69,0,0,0,0,0,0,0,1,0,,0,0,9.7,0,23,33,69.7,2,0,1,1,1,413,92,9,9,100,10,14,71.4,3,8,37.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,1,6,18,15,1,38,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,"MF,DF",Match Report
11,Joan García,0,28,0,0,0,34,0,8/19/2024,23-107,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,34,82.4,0,0,0,0,0,683,515,5,5,100,14,14,100,8,14,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,34,0,0,0,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
12,Antoniu,1,3,3,0,1,7,0,8/19/2024,21-349,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,N,21,0,0,0,0,0,0,0,1,0,,0,0,34.5,0,3,4,75,1,1,0,0,0,31,15,2,3,66.7,1,1,100,0,0,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,3,3,0,7,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,2,3,"FW,MF",Match Report
13,Sergi Gómez,1,66,1,0,0,77,0,8/19/2024,32-144,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,1,0,0,1,100,4.9,0,66,72,91.7,0,0,0,0,2,1250,513,21,23,91.3,39,41,95.1,6,7,85.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,8,41,34,2,2,77,0,0,0,0,0,0,0,,0,2,2,0,1,1,1,0,0,0,0,0,0,DF,Match Report
14,Alex Král,1,16,1,0,0,26,2,8/19/2024,26-092,cz CZE,Espanyol,@,Valladolid,es La Liga,L 0-1,N,34,0,0,0,0,0,0,0,1,0,,0,0,24,0,16,20,80,0,2,0,0,2,261,81,8,8,100,7,8,87.5,1,3,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,3,8,16,2,0,26,2,2,1,1,0,1,1,100,0,0,0,0,0,2,2,0,0,0,0,0,1,MF,Match Report
15,Pol Lozano,0,24,0,0,0,30,1,8/19/2024,24-318,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,56,0,0,0,0,0,0,0,0,,,0,,,0,24,28,85.7,0,3,0,0,2,396,68,9,9,100,14,17,82.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,5,23,2,0,30,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,MF,Match Report
16,José Gragera,0,42,0,0,0,54,3,8/19/2024,23-263,es ESP,Espanyol,@,Valladolid,es La Liga,L 0-1,Y,77,0,0,0,0,0,0,0,0,,,0,,,0,42,48,87.5,0,1,0,0,1,769,93,14,16,87.5,25,25,100,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,6,46,2,1,54,3,2,1,2,0,1,3,33.3,2,0,0,0,1,4,0,0,0,0,0,3,0,MF,Match Report
17,Álvaro Aguado,0,7,1,0,0,12,1,8/24/2024,28-115,es ESP,Espanyol,,Real Sociedad,es La Liga,L 0-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70,0,2,0,0,2,121,37,2,2,100,5,6,83.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,6,4,0,12,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
18,Jofre,3,17,3,0,0,31,1,8/24/2024,23-068,es ESP,Espanyol,,Real Sociedad,es La Liga,L 0-1,Y,82,0,0,0,0,0,0,0,3,0,,0,0,18.5,0,17,21,81,2,0,2,0,4,252,94,9,11,81.8,8,9,88.9,0,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,31,3,6,10,16,3,31,1,1,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,2,2,"MF,FW",Match Report
19,Omar El Hilali,0,30,2,0,0,39,2,8/24/2024,20-347,ma MAR,Espanyol,,Real Sociedad,es La Liga,L 0-1,Y,86,0,0,0,0,0,0,0,0,,,0,,,0,30,36,83.3,1,4,0,0,4,684,219,13,14,92.9,7,10,70,10,11,90.9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,39,1,12,26,3,0,39,2,1,1,1,0,1,2,50,1,0,0,0,1,3,2,0,0,0,0,2,1,DF,Match Report
20,Carlos Romero,2,13,6,0,0,34,3,8/24/2024,22-300,es ESP,Espanyol,,Real Sociedad,es La Liga,L 0-1,Y,86,0,0,0,0,0,0,0,2,0,,0,0,18.9,0,13,24,54.2,1,2,0,0,3,167,70,10,15,66.7,3,6,50,0,3,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,34,3,7,11,17,1,34,3,1,1,1,1,1,1,100,0,1,0,1,1,4,1,0,0,0,0,0,1,DF,Match Report
21,Javi Puado,3,9,1,0,0,17,1,8/24/2024,26-091,es ESP,Espanyol,,Real Sociedad,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,3,0,,0,0,12.6,0,9,12,75,1,0,0,0,1,168,3,4,5,80,4,5,80,1,2,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,13,7,17,1,1,0,1,0,1,1,100,0,1,0,1,0,1,0,0,0,0,0,0,1,"FW,MF",Match Report
22,Pere Milla,0,2,0,0,0,6,0,8/24/2024,31-336,es ESP,Espanyol,,Real Sociedad,es La Liga,L 0-1,N,4,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50,0,0,0,0,0,83,11,0,1,0,0,1,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,1,0,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,2,"MF,FW",Match Report
23,Alejo Véliz,4,10,1,0,1,22,0,8/24/2024,20-340,ar ARG,Espanyol,,Real Sociedad,es La Liga,L 0-1,Y,90,0,0,0,0,0,0,0,4,0,0,2,50,12.5,0,10,10,100,1,1,0,0,1,114,31,8,8,100,2,2,100,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22,5,5,9,8,5,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,1,0,0,3,7,FW,Match Report
