Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Pedri,1,15,0,0,0,24,1,8/17/2024,21-266,es ESP,Barcelona,@,Valencia,es La Liga,W 2-1,N,27,0,0,0,0,0,0,0,1,0,,0,0,29,0,15,20,75,0,1,0,0,0,270,21,7,9,77.8,5,6,83.3,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,14,9,1,24,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,MF,Match Report
2,Andreas Christensen,0,14,0,0,1,18,0,8/17/2024,28-129,dk DEN,Barcelona,@,Valencia,es La Liga,W 2-1,N,27,0,0,0,0,0,0,0,0,,,0,,,0,14,16,87.5,0,0,0,0,0,254,77,4,5,80,10,11,90.9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,8,0,0,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,0,0,1,0,DF,Match Report
3,Marc Bernal,0,49,0,0,0,59,4,8/17/2024,17-083,es ESP,Barcelona,@,Valencia,es La Liga,W 2-1,Y,70,0,0,0,0,0,0,0,0,,,0,,,0,49,52,94.2,0,5,0,0,1,903,217,19,20,95,25,27,92.6,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,16,39,4,1,59,4,3,2,2,0,4,5,80,1,1,1,0,0,4,0,0,0,0,0,0,1,MF,Match Report
4,Eric García,0,10,0,0,0,15,0,8/17/2024,23-221,es ESP,Barcelona,@,Valencia,es La Liga,W 2-1,N,20,0,0,0,0,0,0,0,0,,,0,,,0,10,11,90.9,0,2,0,0,2,171,66,4,5,80,5,5,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,10,2,1,15,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,0,0,0,0,0,"DF,MF",Match Report
5,Marc Casado,3,52,5,0,0,79,4,8/17/2024,20-338,es ESP,Barcelona,@,Valencia,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,3,0,,0,0,16.5,0,52,62,83.9,2,9,0,0,10,905,207,25,30,83.3,18,22,81.8,6,6,100,5,5,0,0,0,0,0,0,0,0,0,0,0,0,79,1,9,47,23,3,79,4,1,0,3,1,3,4,75,1,0,0,0,0,4,3,0,0,0,0,1,1,MF,Match Report
6,Raphinha,2,35,4,1,0,61,1,8/17/2024,27-247,br BRA,Barcelona,@,Valencia,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,2,0,0,1,50,29.3,1,35,52,67.3,3,2,2,1,6,686,167,18,22,81.8,9,15,60,8,10,80,4,2,1,0,0,1,0,1,0,0,0,0,1,0,61,1,6,17,40,4,61,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,2,"FW,MF",Match Report
7,Iñigo Martínez,1,75,1,0,0,90,0,8/17/2024,33-092,es ESP,Barcelona,@,Valencia,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,1,0,,0,0,10.1,0,75,85,88.2,0,4,0,0,7,1320,496,28,31,90.3,43,47,91.5,4,6,66.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,90,4,39,46,5,2,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,4,1,DF,Match Report
8,Jules Koundé,0,68,0,0,1,82,1,8/17/2024,25-279,fr FRA,Barcelona,@,Valencia,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,68,75,90.7,0,9,0,0,5,1034,383,35,36,97.2,31,32,96.9,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,20,48,14,1,82,1,0,1,0,0,1,1,100,0,1,0,1,1,2,1,0,1,0,0,3,0,DF,Match Report
9,Alejandro Balde,1,42,3,0,0,50,0,8/17/2024,20-304,es ESP,Barcelona,@,Valencia,es La Liga,W 2-1,Y,63,0,0,0,0,0,0,0,1,0,0,1,100,31.7,0,42,47,89.4,2,2,2,2,5,793,166,15,18,83.3,25,26,96.2,2,3,66.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,50,0,7,31,12,2,50,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,DF,Match Report
10,Marc-André ter Stegen,0,34,0,0,0,42,0,8/17/2024,32-109,de GER,Barcelona,@,Valencia,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,34,41,82.9,0,0,0,0,0,902,615,2,2,100,23,24,95.8,9,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,42,0,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
