Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Luis Milla,0,18,3,1,0,45,0,8/15/2024,29-313,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,18,34,52.9,2,1,0,0,3,371,200,8,12,66.7,5,11,45.5,4,8,50,3,0,2,0,0,1,0,1,0,1,0,0,0,0,45,1,4,32,10,0,45,0,0,0,0,0,0,2,0,2,2,0,2,1,1,1,0,0,0,0,2,1,MF,Match Report
2,Peter González,1,5,0,0,0,11,0,8/15/2024,22-021,do DOM,Getafe,@,Athletic Club,es La Liga,D 1-1,N,45,0,0,0,0,0,0,0,1,0,,0,0,12.8,0,5,8,62.5,0,0,0,0,0,73,42,1,2,50,3,4,75,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,5,3,1,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,"MF,FW",Match Report
3,Mauro Arambarri,0,4,0,0,0,10,0,8/15/2024,28-320,uy URU,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,39,0,0,0,0,0,0,0,0,,,0,,,0,4,9,44.4,0,0,0,0,0,57,6,2,3,66.7,0,0,,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,7,2,1,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
4,Alex Sola,1,5,2,0,0,18,1,8/15/2024,25-067,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,78,0,0,0,0,0,0,0,1,0,,0,0,33.3,0,5,10,50,1,1,0,0,1,89,30,3,5,60,0,1,0,1,2,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,10,4,1,18,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,0,0,0,0,0,0,1,"MF,FW",Match Report
5,Carles Aleñá,1,9,1,0,0,21,2,8/15/2024,26-223,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,N,51,0,0,0,0,0,0,0,1,0,0,1,100,11.6,0,9,15,60,0,0,0,0,0,166,44,4,4,100,4,7,57.1,1,4,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,5,10,7,1,21,2,2,0,2,0,2,3,66.7,1,1,0,1,0,2,2,0,0,0,0,2,2,"MF,FW",Match Report
6,Christantus Uche,1,7,0,0,1,26,2,8/15/2024,21-088,ng NGA,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,1,0,1,1,0,0,0,1,1,1,1,100,10.2,0,7,11,63.6,1,0,0,0,0,55,6,5,6,83.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,13,11,1,26,2,0,0,1,1,1,1,100,0,0,0,0,0,2,0,0,1,0,0,2,4,"FW,MF",Match Report
7,David Soria,0,8,0,0,0,21,0,8/15/2024,31-133,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,8,18,44.4,0,0,0,0,0,315,270,0,0,,4,4,100,4,14,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,21,0,0,0,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
8,Iglesias,0,15,1,1,0,45,5,8/15/2024,26-043,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,15,29,51.7,0,0,0,0,0,312,141,5,6,83.3,7,16,43.8,3,6,50,1,0,1,0,0,0,0,1,0,1,0,0,0,0,45,0,19,20,7,0,45,5,4,1,3,1,3,7,42.9,4,2,0,2,6,11,4,0,0,0,0,0,0,DF,Match Report
9,Djené,0,13,0,0,0,27,0,8/15/2024,32-228,tg TOG,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,17,76.5,0,0,0,0,1,221,75,6,6,100,5,5,100,2,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,22,6,0,0,27,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,0,0,0,0,1,"DF,MF",Match Report
10,Carles Pérez,2,6,3,0,0,21,0,8/15/2024,26-181,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,45,0,0,0,0,0,0,0,2,0,,0,0,27.1,0,6,9,66.7,1,1,0,0,1,121,85,1,1,100,4,5,80,1,2,50,3,1,1,1,0,0,0,0,0,0,0,0,0,0,21,0,1,10,11,1,21,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,1,"MF,FW",Match Report
11,Omar Alderete,2,16,2,0,0,36,1,8/15/2024,27-233,py PAR,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,2,0,,0,0,10,0,16,28,57.1,1,3,1,0,1,523,277,4,4,100,6,9,66.7,6,14,42.9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,36,3,17,16,3,3,36,1,0,1,0,0,0,0,,0,1,1,0,0,1,4,0,0,0,0,0,0,DF,Match Report
12,Yellu Santiago,0,0,0,0,0,2,2,8/15/2024,20-082,es ESP,Getafe,@,Athletic Club,es La Liga,D 1-1,N,12,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,1,MF,Match Report
13,Nabil Aberdin,1,11,1,0,0,29,4,8/15/2024,21-358,fr FRA,Getafe,@,Athletic Club,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0,,0,0,34.9,0,11,20,55,0,1,0,0,3,212,69,1,5,20,4,5,80,3,4,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,1,9,16,4,2,29,4,3,2,2,0,1,1,100,0,0,0,0,0,4,2,0,0,0,0,2,1,MF,Match Report
