Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Iker Almena,1,8,2,2,0,16,0,8/15/2024,20-103,es ESP,Girona,@,Betis,es La Liga,D 1-1,N,25,0,1,1,0,0,0,0,1,0,,0,0,24.7,0,8,11,72.7,1,0,0,0,1,120,21,4,4,100,4,5,80,0,0,,2,1,0,1,0,0,0,2,1,0,1,0,0,0,16,2,3,3,10,1,16,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,"FW,DF",Match Report
2,Jhon Solis,1,18,0,0,0,25,0,8/15/2024,19-317,co COL,Girona,@,Betis,es La Liga,D 1-1,N,25,0,0,0,0,0,0,0,1,0,,0,0,32.5,0,18,19,94.7,0,4,0,0,2,275,95,12,12,100,4,5,80,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,3,20,3,0,25,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,MF,Match Report
3,Portu,1,19,1,0,0,34,0,8/15/2024,32-086,es ESP,Girona,@,Betis,es La Liga,D 1-1,Y,65,0,0,0,0,0,0,0,1,0,,0,0,23.3,0,19,27,70.4,1,1,0,0,0,234,18,13,16,81.3,6,6,100,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,11,20,1,34,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,0,0,0,0,2,"FW,MF",Match Report
4,Cristhian Stuani,1,1,0,0,0,3,0,8/15/2024,37-308,uy URU,Girona,@,Betis,es La Liga,D 1-1,N,10,0,0,0,0,0,0,0,1,0,,0,0,8.5,0,1,1,100,0,0,0,0,0,6,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
5,Gabriel Osei Misehouy,2,6,1,0,0,10,0,8/15/2024,19-028,nl NED,Girona,@,Betis,es La Liga,D 1-1,N,20,1,0,1,1,0,0,0,2,0.5,1,1,50,8.4,0,6,7,85.7,1,3,0,0,2,89,26,2,2,100,4,4,100,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,3,6,2,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
6,Oriol Romeu,0,49,1,0,0,59,0,8/15/2024,32-326,es ESP,Girona,@,Betis,es La Liga,D 1-1,Y,65,0,0,0,0,0,0,0,0,,,0,,,0,49,54,90.7,0,5,0,0,3,770,195,26,27,96.3,20,20,100,3,5,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,59,1,10,45,4,0,59,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,0,0,0,2,1,MF,Match Report
7,Yangel Herrera,1,28,2,0,0,55,7,8/15/2024,26-214,ve VEN,Girona,@,Betis,es La Liga,D 1-1,Y,70,0,0,0,0,0,0,0,1,0,,0,0,11.8,0,28,40,70,1,3,2,1,7,480,188,14,16,87.5,12,15,80,2,5,40,2,2,0,0,0,0,0,0,0,0,0,0,0,0,55,0,17,25,13,1,55,7,3,4,3,0,2,3,66.7,1,2,0,2,0,7,0,0,0,0,0,2,1,MF,Match Report
8,Ladislav Krejčí,0,11,0,0,0,11,0,8/15/2024,25-117,cz CZE,Girona,@,Betis,es La Liga,D 1-1,N,10,0,0,0,0,0,0,0,0,,,0,,,0,11,11,100,0,0,0,0,0,147,36,8,8,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,2,0,0,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
9,Paulo Gazzaniga,0,31,0,0,0,46,0,8/15/2024,32-226,ar ARG,Girona,@,Betis,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,43,72.1,0,0,0,0,0,620,407,12,12,100,15,17,88.2,4,14,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,37,44,2,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
10,Daley Blind,0,71,2,0,0,91,4,8/15/2024,34-159,nl NED,Girona,@,Betis,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,71,80,88.8,0,7,0,0,9,1225,611,41,42,97.6,21,24,87.5,8,12,66.7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,91,6,34,51,6,0,91,4,1,2,2,0,3,3,100,0,2,1,1,5,9,3,0,0,0,0,1,0,DF,Match Report
