Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Jaime Mata,1,7,0,0,0,22,1,8/16/2024,35-297,es ESP,Las Palmas,,Sevilla,es La Liga,D 2-2,Y,67,0,0,0,0,0,0,0,1,0,,0,0,12,0,7,15,46.7,0,2,2,1,1,123,44,3,6,50,3,6,50,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,8,13,1,22,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0,0,0,0,2,1,"FW,MF",Match Report
2,Jasper Cillessen,0,31,0,0,0,44,0,8/16/2024,35-116,nl NED,Las Palmas,,Sevilla,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,41,75.6,0,0,0,0,0,744,541,5,6,83.3,20,22,90.9,6,13,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,43,1,0,0,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
3,Aboubacar Bassinga,0,2,0,0,0,4,0,8/16/2024,19-034,ci CIV,Las Palmas,,Sevilla,es La Liga,D 2-2,N,4,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50,0,0,0,0,0,53,0,1,1,100,0,0,,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
4,Scott McKenna,0,13,0,0,0,15,0,8/16/2024,27-278,sct SCO,Las Palmas,,Sevilla,es La Liga,D 2-2,N,22,0,0,0,0,0,0,0,0,,,0,,,0,13,15,86.7,0,0,0,0,0,223,84,5,7,71.4,8,8,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,14,1,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
5,Manuel Fuster,0,11,3,1,0,21,1,8/16/2024,26-299,es ESP,Las Palmas,,Sevilla,es La Liga,D 2-2,N,22,0,0,0,0,0,0,0,0,,,0,,,0,11,17,64.7,1,0,1,1,1,174,74,5,6,83.3,4,7,57.1,1,3,33.3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,21,0,1,11,9,0,21,1,0,0,1,0,1,2,50,1,0,0,0,0,1,0,0,0,0,0,1,1,"FW,MF",Match Report
6,Enzo Loiodice,0,38,4,0,0,55,1,8/16/2024,23-263,fr FRA,Las Palmas,,Sevilla,es La Liga,D 2-2,Y,68,0,0,0,0,0,0,0,0,,,0,,,0,38,47,80.9,2,5,0,0,3,742,241,19,21,90.5,13,18,72.2,6,8,75,4,1,3,0,0,0,0,0,0,0,0,0,0,0,55,2,6,42,7,0,55,1,1,1,0,0,0,0,,0,2,0,2,1,2,0,0,0,0,0,0,0,MF,Match Report
7,Oliver McBurnie,1,11,4,0,0,29,1,8/16/2024,28-073,sct SCO,Las Palmas,,Sevilla,es La Liga,D 2-2,Y,86,0,0,0,0,0,0,0,1,0,0,1,100,7.7,0,11,16,68.8,1,2,0,0,1,136,26,8,11,72.7,3,4,75,0,0,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,29,1,2,10,18,6,29,1,1,0,1,0,0,0,,0,2,0,2,1,2,1,0,0,0,0,1,2,FW,Match Report
8,Sandro Ramírez,2,3,0,0,0,11,1,8/16/2024,29-038,es ESP,Las Palmas,,Sevilla,es La Liga,D 2-2,N,23,1,0,1,1,0,0,0,2,0.5,1,1,50,23.8,0,3,5,60,0,1,0,0,1,46,15,1,2,50,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,4,5,1,11,1,0,1,0,0,1,2,50,1,0,0,0,2,3,0,0,0,0,0,0,2,"FW,MF",Match Report
9,Álex Muñoz,1,32,3,0,0,59,5,8/16/2024,30-017,es ESP,Las Palmas,,Sevilla,es La Liga,D 2-2,Y,68,0,0,0,0,0,0,0,1,0,,0,0,6.2,0,32,44,72.7,3,4,3,3,4,573,240,12,17,70.6,17,22,77.3,3,4,75,3,3,0,0,0,0,0,0,0,0,0,0,0,0,59,5,17,29,13,2,59,5,5,2,3,0,3,3,100,0,2,1,1,2,7,5,0,0,0,0,3,2,DF,Match Report
10,Kirian Rodríguez,1,65,1,0,0,88,1,8/16/2024,28-164,es ESP,Las Palmas,,Sevilla,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,1,0,,0,0,36,0,65,80,81.3,0,8,0,0,8,1102,353,30,33,90.9,32,37,86.5,3,9,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,88,4,25,53,10,1,88,1,1,1,0,0,1,1,100,0,2,0,2,0,1,2,0,0,0,0,0,1,MF,Match Report
