Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Yvan Neyou,1,23,0,0,0,50,3,8/17/2024,27-227,cm CMR,Leganés,@,Osasuna,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0,,0,0,25.9,0,23,39,59,0,1,0,0,1,262,72,10,15,66.7,5,11,45.5,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,20,25,5,0,50,3,2,1,2,0,3,3,100,0,3,0,3,1,4,3,0,0,0,0,1,1,MF,Match Report
2,Seydouba Cissé,1,27,2,0,0,41,0,8/17/2024,23-189,gn GUI,Leganés,@,Osasuna,es La Liga,D 1-1,Y,73,0,0,0,0,0,0,0,1,0,,0,0,24.7,0,27,32,84.4,0,1,1,0,2,405,110,14,14,100,11,15,73.3,1,2,50,2,1,0,0,1,0,0,0,0,0,0,0,0,0,41,1,8,31,3,0,41,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,0,0,0,0,0,MF,Match Report
3,Roberto López,0,1,0,0,0,2,0,8/17/2024,24-115,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
4,Renato Tapia,0,0,0,0,0,4,0,8/17/2024,29-020,pe PER,Leganés,@,Osasuna,es La Liga,D 1-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,1,"MF,DF",Match Report
5,Enric Franquesa,0,9,0,0,0,32,5,8/17/2024,27-173,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,9,18,50,0,1,0,0,0,84,22,6,7,85.7,1,3,33.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,10,18,5,1,32,5,3,3,2,0,3,3,100,0,1,0,1,0,5,3,0,0,0,0,0,1,"DF,FW",Match Report
6,Darko Brašanac,1,17,0,0,0,40,2,8/17/2024,32-187,rs SRB,Leganés,@,Osasuna,es La Liga,D 1-1,Y,87,0,0,0,0,0,0,0,1,0,0,1,100,13,0,17,31,54.8,0,2,0,0,3,210,80,11,16,68.8,4,10,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,13,22,5,1,40,2,0,0,1,1,0,0,,0,2,2,0,1,3,1,0,0,0,0,2,0,MF,Match Report
7,Juan Soriano,0,11,0,0,1,36,0,8/17/2024,26-360,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,32,34.4,0,0,0,0,0,532,487,1,1,100,1,1,100,9,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,36,0,0,0,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,GK,Match Report
8,Sergi,0,23,1,0,0,42,0,8/17/2024,32-119,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,30,76.7,0,0,0,0,1,435,148,7,8,87.5,16,17,94.1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,9,24,18,0,0,42,0,0,0,0,0,0,0,,0,1,1,0,1,1,8,0,0,0,0,1,0,DF,Match Report
9,Miguel,2,3,3,0,0,21,0,8/17/2024,24-349,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,87,0,0,0,0,0,0,0,2,0,0,1,50,12.9,0,3,9,33.3,0,0,0,0,0,32,0,3,5,60,0,0,,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,12,9,3,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,FW,Match Report
10,Julián Chicco,0,4,0,0,0,12,2,8/17/2024,26-217,ar ARG,Leganés,@,Osasuna,es La Liga,D 1-1,N,17,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,0,0,0,2,57,14,2,3,66.7,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,6,4,0,12,2,1,0,2,0,1,2,50,1,0,0,0,0,2,1,0,0,0,0,0,1,"MF,DF",Match Report
11,Javi Hernández,2,25,3,1,0,51,2,8/17/2024,26-107,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,90,0,1,1,0,0,0,0,2,0,0,1,50,17.8,1,25,32,78.1,3,2,2,0,4,384,228,11,12,91.7,13,16,81.3,0,3,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,51,7,20,20,11,1,51,2,0,1,1,0,0,2,0,2,1,0,1,1,3,6,0,0,0,0,4,1,DF,Match Report
12,Valentin Rosier,0,29,0,0,1,55,4,8/17/2024,27-364,fr FRA,Leganés,@,Osasuna,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,43,67.4,0,1,0,0,1,400,212,17,21,81,10,18,55.6,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,21,29,6,0,55,4,3,2,2,0,2,4,50,2,0,0,0,2,6,6,0,1,0,0,4,1,DF,Match Report
13,Diego,0,0,0,0,0,2,0,8/17/2024,24-121,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,FW,Match Report
14,Juan Cruz,1,12,4,1,0,29,0,8/17/2024,24-114,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,62,1,0,1,1,0,0,0,1,1,1,1,100,4.5,0,12,23,52.2,2,0,0,0,1,224,99,7,10,70,3,7,42.9,2,6,33.3,4,2,2,0,0,0,0,1,1,0,0,0,0,0,29,0,3,14,13,1,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"FW,MF",Match Report
15,Dani Raba,1,7,5,0,0,16,1,8/17/2024,28-293,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,N,28,0,0,0,0,0,0,0,1,0,,0,0,24.5,0,7,10,70,1,0,0,0,0,108,44,5,5,100,2,3,66.7,0,1,0,5,1,1,1,1,0,1,0,0,0,0,0,0,0,16,5,7,7,3,0,16,1,1,1,0,0,1,2,50,1,0,0,0,1,2,2,0,0,0,0,0,1,"FW,MF",Match Report
16,Aritz Arambarri,1,22,1,0,0,45,1,8/17/2024,26-199,es ESP,Leganés,@,Osasuna,es La Liga,D 1-1,Y,87,0,0,0,0,0,0,0,1,0,,0,0,15.7,0,22,32,68.8,0,1,0,0,1,457,127,5,6,83.3,14,18,77.8,3,7,42.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,10,28,16,1,1,45,1,1,1,0,0,1,1,100,0,2,2,0,2,3,4,0,0,0,0,0,0,DF,Match Report
17,Yvan Neyou,0,27,2,1,0,42,1,8/25/2024,27-235,cm CMR,Leganés,,Las Palmas,es La Liga,W 2-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,27,30,90,1,3,0,0,4,420,167,9,11,81.8,11,12,91.7,3,3,100,2,2,0,0,0,0,0,1,1,0,0,0,0,0,42,3,13,25,5,0,42,1,1,1,0,0,1,2,50,1,0,0,0,2,3,2,0,0,0,0,0,3,MF,Match Report
18,Seydouba Cissé,0,27,2,0,0,45,0,8/25/2024,23-197,gn GUI,Leganés,,Las Palmas,es La Liga,W 2-1,Y,81,0,0,0,0,0,0,0,0,,,0,,,0,27,34,79.4,1,4,0,0,3,444,160,14,14,100,7,10,70,4,7,57.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,45,1,8,23,15,4,45,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,0,0,0,0,0,MF,Match Report
19,Óscar Rodríguez Arnaiz,1,26,6,2,0,43,1,8/25/2024,26-058,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,86,0,1,1,0,0,0,0,1,0,,0,0,25.5,1,26,34,76.5,2,2,3,1,6,477,137,13,14,92.9,9,11,81.8,3,8,37.5,6,3,0,1,0,1,1,2,1,0,0,0,0,1,43,0,6,25,13,1,43,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,2,"MF,FW",Match Report
20,Renato Tapia,0,8,0,0,0,21,2,8/25/2024,29-028,pe PER,Leganés,,Las Palmas,es La Liga,W 2-1,N,29,0,0,0,0,0,0,0,0,,,0,,,0,8,15,53.3,0,1,0,0,0,195,109,3,3,100,1,3,33.3,3,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,11,11,0,0,21,2,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,"MF,DF",Match Report
21,Enric Franquesa,1,1,0,0,0,6,0,8/25/2024,27-181,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,N,9,1,0,1,1,0,0,0,1,1,1,1,100,12.7,0,1,3,33.3,0,0,0,0,0,13,14,1,2,50,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,2,1,1,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"DF,FW",Match Report
