Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Sergi Darder,0,22,2,0,0,34,0,8/18/2024,30-240,es ESP,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,71,0,0,0,0,0,0,0,0,,,0,,,0,22,29,75.9,0,5,0,0,3,430,163,13,15,86.7,6,8,75,3,6,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,34,1,2,23,9,0,34,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,0,0,0,0,1,"MF,FW",Match Report
2,Vedat Muriqi,3,14,1,0,0,37,0,8/18/2024,30-116,xk KVX,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,90,1,0,1,1,0,0,0,3,0.33,0.33,3,100,8.8,0,14,19,73.7,1,2,0,0,2,232,45,7,7,100,5,8,62.5,2,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,3,6,15,16,6,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,1,FW,Match Report
3,Copete,0,0,0,0,0,3,1,8/18/2024,24-313,es ESP,Mallorca,,Real Madrid,es La Liga,D 1-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,3,1,1,1,0,0,0,0,,0,1,0,1,0,1,3,0,0,0,0,0,0,DF,Match Report
4,Omar Mascarell,0,41,1,0,0,51,1,8/18/2024,31-198,gq EQG,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,41,44,93.2,0,2,0,0,1,684,150,21,21,100,16,17,94.1,4,5,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,2,13,37,1,0,51,1,0,1,0,0,1,2,50,1,1,0,1,3,4,3,0,0,0,0,1,0,MF,Match Report
5,Takuma Asano,1,7,1,0,0,20,3,8/18/2024,29-282,jp JPN,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,71,0,0,0,0,0,0,0,1,0,0,1,100,14.4,0,7,12,58.3,0,0,0,0,2,100,21,3,4,75,3,4,75,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,5,7,8,3,20,3,2,1,2,0,1,2,50,1,1,0,1,1,4,0,0,0,0,0,0,1,"FW,MF",Match Report
6,Dominik Greif,0,6,0,0,0,19,0,8/18/2024,27-134,sk SVK,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,6,15,40,0,0,0,0,0,205,171,1,1,100,2,2,100,3,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,19,0,0,0,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
7,Pablo Maffeo,0,26,3,0,1,52,5,8/18/2024,27-037,es ESP,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,36,72.2,2,3,1,1,4,481,261,11,14,78.6,12,14,85.7,3,7,42.9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,52,8,23,15,15,0,52,5,3,5,0,0,3,5,60,2,1,0,1,1,6,5,0,1,0,0,2,0,DF,Match Report
8,Johan Mojica,1,44,4,0,0,64,1,8/18/2024,31-363,co COL,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0,,0,0,32.6,0,44,55,80,2,5,1,0,7,748,263,26,28,92.9,13,16,81.3,5,11,45.5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,64,3,17,29,20,0,64,1,1,1,0,0,1,2,50,1,0,0,0,3,4,2,0,0,0,0,0,2,DF,Match Report
9,Dani Rodríguez,2,19,2,2,0,32,0,8/18/2024,36-073,es ESP,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,66,0,1,1,0,0,0,0,2,0,,0,0,13.8,0,19,28,67.9,1,3,0,0,4,445,180,9,12,75,4,7,57.1,6,7,85.7,2,1,1,0,0,0,0,2,1,1,0,0,0,0,32,0,2,13,17,2,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,"MF,FW",Match Report
10,Samu Costa,2,37,2,0,0,56,7,8/18/2024,23-265,pt POR,Mallorca,,Real Madrid,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,2,0,0,1,50,25.9,0,37,41,90.2,1,0,2,1,1,688,126,15,15,100,17,18,94.4,5,6,83.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,56,4,10,34,12,2,56,7,4,3,4,0,2,7,28.6,5,1,0,1,0,7,1,0,0,0,0,7,0,MF,Match Report
