Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Lucas Torró,0,47,1,0,0,80,3,8/17/2024,30-029,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,64,73.4,0,10,0,0,3,781,227,23,31,74.2,20,24,83.3,3,7,42.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,80,3,18,50,13,0,80,3,2,1,2,0,2,3,66.7,1,0,0,0,2,5,3,0,0,0,0,4,2,MF,Match Report
2,Iker Muñoz,0,19,0,0,0,31,0,8/17/2024,21-286,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,19,29,65.5,0,3,0,0,2,282,82,12,13,92.3,6,10,60,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,3,24,4,0,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,MF,Match Report
3,Raúl,0,0,0,0,0,1,0,8/17/2024,23-288,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
4,Rubén Peña,0,2,1,0,0,7,0,8/17/2024,33-030,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,N,13,0,0,0,0,0,0,0,0,,,0,,,0,2,7,28.6,1,0,0,0,0,46,7,1,4,25,0,1,0,1,2,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,DF",Match Report
5,Catena,2,37,3,0,0,62,0,8/17/2024,29-294,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,2,0,0,1,50,8,0,37,51,72.5,0,3,0,0,4,672,362,14,19,73.7,18,20,90,3,10,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,62,6,21,38,4,4,62,0,0,0,0,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,1,0,DF,Match Report
6,Abel Bretones,0,31,3,0,0,51,3,8/17/2024,23-362,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,59,0,0,0,0,0,0,0,0,,,0,,,0,31,43,72.1,3,3,3,3,2,498,209,18,20,90,8,14,57.1,4,8,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,51,0,15,23,13,0,51,3,2,2,1,0,2,2,100,0,0,0,0,0,3,2,0,0,0,0,1,1,DF,Match Report
7,Moi Gómez,0,40,4,0,0,51,2,8/17/2024,30-055,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,59,0,0,0,0,0,0,0,0,,,0,,,0,40,46,87,2,1,1,0,4,582,170,24,24,100,12,16,75,3,4,75,4,3,1,0,0,0,0,0,0,0,0,0,0,0,51,1,6,30,15,0,51,2,0,0,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,0,"MF,FW",Match Report
8,Rubén García,3,32,5,0,0,51,0,8/17/2024,31-034,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,77,0,0,0,0,0,0,0,3,0,0,1,33.3,11.9,0,32,42,76.2,2,5,0,0,4,590,188,17,18,94.4,9,13,69.2,5,7,71.4,5,4,1,0,0,0,0,0,0,0,0,0,0,0,51,0,4,23,25,6,51,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,3,"FW,MF",Match Report
9,Aimar Oroz,4,38,4,0,0,58,2,8/17/2024,22-264,es ESP,Osasuna,,Leganés,es La Liga,D 1-1,Y,89,0,0,0,0,0,0,0,4,0,0,1,25,15.6,0,38,42,90.5,1,1,1,0,6,654,104,17,19,89.5,14,14,100,5,5,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,58,0,4,26,28,4,58,2,1,0,0,2,0,0,,0,2,1,1,2,4,0,0,0,0,0,1,1,MF,Match Report
10,Ante Budimir,3,15,1,0,0,39,2,8/17/2024,33-026,hr CRO,Osasuna,,Leganés,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,3,0,0,1,33.3,16,0,15,25,60,0,1,0,0,1,201,23,9,15,60,5,7,71.4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,2,20,17,4,39,2,2,0,2,0,0,0,,0,1,1,0,0,2,0,0,0,0,0,2,1,FW,Match Report
