Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Jorge de Frutos,1,4,2,1,0,16,2,8/18/2024,27-180,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,74,1,0,1,1,0,0,0,1,1,1,1,100,13.6,0,4,11,36.4,0,0,0,0,0,40,7,2,5,40,1,2,50,0,0,,2,1,0,1,0,0,0,1,0,0,1,0,0,0,16,1,3,6,8,4,16,2,1,0,1,1,1,1,100,0,0,0,0,1,3,1,0,0,0,0,3,0,"FW,MF",Match Report
2,Isaac Palazón Camacho,2,19,5,0,0,34,0,8/18/2024,29-235,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,2,0,,0,0,31.8,0,19,25,76,2,1,0,0,2,286,69,12,12,100,3,5,60,3,4,75,5,2,1,0,1,1,0,0,0,0,0,0,0,0,34,0,6,18,12,1,34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,"MF,FW",Match Report
3,Abdul Mumin,0,17,1,1,0,36,1,8/18/2024,26-073,gh GHA,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,17,23,73.9,1,3,1,0,3,364,187,8,10,80,5,6,83.3,4,7,57.1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,36,13,22,13,2,1,36,1,0,1,0,0,0,0,,0,1,1,0,1,2,8,0,0,0,0,0,0,DF,Match Report
4,Óscar Valentín,0,26,1,0,0,45,3,8/18/2024,29-364,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,29,89.7,0,3,0,0,4,354,136,14,15,93.3,11,11,100,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,5,20,19,7,0,45,3,3,1,2,0,1,1,100,0,2,0,2,1,4,6,0,0,0,0,6,3,MF,Match Report
5,Pep Chavarría,0,2,0,0,0,5,1,8/18/2024,26-130,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,N,16,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,1,0,1,27,10,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,5,1,1,0,1,0,1,1,100,0,0,0,0,0,1,1,0,0,0,0,0,1,"DF,FW",Match Report
6,Florian Lejeune,2,10,0,0,1,35,0,8/18/2024,33-090,fr FRA,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,2,0,0,1,50,24.1,1,10,21,47.6,0,0,0,0,1,252,147,2,4,50,7,10,70,1,7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,21,12,2,2,35,0,0,0,0,0,0,0,,0,1,1,0,0,0,9,0,1,0,0,1,0,DF,Match Report
7,Sergio Camello,1,2,0,0,0,8,0,8/18/2024,23-190,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,N,28,1,0,1,1,0,0,0,1,1,1,1,100,15.2,0,2,3,66.7,0,0,0,0,0,36,0,0,1,0,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,1,5,1,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,2,FW,Match Report
8,Unai López,0,18,2,0,1,29,0,8/18/2024,28-293,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,18,22,81.8,1,1,0,0,3,260,79,10,11,90.9,6,6,100,1,2,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,29,1,7,16,6,1,29,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,0,1,0,0,0,2,MF,Match Report
9,Pathé Ciss,0,2,1,1,0,6,0,8/18/2024,30-155,sn SEN,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,N,16,0,1,1,0,0,0,0,0,,,0,,,0,2,5,40,1,1,0,0,2,25,17,2,2,100,0,1,0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,4,2,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,DF",Match Report
10,Randy Nteka,0,7,2,0,1,18,2,8/18/2024,26-256,ao ANG,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,62,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70,1,0,0,0,0,77,0,4,4,100,2,4,50,0,0,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,18,2,5,6,7,2,18,2,1,0,2,0,0,0,,0,0,0,0,0,2,2,0,1,0,0,3,0,FW,Match Report
11,Gerard Gumbau,1,7,1,0,0,16,1,8/18/2024,29-244,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,N,45,0,0,0,0,0,0,0,1,0,0,1,100,15.9,0,7,12,58.3,0,1,0,0,0,125,51,3,3,100,3,7,42.9,1,2,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,2,8,6,1,16,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,0,0,0,2,0,MF,Match Report
12,Andrei Ratiu,2,14,2,0,0,32,1,8/18/2024,26-059,ro ROU,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,79,0,0,0,0,0,0,0,2,0,,0,0,7.5,0,14,21,66.7,0,0,0,0,1,183,83,10,10,100,4,8,50,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,32,1,10,12,10,3,32,1,0,1,0,0,0,0,,0,0,0,0,1,2,3,0,0,0,0,1,0,DF,Match Report
13,Iván Balliu,0,2,0,0,0,6,0,8/18/2024,32-230,al ALB,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,N,11,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50,0,0,0,0,0,47,38,1,1,100,0,0,,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,3,1,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
14,Alfonso Espino,2,16,1,0,0,55,6,8/18/2024,32-226,uy URU,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,2,0,,0,0,34.3,0,16,36,44.4,0,3,0,0,3,277,187,7,7,100,8,19,42.1,1,7,14.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55,2,22,20,14,0,55,6,3,4,2,0,2,5,40,3,1,0,1,2,8,4,0,0,0,0,2,3,DF,Match Report
15,Adri Embarba,1,16,0,0,1,35,1,8/18/2024,32-103,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,74,0,0,0,0,0,0,0,1,0,,0,0,20.3,0,16,29,55.2,0,1,0,0,1,203,30,11,12,91.7,3,6,50,1,6,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,6,15,14,1,35,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,"FW,MF",Match Report
16,Dani Cárdenas,0,5,1,0,0,16,0,8/18/2024,27-143,es ESP,Rayo Vallecano,@,Real Sociedad,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,5,15,33.3,0,0,0,0,0,224,211,0,0,,2,2,100,3,13,23.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,14,16,0,0,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
17,Jorge de Frutos,0,8,0,0,0,25,1,8/24/2024,27-186,es ESP,Rayo Vallecano,@,Getafe,es La Liga,D 0-0,Y,63,0,0,0,0,0,0,0,0,,,0,,,0,8,18,44.4,0,1,0,0,0,94,6,5,6,83.3,2,6,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,7,14,1,25,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"FW,MF",Match Report
18,Isaac Palazón Camacho,1,5,0,0,0,8,0,8/24/2024,29-241,es ESP,Rayo Vallecano,@,Getafe,es La Liga,D 0-0,N,27,0,0,0,0,0,0,0,1,0,,0,0,29.4,0,5,5,100,0,1,1,1,0,75,25,4,4,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,6,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,"MF,FW",Match Report
19,Abdul Mumin,0,19,0,0,0,44,2,8/24/2024,26-079,gh GHA,Rayo Vallecano,@,Getafe,es La Liga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,30,63.3,0,3,0,0,1,366,215,10,11,90.9,7,8,87.5,2,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,30,14,0,0,44,2,2,2,0,0,0,0,,0,2,2,0,0,2,9,0,0,0,0,1,0,DF,Match Report
20,Óscar Valentín,0,26,0,0,0,47,1,8/24/2024,30-004,es ESP,Rayo Vallecano,@,Getafe,es La Liga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,36,72.2,0,3,0,0,3,405,88,17,19,89.5,6,8,75,3,7,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,16,27,4,0,47,1,1,1,0,0,1,2,50,1,0,0,0,3,4,1,0,0,0,0,3,1,MF,Match Report
21,Florian Lejeune,0,24,0,0,0,38,3,8/24/2024,33-096,fr FRA,Rayo Vallecano,@,Getafe,es La Liga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,30,80,0,4,0,0,5,578,240,4,6,66.7,13,14,92.9,7,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,21,17,0,0,38,3,2,3,0,0,2,4,50,2,1,1,0,0,3,4,0,0,0,0,3,2,DF,Match Report
22,Sergio Camello,0,4,1,0,0,7,1,8/24/2024,23-196,es ESP,Rayo Vallecano,@,Getafe,es La Liga,D 0-0,N,19,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100,1,0,0,0,0,36,0,4,4,100,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,2,0,7,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
