Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Federico Valverde,0,69,4,0,0,88,1,8/18/2024,26-027,uy URU,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,69,78,88.5,1,8,1,0,8,1037,244,33,34,97.1,31,33,93.9,2,4,50,4,4,0,0,0,0,0,0,0,0,0,0,0,0,88,5,18,48,22,1,88,1,0,1,0,0,1,1,100,0,0,0,0,1,2,4,0,0,0,0,0,1,"MF,DF",Match Report
2,Thibaut Courtois,0,24,0,0,0,29,0,8/18/2024,32-099,be BEL,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,26,92.3,0,0,0,0,0,549,326,7,7,100,11,11,100,6,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,29,0,0,0,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
3,Antonio Rüdiger,1,65,1,0,0,83,0,8/18/2024,31-168,de GER,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0,,0,0,33.5,0,65,73,89,0,2,0,0,9,1056,311,26,27,96.3,34,38,89.5,3,5,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83,8,36,44,4,0,83,0,0,0,0,0,0,1,0,1,1,1,0,1,1,6,0,0,0,0,0,1,DF,Match Report
4,Éder Militão,1,58,0,0,0,67,2,8/18/2024,26-213,br BRA,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,1,0,,0,0,32.1,0,58,60,96.7,0,0,1,0,5,1081,401,18,18,100,35,35,100,3,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,9,36,29,2,0,67,2,2,1,1,0,2,5,40,3,0,0,0,0,2,5,0,0,0,0,0,0,DF,Match Report
5,Arda Güler,0,2,0,0,0,5,0,8/18/2024,19-175,tr TUR,Real Madrid,@,Mallorca,es La Liga,D 1-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50,0,0,0,0,0,25,0,1,1,100,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,1,1,"MF,FW",Match Report
6,Ferland Mendy,0,71,0,0,0,81,1,8/18/2024,29-071,fr FRA,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,71,72,98.6,0,5,0,0,3,1040,301,47,47,100,17,17,100,6,7,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,5,25,43,13,0,81,1,1,0,1,0,1,1,100,0,1,0,1,0,1,4,0,0,1,0,2,1,DF,Match Report
7,Brahim Díaz,0,5,1,0,0,5,0,8/18/2024,25-015,ma MAR,Real Madrid,@,Mallorca,es La Liga,D 1-1,N,3,0,0,0,0,0,0,0,0,,,0,,,0,5,5,100,0,1,0,0,2,66,28,1,1,100,3,3,100,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
8,Kylian Mbappé,4,25,0,0,0,40,0,8/18/2024,25-242,fr FRA,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,4,0,0,2,50,12.5,0,25,32,78.1,0,3,0,0,5,341,62,16,21,76.2,7,7,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,8,31,12,40,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
9,Dani Carvajal,0,50,1,0,0,68,0,8/18/2024,32-220,es ESP,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,86,0,0,0,0,0,0,0,0,,,0,,,0,50,59,84.7,0,2,0,0,2,697,238,31,34,91.2,18,21,85.7,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,2,19,29,21,1,68,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0,0,0,0,1,0,DF,Match Report
10,Aurélien Tchouaméni,0,57,1,0,0,63,4,8/18/2024,24-204,fr FRA,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,62,0,0,0,0,0,0,0,0,,,0,,,0,57,58,98.3,0,4,0,0,4,982,229,23,24,95.8,25,25,100,6,6,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,63,2,12,46,5,0,63,4,2,3,1,0,1,2,50,1,0,0,0,0,4,1,0,0,0,0,0,1,"DF,MF",Match Report
11,Jude Bellingham,0,63,4,0,0,82,6,8/18/2024,21-050,eng ENG,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,87,0,0,0,0,0,0,0,0,,,0,,,0,63,73,86.3,2,8,3,0,14,1066,346,32,34,94.1,24,26,92.3,5,8,62.5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,82,0,16,44,22,5,82,6,5,5,1,0,3,3,100,0,2,0,2,0,6,0,0,0,0,0,1,2,MF,Match Report
12,Luka Modrić,2,36,3,0,0,46,0,8/18/2024,38-344,hr CRO,Real Madrid,@,Mallorca,es La Liga,D 1-1,N,28,0,0,0,0,0,0,0,2,0,0,1,50,28.9,0,36,44,81.8,0,7,0,0,5,607,166,16,17,94.1,15,18,83.3,3,6,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,46,1,5,25,16,1,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
13,Vinicius Júnior,2,33,7,1,0,55,0,8/18/2024,24-037,br BRA,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,87,0,1,1,0,0,0,0,2,0,,0,0,24.4,0,33,44,75,6,0,3,0,5,459,73,19,23,82.6,8,12,66.7,2,2,100,7,6,0,1,0,0,0,1,1,0,0,0,0,0,55,0,3,11,44,8,55,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,FW,Match Report
14,Rodrygo,3,60,3,0,0,77,1,8/18/2024,23-222,br BRA,Real Madrid,@,Mallorca,es La Liga,D 1-1,Y,90,1,0,1,1,0,0,0,3,0.33,0.5,2,66.7,18.3,0,60,69,87,1,5,1,0,4,762,147,38,39,97.4,19,20,95,1,6,16.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,77,1,7,31,41,9,77,1,1,1,0,0,1,1,100,0,2,0,2,0,1,0,0,0,0,0,1,2,"FW,MF",Match Report
15,Lucas Vázquez,0,2,0,0,0,4,0,8/18/2024,33-048,es ESP,Real Madrid,@,Mallorca,es La Liga,D 1-1,N,4,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50,0,0,0,0,0,17,1,2,2,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
16,Federico Valverde,2,55,2,0,0,73,3,8/25/2024,26-034,uy URU,Real Madrid,,Valladolid,es La Liga,W 3-0,Y,90,1,0,1,1,0,0,0,2,0.5,1,1,50,30.9,1,55,61,90.2,2,12,2,0,11,940,273,25,29,86.2,26,26,100,4,5,80,2,2,0,0,0,0,0,0,0,0,0,0,0,0,73,1,5,46,22,0,73,3,2,0,3,0,1,3,33.3,2,2,0,2,2,5,2,0,0,0,0,0,0,"MF,DF",Match Report
17,Thibaut Courtois,0,28,0,0,0,31,0,8/25/2024,32-106,be BEL,Real Madrid,,Valladolid,es La Liga,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,30,93.3,0,1,0,0,0,615,387,9,9,100,14,14,100,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,30,1,0,0,31,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,GK,Match Report
18,Antonio Rüdiger,2,80,2,0,0,91,0,8/25/2024,31-175,de GER,Real Madrid,,Valladolid,es La Liga,W 3-0,Y,90,0,0,0,0,0,0,0,2,0,,0,0,21,0,80,86,93,1,7,2,0,7,1526,580,27,27,100,46,50,92,7,9,77.8,2,1,0,0,1,0,0,0,0,0,0,0,0,0,91,7,29,53,9,1,91,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,0,0,0,1,2,DF,Match Report
19,Éder Militão,0,74,3,1,0,89,1,8/25/2024,26-220,br BRA,Real Madrid,,Valladolid,es La Liga,W 3-0,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,74,81,91.4,2,11,0,0,10,1571,583,21,22,95.5,46,50,92,7,9,77.8,3,3,0,0,0,0,0,1,1,0,0,0,0,0,89,10,28,56,7,0,89,1,1,0,1,0,0,1,0,1,1,1,0,2,3,2,0,0,0,0,3,1,DF,Match Report
