Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Sergio Gómez,0,16,0,0,0,24,0,8/18/2024,23-349,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,N,23,0,0,0,0,0,0,0,0,,,0,,,0,16,23,69.6,0,2,0,0,1,342,55,4,5,80,10,12,83.3,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,13,11,0,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"MF,DF",Match Report
2,Beñat Turrientes,1,19,0,0,0,35,4,8/18/2024,22-200,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,67,0,0,0,0,0,0,0,1,0,0,1,100,26.8,0,19,25,76,0,1,0,0,4,334,70,10,12,83.3,6,7,85.7,3,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,6,13,17,0,35,4,1,2,1,1,2,2,100,0,2,0,2,0,4,0,0,0,0,0,1,1,MF,Match Report
3,Takefusa Kubo,0,11,4,0,0,23,1,8/18/2024,23-075,jp JPN,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,67,0,0,0,0,0,0,0,0,,,0,,,0,11,14,78.6,1,1,1,0,2,181,60,5,6,83.3,1,2,50,2,2,100,4,2,1,0,0,0,1,0,0,0,0,0,0,0,23,0,3,9,13,0,23,1,1,1,0,0,0,0,,0,3,0,3,0,1,0,0,0,0,0,2,3,"MF,FW",Match Report
4,Luka Sučić,0,7,1,1,0,10,1,8/18/2024,21-345,hr CRO,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,N,8,0,0,0,0,0,0,0,0,,,0,,,0,7,9,77.8,0,1,0,0,1,132,12,3,4,75,2,3,66.7,2,2,100,1,1,0,0,0,0,0,1,1,0,0,0,0,0,10,0,3,6,1,0,10,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
5,Ander Barrenetxea,0,11,1,0,0,19,0,8/18/2024,22-235,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,N,23,0,0,0,0,0,0,0,0,,,0,,,0,11,15,73.3,1,2,0,0,0,186,17,6,9,66.7,4,5,80,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,8,10,2,19,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,0,0,0,0,0,"MF,FW",Match Report
6,Álex Remiro,0,28,0,0,0,37,0,8/18/2024,29-147,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,35,80,0,0,0,0,0,699,499,7,7,100,14,15,93.3,7,12,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,37,0,0,0,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,GK,Match Report
7,Martín Zubimendi,2,20,0,0,0,32,1,8/18/2024,25-198,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,N,45,1,0,1,1,0,0,0,2,0.5,1,1,50,17.1,0,20,26,76.9,0,2,0,0,4,306,63,10,12,83.3,7,11,63.6,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4,17,11,2,32,1,1,1,0,0,1,2,50,1,1,0,1,0,1,0,0,0,0,0,0,2,MF,Match Report
8,Jon Pacheco,0,45,3,0,0,60,1,8/18/2024,23-223,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,51,88.2,0,2,1,0,1,1003,303,9,12,75,30,31,96.8,6,8,75,3,2,1,0,0,0,0,0,0,0,0,0,0,0,60,10,32,27,2,1,60,1,1,0,1,0,0,0,,0,1,1,0,1,2,5,0,0,0,0,1,1,DF,Match Report
9,Mikel Oyarzabal,2,10,2,0,0,25,0,8/18/2024,27-119,es ESP,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,82,0,0,0,0,0,0,0,2,0,,0,0,12.3,0,10,17,58.8,0,0,0,0,0,95,14,8,11,72.7,1,2,50,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,25,1,5,11,9,4,25,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,FW,Match Report
10,Sheraldo Becker,2,15,2,0,0,35,1,8/18/2024,29-191,sr SUR,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,2,0,0,1,50,15.8,0,15,31,48.4,2,2,2,2,1,318,78,8,12,66.7,3,10,30,3,4,75,2,2,0,0,0,0,0,0,0,0,0,0,0,0,35,1,3,12,21,6,35,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,2,"FW,MF",Match Report
11,Hamari Traoré,0,40,1,0,0,54,2,8/18/2024,32-204,ml MLI,Real Sociedad,,Rayo Vallecano,es La Liga,L 1-2,Y,74,0,0,0,0,0,0,0,0,,,0,,,0,40,50,80,0,2,1,0,3,734,256,16,17,94.1,18,21,85.7,6,11,54.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,2,16,31,7,0,54,2,2,1,1,0,1,2,50,1,0,0,0,0,2,2,0,0,0,0,0,0,DF,Match Report
