Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Ezequiel Ávila,1,5,2,0,0,7,0,8/15/2024,30-191,ar ARG,Betis,,Girona,es La Liga,D 1-1,N,21,0,0,0,0,0,0,0,1,0,,0,0,11.2,0,5,5,100,2,0,0,0,0,68,10,3,3,100,2,2,100,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,6,2,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
2,Romain Perraud,2,22,3,1,1,48,2,8/15/2024,26-328,fr FRA,Betis,,Girona,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,2,0,,0,0,23.2,0,22,33,66.7,0,2,0,0,0,377,133,8,10,80,12,14,85.7,2,6,33.3,3,1,0,1,1,0,0,1,0,0,0,1,0,0,48,1,19,16,13,2,48,2,1,0,0,2,0,3,0,3,0,0,0,1,3,4,0,1,0,0,2,1,DF,Match Report
3,Johnny Cardoso,2,10,0,0,0,16,0,8/15/2024,22-330,us USA,Betis,,Girona,es La Liga,D 1-1,N,14,0,0,0,0,0,0,0,2,0,,0,0,25.1,0,10,10,100,0,1,0,0,0,160,49,5,5,100,5,5,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,7,7,2,0,16,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0,0,0,0,1,0,MF,Match Report
4,Pablo Fornals,2,15,6,0,0,28,1,8/15/2024,28-175,es ESP,Betis,,Girona,es La Liga,D 1-1,Y,58,0,0,0,0,0,0,0,2,0,,0,0,44,0,15,21,71.4,2,3,2,0,5,227,101,6,7,85.7,8,11,72.7,0,1,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,28,0,5,11,13,1,28,1,1,1,0,0,1,2,50,1,0,0,0,2,3,0,1,0,0,0,1,0,"MF,FW",Match Report
5,Juanmi,1,8,1,0,0,23,3,8/15/2024,31-087,es ESP,Betis,,Girona,es La Liga,D 1-1,Y,58,0,0,0,0,0,0,0,1,0,,0,0,8.1,0,8,10,80,1,0,0,0,1,141,47,3,3,100,2,2,100,2,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,2,9,8,7,2,23,3,2,1,1,1,1,3,33.3,2,3,0,3,1,4,2,0,0,0,0,1,1,"FW,MF",Match Report
6,Rodri,1,11,3,0,0,26,1,8/15/2024,24-091,es ESP,Betis,,Girona,es La Liga,D 1-1,N,32,0,0,0,0,0,0,0,1,0,0,1,100,16.1,0,11,15,73.3,0,1,1,0,2,191,75,7,7,100,3,4,75,1,2,50,3,1,0,0,1,0,1,0,0,0,0,0,0,0,26,1,8,8,11,4,26,1,1,1,0,0,1,2,50,1,1,0,1,1,2,1,0,0,0,0,1,1,FW,Match Report
7,Sergi Altimira,0,18,2,0,0,23,0,8/15/2024,22-356,es ESP,Betis,,Girona,es La Liga,D 1-1,N,14,0,0,0,0,0,0,0,0,,,0,,,0,18,20,90,1,3,0,0,3,336,144,8,9,88.9,7,8,87.5,3,3,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,2,3,17,3,1,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,MF,Match Report
8,Aitor Ruibal,3,11,4,0,1,23,1,8/15/2024,28-146,es ESP,Betis,,Girona,es La Liga,D 1-1,Y,69,0,0,0,0,0,0,0,3,0,0,1,33.3,17.2,0,11,16,68.8,2,0,0,0,2,126,35,7,8,87.5,3,4,75,0,0,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,14,4,23,1,0,0,0,1,1,1,100,0,0,0,0,0,1,0,0,1,0,0,1,0,"DF,FW",Match Report
9,Marc Bartra,1,38,0,0,0,58,1,8/15/2024,33-213,es ESP,Betis,,Girona,es La Liga,D 1-1,Y,90,1,0,1,1,0,0,0,1,1,1,1,100,6.5,0,38,45,84.4,0,2,1,0,1,881,306,9,9,100,19,20,95,10,15,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6,45,12,2,1,58,1,1,1,0,0,1,1,100,0,2,1,1,2,3,3,0,0,0,0,0,0,DF,Match Report
10,Diego Llorente,0,44,0,0,0,62,0,8/15/2024,30-365,es ESP,Betis,,Girona,es La Liga,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,53,83,0,1,0,0,0,948,204,8,10,80,29,31,93.5,6,11,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,16,45,17,0,0,62,0,0,0,0,0,0,0,,0,2,2,0,1,1,6,0,0,0,0,2,0,DF,Match Report
