Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Nemanja Gudelj,1,51,1,0,0,66,1,8/16/2024,32-274,rs SRB,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,1,0,,0,0,29.5,0,51,53,96.2,0,4,0,0,2,621,187,33,34,97.1,15,16,93.8,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,8,28,33,6,0,66,1,1,0,1,0,0,0,,0,2,1,1,2,3,5,0,0,0,0,0,1,"MF,DF",Match Report
2,Kike Salas,0,12,1,0,0,16,0,8/16/2024,22-115,es ESP,Sevilla,@,Las Palmas,es La Liga,D 2-2,N,8,0,0,0,0,0,0,0,0,,,0,,,0,12,15,80,0,1,0,0,2,255,70,1,3,33.3,9,10,90,2,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,11,1,0,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
3,Dodi Lukebakio,2,16,3,0,0,26,0,8/16/2024,26-327,be BEL,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,73,0,0,0,0,0,0,0,2,0,,0,0,11.9,0,16,19,84.2,2,1,1,1,1,267,88,11,12,91.7,1,2,50,3,4,75,3,2,0,1,0,0,0,0,0,0,0,0,0,0,26,1,5,10,11,3,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,2,FW,Match Report
4,Adrià Pedrosa,1,30,1,0,1,48,0,8/16/2024,26-095,es ESP,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,1,0,,0,0,28.6,0,30,41,73.2,1,0,0,0,1,464,76,12,13,92.3,17,21,81,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,5,22,20,8,1,48,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,1,0,0,2,2,DF,Match Report
5,Carmona,1,56,2,0,0,78,4,8/16/2024,22-200,es ESP,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,1,0,,0,0,30.2,0,56,66,84.8,0,3,1,0,3,730,325,34,41,82.9,18,20,90,1,2,50,2,1,0,0,0,1,0,0,0,0,0,0,0,0,78,5,21,48,9,0,78,4,3,2,2,0,4,6,66.7,2,1,1,0,2,6,4,0,0,0,0,0,4,DF,Match Report
6,Jesús Navas,0,18,4,0,0,21,0,8/16/2024,38-269,es ESP,Sevilla,@,Las Palmas,es La Liga,D 2-2,N,17,0,0,0,0,0,0,0,0,,,0,,,0,18,20,90,3,2,2,2,2,272,104,12,12,100,5,6,83.3,1,1,100,4,3,1,0,0,0,0,0,0,0,0,0,0,0,21,0,5,7,9,1,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
7,Djibril Sow,3,38,6,0,0,57,2,8/16/2024,27-192,ch SUI,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,3,0,0,2,66.7,12.4,0,38,42,90.5,2,3,1,0,4,520,116,18,20,90,16,16,100,0,0,,6,5,0,0,1,0,0,0,0,0,0,0,0,0,57,2,11,33,15,3,57,2,2,0,2,0,0,0,,0,0,0,0,2,4,2,0,0,0,0,2,0,MF,Match Report
8,Tanguy Nianzou,2,56,1,0,0,79,1,8/16/2024,22-070,fr FRA,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,2,0,,0,0,8.9,0,56,60,93.3,0,2,0,0,5,1000,247,26,26,100,26,27,96.3,4,6,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79,14,36,41,2,2,79,1,1,1,0,0,1,1,100,0,0,0,0,1,2,8,0,0,0,0,2,1,DF,Match Report
9,Lucien Agoume,0,39,1,0,0,67,3,8/16/2024,22-189,fr FRA,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,39,54,72.2,0,4,0,0,4,621,157,20,29,69,14,18,77.8,4,6,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,4,18,39,11,3,67,3,2,2,0,1,1,1,100,0,3,2,1,1,4,0,0,0,0,0,2,0,MF,Match Report
10,Lucas Ocampos,4,37,6,1,0,64,1,8/16/2024,30-036,ar ARG,Sevilla,@,Las Palmas,es La Liga,D 2-2,Y,90,0,0,0,0,0,0,0,4,0,0,2,50,24.4,0,37,50,74,2,6,1,1,6,548,154,22,28,78.6,10,11,90.9,3,5,60,6,6,0,0,0,0,0,1,1,0,0,0,0,0,64,0,4,30,31,5,64,1,1,1,0,0,1,1,100,0,2,0,2,0,1,0,0,0,0,0,2,1,FW,Match Report
