Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Dani Gómez,0,6,0,0,0,11,0,8/17/2024,26-018,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,N,25,0,0,0,0,0,0,0,0,,,0,,,0,6,8,75,0,0,0,0,0,85,10,3,3,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,4,5,0,11,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,0,0,0,1,0,FW,Match Report
2,Jesus Vazquez,0,13,1,1,1,23,2,8/17/2024,21-228,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,76,0,0,0,0,0,0,0,0,,,0,,,0,13,18,72.2,0,0,0,0,0,179,19,8,8,100,5,9,55.6,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,23,3,10,7,6,0,23,2,2,1,0,1,0,1,0,1,0,0,0,0,2,1,0,1,0,0,2,1,DF,Match Report
3,Yarek Gasiorowski,0,33,0,0,0,50,1,8/17/2024,19-218,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,36,91.7,0,1,0,0,2,723,189,8,11,72.7,20,20,100,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,29,20,1,0,50,1,1,1,0,0,1,2,50,1,3,2,1,1,2,5,0,0,0,0,0,0,DF,Match Report
4,José Luis García Vayá,1,32,2,0,1,59,4,8/17/2024,26-006,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,1,0,,0,0,27.3,0,32,50,64,2,2,0,0,2,594,152,14,19,73.7,14,18,77.8,4,10,40,2,0,2,0,0,0,0,0,0,0,0,0,0,0,59,6,22,26,13,0,59,4,2,3,1,0,1,2,50,1,1,1,0,0,4,4,0,1,0,0,2,1,MF,Match Report
5,Hugo Duro,4,4,0,0,0,19,0,8/17/2024,24-281,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,90,1,0,1,1,0,0,0,4,0.25,1,1,25,8.4,0,4,8,50,0,0,0,0,0,50,0,3,3,100,1,3,33.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,7,11,6,19,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,0,0,0,1,4,FW,Match Report
6,Javier Guerra,0,15,2,0,0,33,3,8/17/2024,21-229,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,85,0,0,0,0,0,0,0,0,,,0,,,0,15,20,75,0,1,1,0,3,269,167,7,8,87.5,5,6,83.3,2,2,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,33,2,12,16,6,0,33,3,2,2,1,0,2,3,66.7,1,0,0,0,0,3,4,0,0,0,0,2,1,MF,Match Report
7,Dimitri Foulquier,0,8,0,0,0,15,1,8/17/2024,31-147,fr FRA,Valencia,,Barcelona,es La Liga,L 1-2,N,25,0,0,0,0,0,0,0,0,,,0,,,0,8,14,57.1,0,0,0,0,0,113,3,6,8,75,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,5,10,1,0,15,1,1,1,0,0,1,2,50,1,0,0,0,0,1,0,1,0,0,0,0,1,DF,Match Report
8,Rafa Mir,1,8,0,0,0,25,3,8/17/2024,27-060,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,76,0,0,0,0,0,0,0,1,0,,0,0,27.7,0,8,13,61.5,0,0,1,1,1,122,40,4,6,66.7,2,4,50,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,13,10,1,25,3,2,2,1,0,1,2,50,1,1,0,1,0,3,0,0,0,0,0,1,0,"FW,MF",Match Report
9,Diego López,0,12,3,1,0,25,0,8/17/2024,22-096,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,Y,65,0,1,1,0,0,0,0,0,,,0,,,0,12,19,63.2,3,2,0,0,2,270,91,2,4,50,8,9,88.9,2,2,100,3,3,0,0,0,0,0,1,1,0,0,0,0,0,25,0,2,8,15,3,25,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0,"MF,FW",Match Report
10,Thierry Correia,0,38,0,0,0,53,1,8/17/2024,25-161,pt POR,Valencia,,Barcelona,es La Liga,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,48,79.2,0,3,1,0,4,719,251,17,17,100,16,19,84.2,4,9,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,19,23,12,0,53,1,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,2,DF,Match Report
11,David Otorbi,0,2,0,0,0,6,0,8/17/2024,16-306,es ESP,Valencia,,Barcelona,es La Liga,L 1-2,N,14,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50,0,0,0,0,0,27,4,2,3,66.7,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,MF,Match Report
